minimum_articles	labels	labels_with_nonempty_intersection	fraction_with_nonempty_intersection	median_recurring_marker_fraction	median_pairwise_jaccard
2	312	117	0.375	0.16666666666666666	0.1111111111111111
3	163	32	0.19631901840490798	0.22580645161290322	0.11343915343915342
4	107	16	0.14953271028037382	0.2619047619047619	0.12187590187590187
5	84	9	0.10714285714285714	0.26666666666666666	0.12214165464165465
6	68	5	0.07352941176470588	0.26365441906653425	0.11868918940395257
7	54	4	0.07407407407407407	0.2631578947368421	0.11308201058201058
8	47	4	0.0851063829787234	0.2641509433962264	0.11510959939531366
9	40	1	0.025	0.26365441906653425	0.10820376874840953
10	37	0	0.0	0.2631578947368421	0.10951480060408217
