context_bin	pairs	mean_marker_jaccard	any_shared_marker_fraction	mean_context_jaccard
none	3800	0.09119391704440881	0.4139473684210526	0.0
(0, 0.25]	6359	0.13447892401592673	0.5592074225507155	0.07040663847025411
(0.25, 0.5]	233	0.20319854676852458	0.8454935622317596	0.35890021887554774
(0.5, 0.75]	45	0.23280606114957042	0.8666666666666667	0.6062874779541446
(0.75, 1]	0			
