replicate	comparison	metric	estimate
11	same_label_same_identifier	marker_jaccard	0.10705929309463465
11	same_label_no_accepted_identifier	marker_jaccard	0.12948948593207524
11	same_identifier_different_label	marker_jaccard	0.08625197376679825
11	different_identifier_matched_control	marker_jaccard	0.0023916824794433904
12	same_label_same_identifier	any_shared_marker	0.4838709677419355
12	same_label_no_accepted_identifier	any_shared_marker	0.5
12	same_identifier_different_label	any_shared_marker	0.42338709677419356
12	different_identifier_matched_control	any_shared_marker	0.020161290322580645
12	same_label_same_identifier	marker_jaccard	0.12183088116608913
12	same_label_no_accepted_identifier	marker_jaccard	0.11644906801671757
12	same_identifier_different_label	marker_jaccard	0.07270322643306514
12	different_identifier_matched_control	marker_jaccard	0.0019547589507266923
13	same_label_same_identifier	any_shared_marker	0.4959677419354839
13	same_label_no_accepted_identifier	any_shared_marker	0.5685483870967742
13	same_identifier_different_label	any_shared_marker	0.4435483870967742
13	different_identifier_matched_control	any_shared_marker	0.012096774193548387
13	same_label_same_identifier	marker_jaccard	0.11438852925748087
13	same_label_no_accepted_identifier	marker_jaccard	0.13305015379836455
13	same_identifier_different_label	marker_jaccard	0.08663743850235786
13	different_identifier_matched_control	marker_jaccard	0.001043311527182495
14	same_label_same_identifier	any_shared_marker	0.47580645161290325
14	same_label_no_accepted_identifier	any_shared_marker	0.5604838709677419
14	same_identifier_different_label	any_shared_marker	0.43951612903225806
14	different_identifier_matched_control	any_shared_marker	0.016129032258064516
14	same_label_same_identifier	marker_jaccard	0.1140765330695256
14	same_label_no_accepted_identifier	marker_jaccard	0.14021771670209815
14	same_identifier_different_label	marker_jaccard	0.08271460842025358
14	different_identifier_matched_control	marker_jaccard	0.00342741935483871
15	same_label_same_identifier	any_shared_marker	0.4798387096774194
15	same_label_no_accepted_identifier	any_shared_marker	0.4959677419354839
15	same_identifier_different_label	any_shared_marker	0.4274193548387097
15	different_identifier_matched_control	any_shared_marker	0.012096774193548387
15	same_label_same_identifier	marker_jaccard	0.11331101128292904
15	same_label_no_accepted_identifier	marker_jaccard	0.12449952304968909
15	same_identifier_different_label	marker_jaccard	0.07627835083954627
15	different_identifier_matched_control	marker_jaccard	0.002326302729528536
16	same_label_same_identifier	any_shared_marker	0.4959677419354839
16	same_label_no_accepted_identifier	any_shared_marker	0.5120967741935484
16	same_identifier_different_label	any_shared_marker	0.4798387096774194
16	different_identifier_matched_control	any_shared_marker	0.04032258064516129
16	same_label_same_identifier	marker_jaccard	0.12405209038273553
16	same_label_no_accepted_identifier	marker_jaccard	0.13783714605287187
