replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
9	8	0.1111111111111111	0.14814814814814814
9	9	0.07407407407407407	0.07407407407407407
9	10	0.037037037037037035	0.037037037037037035
10	1	1.0	4.962962962962963
10	2	0.5185185185185185	0.9259259259259259
10	3	0.3333333333333333	0.4444444444444444
10	4	0.14814814814814814	0.2222222222222222
10	5	0.14814814814814814	0.2222222222222222
10	6	0.1111111111111111	0.14814814814814814
10	7	0.1111111111111111	0.1111111111111111
10	8	0.1111111111111111	0.1111111111111111
10	9	0.07407407407407407	0.07407407407407407
10	10	0.037037037037037035	0.037037037037037035
11	1	1.0	4.851851851851852
11	2	0.48148148148148145	0.7777777777777778
11	3	0.2962962962962963	0.37037037037037035
11	4	0.14814814814814814	0.14814814814814814
11	5	0.14814814814814814	0.14814814814814814
11	6	0.037037037037037035	0.037037037037037035
11	7	0.0	0.0
11	8	0.0	0.0
11	9	0.0	0.0
11	10	0.0	0.0
12	1	1.0	4.2592592592592595
12	2	0.5925925925925926	1.037037037037037
12	3	0.3333333333333333	0.37037037037037035
12	4	0.25925925925925924	0.2962962962962963
12	5	0.14814814814814814	0.14814814814814814
12	6	0.14814814814814814	0.14814814814814814
12	7	0.07407407407407407	0.07407407407407407
12	8	0.0	0.0
12	9	0.0	0.0
12	10	0.0	0.0
13	1	1.0	4.37037037037037
13	2	0.4074074074074074	0.8888888888888888
13	3	0.37037037037037035	0.5185185185185185
13	4	0.14814814814814814	0.18518518518518517
13	5	0.07407407407407407	0.07407407407407407
13	6	0.0	0.0
13	7	0.0	0.0
13	8	0.0	0.0
13	9	0.0	0.0
13	10	0.0	0.0
14	1	1.0	4.37037037037037
14	2	0.4074074074074074	0.6296296296296297
14	3	0.1111111111111111	0.1111111111111111
14	4	0.1111111111111111	0.1111111111111111
14	5	0.037037037037037035	0.037037037037037035
14	6	0.0	0.0
14	7	0.0	0.0
14	8	0.0	0.0
14	9	0.0	0.0
14	10	0.0	0.0
15	1	1.0	4.111111111111111
15	2	0.6296296296296297	0.8888888888888888
15	3	0.37037037037037035	0.4074074074074074
15	4	0.2222222222222222	0.2222222222222222
15	5	0.14814814814814814	0.14814814814814814
15	6	0.1111111111111111	0.1111111111111111
15	7	0.037037037037037035	0.037037037037037035
15	8	0.037037037037037035	0.037037037037037035
15	9	0.037037037037037035	0.037037037037037035
15	10	0.0	0.0
16	1	1.0	5.703703703703703
16	2	0.7037037037037037	1.1851851851851851
16	3	0.5185185185185185	0.6296296296296297
