seed	pairs	any_shared_marker_fraction	mean_marker_jaccard	mean_directional_recovery	mean_shared_markers	label_balanced_any_shared_marker_fraction	label_balanced_mean_marker_jaccard	label_balanced_mean_directional_recovery
20260722	10437	0.016192392449937722	0.0023413496522621245	0.0043059209926694176	0.01973747245377024	0.012564683717357658	0.0014179411797363406	0.002806345816497859
20260723	10437	0.01849190380377503	0.0025175184422397408	0.004607703068226679	0.02079141515761234	0.01748064585958048	0.0016168009295477296	0.003131406493143238
20260724	10437	0.01916259461531091	0.0028694346721665777	0.0052033589413771125	0.02309092651144965	0.02483498261655356	0.0030123819225426696	0.006021964618525414
20260725	10437	0.020599789211459232	0.0029233475267414193	0.005402775176377672	0.025007185972980742	0.017496135621436287	0.002252549514596134	0.004374707800151734
20260726	10437	0.018779342723004695	0.0025600700777301784	0.004755793391323642	0.022516048672990324	0.01100326735933772	0.0012029709691664457	0.0024628237869297044
20260727	10437	0.019354220561464023	0.003028425760503006	0.005418479934981917	0.02452812110759797	0.028186670102024396	0.00480437488480352	0.008482442158514535
20260728	10437	0.017342148126856378	0.0025417862233348253	0.0045717661447756295	0.020216537319153013	0.01924900091165432	0.002948897049160697	0.005225999459589645
20260729	10437	0.017917025965315705	0.0023500908415070524	0.004436547488823997	0.02012072434607646	0.008321342096992125	0.0009965477449602512	0.0018851365990239168
20260730	10437	0.018970968669157803	0.0028991433895663612	0.005283089535029747	0.023186739484526205	0.02376391332817419	0.00328889044968741	0.006278508855259096
20260731	10437	0.019450033534540577	0.0027870757580526896	0.005091659494203297	0.02309092651144965	0.03744172351809907	0.00437860519809888	0.00874731863766473
20260732	10437	0.018779342723004695	0.0028351852278331777	0.005107765511480549	0.022995113538373097	0.018934364096360838	0.0032268302600294277	0.005632039831121449
20260733	10437	0.017917025965315705	0.0025849309422923544	0.004797497109959744	0.021078854076842006	0.017382349971089832	0.0023357268662702033	0.004594923864444917
20260734	10437	0.02040816326530612	0.002811454365354638	0.005236729063041879	0.022803487592219986	0.022858043064753933	0.0027036046660506604	0.00523845003899238
20260735	10437	0.01762958704608604	0.002414078495246159	0.004444094267986138	0.020312350292229567	0.010495810600563704	0.0010940878959849348	0.002222826846728961
20260736	10437	0.019354220561464023	0.003084991961601372	0.005458644793815482	0.024432308134521415	0.018626793510923976	0.003875193318412784	0.006820037771563297
20260737	10437	0.01657564434224394	0.0024578621845493314	0.004492845414763889	0.02098304110376545	0.017988669321291676	0.0021847862496833024	0.0040202359178918125
20260738	10437	0.017054709207626712	0.0026857628729244363	0.004770738689088691	0.021557918942224776	0.016929624413825537	0.0021506339003876294	0.003997275525128739
20260739	10437	0.02050397623838268	0.00329744221078517	0.005866334352671668	0.026156941649899398	0.013921895884302177	0.0017220350322864036	0.0033172276218935456
20260740	10437	0.01762958704608604	0.0023459518461811674	0.004475162940925898	0.020887228130688894	0.02724072969553612	0.003551529387079221	0.006918330409084388
20260741	10437	0.01724633515377982	0.00262048868314024	0.004728272761344315	0.02117466704991856	0.014195565262000208	0.0015163369721238025	0.0028821093268502217
20260742	10437	0.017533774073009486	0.002480843114516073	0.004513241262302975	0.021078854076842006	0.013973508451825722	0.0014540200028998584	0.0029513354921348986
20260743	10437	0.01638401839609083	0.00217943084429521	0.004081144494556114	0.018587716776851587	0.02004582208581395	0.003174737899009226	0.0056184803920290615
20260744	10437	0.01925840758838747	0.002774124124972217	0.005110851942234325	0.022324422726837215	0.02693461926919009	0.0034879031169410667	0.006320881621261548
20260745	10437	0.016479831369167385	0.0024596979368936844	0.004487901809330381	0.01973747245377024	0.01288674920457995	0.0017859852658040148	0.0032402967473877
20260746	10437	0.019354220561464023	0.002726344886314284	0.0050437367639525835	0.02328255245760276	0.02299139546705512	0.003621156719691502	0.006428360696067428
