metric	estimate	uncertainty_95_lower	uncertainty_95_upper	pairs	ontology_terms
any_shared_marker	0.6000554902728815	0.3777239603734169	0.8172656352004178	248	12
marker_jaccard	0.1625496290998742	0.07264223338166352	0.2849735297268998	248	12
