context_jaccard	fitted_marker_jaccard	label_cluster_bootstrap_95_lower	label_cluster_bootstrap_95_upper	bootstrap_draws
0.0	0.1034524860169616	0.08402569166081023	0.12901381302542586	1000
0.007215007215007215	0.10577442489211225	0.08727052309781183	0.13079099061512908	1000
0.01443001443001443	0.10809636376726289	0.08978401734637952	0.13263975430581712	1000
0.021645021645021644	0.11041830264241355	0.09224038177505935	0.13455922786236357	1000
0.02886002886002886	0.11274024151756419	0.09520460323864385	0.1366190965708483	1000
0.03607503607503607	0.11506218039271485	0.09763849283811052	0.13857084448308069	1000
0.04329004329004329	0.11738411926786549	0.09965122397797824	0.1407254429787849	1000
0.050505050505050504	0.11970605814301614	0.10209586689202782	0.14251050507813973	1000
0.05772005772005772	0.1220279970181668	0.10455711784544174	0.1443554299708943	1000
0.06493506493506493	0.12434993589331744	0.10701171802455353	0.14662232316816484	1000
0.07215007215007214	0.12667187476846808	0.10926463264255425	0.14858439296751969	1000
0.07936507936507936	0.12899381364361875	0.1112921362823912	0.15061017123503934	1000
0.08658008658008658	0.1313157525187694	0.11350662360903442	0.15272512003275637	1000
0.09379509379509379	0.13363769139392004	0.11579834249319593	0.1553753440769204	1000
0.10101010101010101	0.1359596302690707	0.11801823513825406	0.15809295922480263	1000
0.10822510822510822	0.13828156914422135	0.12009207105613785	0.16019203368488644	1000
0.11544011544011544	0.140603508019372	0.12226935403032681	0.16291473190234096	1000
0.12265512265512266	0.14292544689452263	0.12429118767470494	0.16524022120068227	1000
0.12987012987012986	0.1452473857696733	0.12652387109475619	0.1683381740613882	1000
0.1370851370851371	0.14756932464482395	0.12851601915781974	0.17110325795330308	1000
0.1443001443001443	0.14989126351997462	0.13053236341640212	0.17420737572650646	1000
0.15151515151515152	0.15221320239512526	0.13261555590849086	0.17691868793693877	1000
0.15873015873015872	0.1545351412702759	0.13469615511502206	0.17986330618508223	1000
0.16594516594516595	0.15685708014542654	0.13689429164947384	0.18333909563145478	1000
0.17316017316017315	0.15917901902057718	0.13904379303022815	0.18693793553538432	1000
0.18037518037518038	0.16150095789572785	0.14099995464752815	0.19009662101041475	1000
0.18759018759018758	0.1638228967708785	0.14307740644088685	0.1932518349744685	1000
0.19480519480519481	0.16614483564602917	0.14509875677800302	0.19657115270591557	1000
0.20202020202020202	0.1684667745211798	0.14716561451103094	0.19956180659551284	1000
0.20923520923520925	0.17078871339633045	0.1490070453325356	0.20270438688419565	1000
0.21645021645021645	0.1731106522714811	0.15097488439471612	0.2058638769147017	1000
0.22366522366522368	0.17543259114663176	0.15281586907828162	0.2086770818284871	1000
0.23088023088023088	0.1777545300217824	0.15477123743650564	0.21197894962862898	1000
0.23809523809523808	0.18007646889693307	0.15648638209335838	0.21505930568155418	1000
0.2453102453102453	0.18239840777208371	0.15808062085160393	0.21847803853840805	1000
0.25252525252525254	0.18472034664723436	0.1599548400512697	0.22163188405973436	1000
0.2597402597402597	0.187042285522385	0.16172732843285878	0.22478323760056973	1000
0.26695526695526695	0.18936422439753564	0.16377204170652987	0.22793821992802907	1000
0.2741702741702742	0.1916861632726863	0.16551937378374107	0.23109537139954153	1000
0.2813852813852814	0.19400810214783698	0.16678044323850666	0.23425252287105403	1000
0.2886002886002886	0.19633004102298762	0.1683806251273582	0.2374050661893238	1000
0.2958152958152958	0.19865197989813826	0.16956127626661596	0.24055280208093724	1000
0.30303030303030304	0.2009739187732889	0.17072015908010155	0.24371234100864303	1000
0.31024531024531027	0.20329585764843955	0.17245825539408913	0.2469306487851824	1000
0.31746031746031744	0.2056177965235902	0.17420849352017617	0.2502598938282401	1000
0.3246753246753247	0.20793973539874086	0.1759664735599252	0.2533536293282628	1000
0.3318903318903319	0.21026167427389153	0.177706817462263	0.2565467581818515	1000
0.33910533910533913	0.21258361314904217	0.17944839244126884	0.2600624762852525	1000
0.3463203463203463	0.21490555202419281	0.18069710728916616	0.2635781943886533	1000
0.35353535353535354	0.21722749089934346	0.18237174965246977	0.2669608694949514	1000
0.36075036075036077	0.2195494297744941	0.18414534388184525	0.2702161809997901	1000
0.36796536796536794	0.22187136864964474	0.1859142735481929	0.27383850443294033	1000
0.37518037518037517	0.2241933075247954	0.18767355753394022	0.2771823954075215	1000
0.3823953823953824	0.22651524639994608	0.1894354799389312	0.2804040148417806	1000
0.38961038961038963	0.22883718527509672	0.19116640045520214	0.28378407663476085	1000
0.3968253968253968	0.23115912415024736	0.1923305251230871	0.28723574585460915	1000
0.40404040404040403	0.233481063025398	0.19357640225685127	0.29061324522614357	1000
0.41125541125541126	0.23580300190054865	0.194997901957982	0.29383308479034653	1000
0.4184704184704185	0.23812494077569935	0.1965696296961434	0.2970521483333254	1000
0.42568542568542567	0.24044687965084993	0.19819976278154575	0.3002712118763042	1000
0.4329004329004329	0.24276881852600063	0.19983126273689222	0.303490275419283	1000
0.4401154401154401	0.24509075740115127	0.20117888020614227	0.3067093389622618	1000
0.44733044733044736	0.2474126962763019	0.2024684970201079	0.3099284025052407	1000
0.45454545454545453	0.24973463515145256	0.20375811383407355	0.3131474660482195	1000
0.46176046176046176	0.2520565740266032	0.20511363349656103	0.31656824723990346	1000
0.468975468975469	0.2543785129017539	0.2066969082247013	0.3200269799501195	1000
0.47619047619047616	0.25670045177690454	0.20813393533002356	0.3234857126603355	1000
0.4834054834054834	0.2590223906520552	0.20956612716282438	0.32693789406366447	1000
0.4906204906204906	0.2613443295272058	0.21131299921238073	0.330407803115562	1000
0.49783549783549785	0.26366626840235646	0.21305498768577988	0.33387322008914055	1000
0.5050505050505051	0.2659882072775071	0.21464860990374415	0.3373386370627191	1000
0.5122655122655123	0.2683101461526578	0.2162422321217084	0.3408040540362977	1000
0.5194805194805194	0.2706320850278084	0.21777909379153343	0.3442647476179128	1000
0.5266955266955267	0.2729540239029591	0.2192338936612164	0.34775661244809264	1000
0.5339105339105339	0.27527596277810973	0.2209290898660804	0.3510596485792988	1000
0.5411255411255411	0.27759790165326037	0.22261225931507972	0.35427203865736145	1000
