label_a	label_b	papers
b cell	t cell	60
b cell	natural killer cell	52
endothelial cell	fibroblast	49
b cell	monocyte	41
b cell	macrophage	40
natural killer cell	t cell	40
macrophage	t cell	37
fibroblast	pericyte	35
endothelial cell	pericyte	33
macrophage	natural killer cell	33
monocyte	natural killer cell	33
endothelial cell	t cell	32
b cell	mast cell	31
b cell	plasma cell	31
fibroblast	t cell	30
macrophage	monocyte	30
endothelial cell	macrophage	29
fibroblast	smooth muscle cell	29
astrocyte	oligodendrocyte	28
b cell	endothelial cell	28
macrophage	mast cell	28
dendritic cell	macrophage	27
fibroblast	macrophage	27
mast cell	natural killer cell	27
b cell	dendritic cell	26
b cell	fibroblast	26
mast cell	t cell	26
monocyte	t cell	26
natural killer cell	plasma cell	26
endothelial cell	immune cell	25
natural killer cell	plasmacytoid dendritic cell	25
plasma cell	t cell	25
astrocyte	microglia	24
fibroblast	lymphatic endothelial cell	24
pericyte	smooth muscle cell	24
endothelial cell	smooth muscle cell	23
macrophage	plasma cell	23
cd4 t cell	cd8 t cell	22
endothelial cell	epithelial cell	22
alpha cell	beta cell	21
dendritic cell	monocyte	21
endothelial cell	mast cell	21
fibroblast	myofibroblast	21
myeloid cell	t cell	21
lymphatic endothelial cell	pericyte	20
mast cell	pericyte	20
b cell	myeloid cell	19
endothelial cell	oligodendrocyte	19
macrophage	plasmacytoid dendritic cell	19
mast cell	plasma cell	19
monocyte	plasma cell	19
myofibroblast	pericyte	19
alpha cell	delta cell	18
astrocyte	endothelial cell	18
astrocyte	excitatory neuron	18
b cell	plasmacytoid dendritic cell	18
beta cell	delta cell	18
dendritic cell	t cell	18
endothelial cell	lymphatic endothelial cell	18
excitatory neuron	inhibitory neuron	18
fibroblast	mast cell	18
mast cell	monocyte	18
monocyte	plasmacytoid dendritic cell	18
natural killer cell	regulatory t cell	18
dendritic cell	natural killer cell	17
endothelial cell	monocyte	17
endothelial cell	natural killer cell	17
fibroblast	immune cell	17
fibroblast	natural killer cell	17
macrophage	pericyte	17
microglia	oligodendrocyte	17
astrocyte	inhibitory neuron	16
cd8 t cell	natural killer cell	16
conventional dendritic cell type 1	conventional dendritic cell type 2	16
fibroblast	plasma cell	16
macrophage	regulatory t cell	16
myeloid cell	natural killer cell	16
acinar cell	ductal cell	15
b cell	regulatory t cell	15
endothelial cell	microglia	15
endothelial cell	myeloid cell	15
enteroendocrine cell	goblet cell	15
epithelial cell	fibroblast	15
excitatory neuron	oligodendrocyte	15
acinar cell	beta cell	14
arterial endothelial cell	venous endothelial cell	14
astrocyte	oligodendrocyte precursor cell	14
beta cell	ductal cell	14
cd4 positive t cell	cd8 positive t cell	14
cd4 t cell	natural killer cell	14
endothelial cell	myofibroblast	14
endothelial cell	plasma cell	14
inhibitory neuron	oligodendrocyte	14
lymphatic endothelial cell	macrophage	14
lymphatic endothelial cell	smooth muscle cell	14
macrophage	neutrophil	14
mast cell	plasmacytoid dendritic cell	14
acinar cell	alpha cell	13
acinar cell	delta cell	13
alpha cell	ductal cell	13
b cell	cd4 t cell	13
b cell	cd8 t cell	13
b cell	epithelial cell	13
b cell	smooth muscle cell	13
conventional dendritic cell type 1	plasmacytoid dendritic cell	13
conventional dendritic cell type 2	plasmacytoid dendritic cell	13
delta cell	ductal cell	13
fibroblast	monocyte	13
fibroblast	myeloid cell	13
lymphatic endothelial cell	mast cell	13
lymphatic endothelial cell	t cell	13
neuron	oligodendrocyte	13
oligodendrocyte	oligodendrocyte precursor cell	13
pericyte	t cell	13
plasmacytoid dendritic cell	regulatory t cell	13
regulatory t cell	t cell	13
alveolar type 1 cell	alveolar type 2 cell	12
arterial endothelial cell	endothelial cell	12
astrocyte	neuron	12
b cell	cd4 positive t cell	12
cd8 positive t cell	natural killer cell	12
endothelial cell	excitatory neuron	12
endothelial cell	inhibitory neuron	12
endothelial cell	stromal cell	12
epithelial cell	t cell	12
fibroblast	melanocyte	12
fibroblast	vascular endothelial cell	12
macrophage	smooth muscle cell	12
mast cell	regulatory t cell	12
mast cell	smooth muscle cell	12
memory b cell	plasma cell	12
natural killer cell	neutrophil	12
plasma cell	regulatory t cell	12
plasmacytoid dendritic cell	t cell	12
smooth muscle cell	t cell	12
amacrine cell	horizontal cell	11
arterial endothelial cell	fibroblast	11
b cell	cd8 positive t cell	11
b cell	neutrophil	11
b cell	pericyte	11
bipolar cell	horizontal cell	11
cd4 t cell	monocyte	11
cd8 t cell	monocyte	11
conventional dendritic cell type 2	macrophage	11
dendritic cell	endothelial cell	11
dendritic cell	fibroblast	11
dendritic cell	mast cell	11
endothelial cell	mesenchymal cell	11
endothelial cell	oligodendrocyte precursor cell	11
epithelial cell	macrophage	11
excitatory neuron	microglia	11
lymphatic endothelial cell	vascular endothelial cell	11
mucosal associated invariant t cell	natural killer cell	11
myofibroblast	smooth muscle cell	11
natural killer cell	pericyte	11
pericyte	vascular smooth muscle cell	11
alpha cell	epsilon cell	10
amacrine cell	bipolar cell	10
arterial endothelial cell	lymphatic endothelial cell	10
beta cell	epsilon cell	10
cd8 t cell	plasma cell	10
classical monocyte	natural killer cell	10
conventional dendritic cell type 1	macrophage	10
conventional dendritic cell type 2	monocyte	10
endothelial cell	plasmacytoid dendritic cell	10
enterocyte	goblet cell	10
epithelial cell	monocyte	10
epithelial cell	natural killer cell	10
epithelial cell	pericyte	10
excitatory neuron	oligodendrocyte precursor cell	10
gamma delta t cell	natural killer cell	10
horizontal cell	müller glia	10
horizontal cell	retinal ganglion cell	10
immune cell	macrophage	10
immune cell	pericyte	10
inhibitory neuron	oligodendrocyte precursor cell	10
lymphatic endothelial cell	natural killer cell	10
lymphatic endothelial cell	venous endothelial cell	10
macrophage	myofibroblast	10
mast cell	myeloid cell	10
megakaryocyte	natural killer cell	10
memory b cell	natural killer cell	10
monocyte	neutrophil	10
myeloid cell	plasma cell	10
plasma cell	plasmacytoid dendritic cell	10
arterial endothelial cell	capillary endothelial cell	9
astrocyte	oligodendrocyte progenitor cell	9
b cell	basal cell	9
b cell	megakaryocyte	9
basal cell	ciliated cell	9
basal cell	t cell	9
bipolar cell	müller glia	9
capillary endothelial cell	fibroblast	9
capillary endothelial cell	lymphatic endothelial cell	9
capillary endothelial cell	venous endothelial cell	9
cd8 t cell	mast cell	9
ciliated cell	goblet cell	9
classical monocyte	non classical monocyte	9
conventional dendritic cell type 1	natural killer cell	9
conventional dendritic cell type 2	mast cell	9
conventional dendritic cell type 2	natural killer cell	9
delta cell	epsilon cell	9
endothelial cell	melanocyte	9
endothelial cell	neuron	9
enterocyte	enteroendocrine cell	9
enteroendocrine cell	intestinal stem cell	9
enteroendocrine cell	paneth cell	9
enteroendocrine cell	tuft cell	9
epithelial cell	immune cell	9
epithelial cell	mast cell	9
fibroblast	goblet cell	9
fibroblast	plasmacytoid dendritic cell	9
fibroblast	regulatory t cell	9
goblet cell	intestinal stem cell	9
goblet cell	macrophage	9
goblet cell	paneth cell	9
goblet cell	tuft cell	9
horizontal cell	rod photoreceptor	9
inhibitory neuron	microglia	9
macrophage	vascular endothelial cell	9
mast cell	myofibroblast	9
memory b cell	monocyte	9
microglia	oligodendrocyte precursor cell	9
monocyte	myeloid cell	9
monocyte	regulatory t cell	9
natural killer cell	smooth muscle cell	9
nephron progenitor cell	podocyte	9
pericyte	plasmacytoid dendritic cell	9
regulatory t cell	t helper 17 cell	9
acinar cell	endothelial cell	8
amacrine cell	retinal ganglion cell	8
b cell	conventional dendritic cell type 2	8
b cell	goblet cell	8
b cell	lymphatic endothelial cell	8
b cell	memory b cell	8
b cell	mucosal associated invariant t cell	8
basal cell	macrophage	8
bipolar cell	retinal ganglion cell	8
capillary endothelial cell	endothelial cell	8
capillary endothelial cell	pericyte	8
cardiomyocyte	endothelial cell	8
cardiomyocyte	fibroblast	8
cd4 positive t cell	natural killer cell	8
cd4 t cell	dendritic cell	8
cd4 t cell	macrophage	8
cd8 t cell	epithelial cell	8
cd8 t cell	macrophage	8
conventional dendritic cell type 1	mast cell	8
dendritic cell	plasma cell	8
dendritic cell	plasmacytoid dendritic cell	8
endothelial cell	venous endothelial cell	8
epithelial cell	goblet cell	8
epithelial cell	plasma cell	8
fibroblast	venous endothelial cell	8
gamma delta t cell	plasmacytoid dendritic cell	8
goblet cell	mast cell	8
goblet cell	t cell	8
immune cell	lymphatic endothelial cell	8
intestinal stem cell	paneth cell	8
lymphatic endothelial cell	myofibroblast	8
lymphatic endothelial cell	plasmacytoid dendritic cell	8
macrophage	memory b cell	8
mast cell	neutrophil	8
memory b cell	plasmacytoid dendritic cell	8
microglia	neuron	8
müller glia	retinal ganglion cell	8
müller glia	rod photoreceptor	8
naive t cell	natural killer cell	8
natural killer cell	plasmablast	8
natural killer cell	vascular endothelial cell	8
neutrophil	plasma cell	8
neutrophil	t cell	8
pericyte	plasma cell	8
pericyte	vascular endothelial cell	8
t cell	vascular endothelial cell	8
acinar cell	epsilon cell	7
amacrine cell	müller glia	7
arterial endothelial cell	natural killer cell	7
arterial endothelial cell	pericyte	7
arterial endothelial cell	smooth muscle cell	7
astrocyte	ependymal cell	7
b cell	cd14 positive monocyte	7
b cell	conventional dendritic cell type 1	7
b cell	immune cell	7
b cell	myofibroblast	7
basal cell	club cell	7
basal cell	fibroblast	7
basal cell	goblet cell	7
bipolar cell	rod photoreceptor	7
cd4 positive t cell	t cell	7
cd8 positive t cell	t cell	7
cd8 t cell	dendritic cell	7
cd8 t cell	endothelial cell	7
cd8 t cell	myeloid cell	7
cd8 t cell	t cell	7
classical monocyte	plasmacytoid dendritic cell	7
cone photoreceptor	horizontal cell	7
cone photoreceptor	müller glia	7
cone photoreceptor	rod photoreceptor	7
conventional dendritic cell type 1	monocyte	7
conventional dendritic cell type 1	regulatory t cell	7
conventional dendritic cell type 2	regulatory t cell	7
cytotoxic t cell	regulatory t cell	7
ductal cell	epsilon cell	7
enterocyte	intestinal stem cell	7
ependymal cell	oligodendrocyte	7
epithelial cell	mesenchymal cell	7
epithelial cell	myeloid cell	7
epithelial cell	myofibroblast	7
epithelial cell	plasmacytoid dendritic cell	7
fibroblast	schwann cell	7
goblet cell	natural killer cell	7
goblet cell	pericyte	7
goblet cell	plasma cell	7
granulocyte	natural killer cell	7
granulocyte	plasmacytoid dendritic cell	7
immune cell	monocyte	7
immune cell	natural killer cell	7
immune cell	smooth muscle cell	7
immune cell	stromal cell	7
macrophage	myeloid cell	7
macrophage	venous endothelial cell	7
megakaryocyte	monocyte	7
megakaryocyte	plasmacytoid dendritic cell	7
melanocyte	t cell	7
memory b cell	regulatory t cell	7
microglia	oligodendrocyte progenitor cell	7
microglia	pericyte	7
monocyte	myofibroblast	7
monocyte	pericyte	7
myeloid cell	regulatory t cell	7
myofibroblast	plasmacytoid dendritic cell	7
naive b cell	natural killer cell	7
natural killer cell	non classical monocyte	7
neuron	oligodendrocyte precursor cell	7
oligodendrocyte	oligodendrocyte progenitor cell	7
paneth cell	tuft cell	7
pericyte	venous endothelial cell	7
plasma cell	smooth muscle cell	7
podocyte	proximal tubule cell	7
t helper 1 cell	t helper 17 cell	7
adipocyte	pericyte	6
alpha cell	gamma cell	6
alveolar type 1 cell	basal cell	6
alveolar type 1 cell	ciliated cell	6
alveolar type 1 cell	goblet cell	6
alveolar type 2 cell	epithelial cell	6
alveolar type 2 cell	goblet cell	6
arterial endothelial cell	b cell	6
arterial endothelial cell	macrophage	6
b cell	classical monocyte	6
b cell	plasmablast	6
basal cell	mast cell	6
beta cell	gamma cell	6
bipolar cell	cone photoreceptor	6
cd14 positive monocyte	natural killer cell	6
cd4 t cell	endothelial cell	6
cd4 t cell	epithelial cell	6
cd4 t cell	mast cell	6
cd4 t cell	neutrophil	6
cd4 t cell	plasma cell	6
cd8 positive t cell	monocyte	6
cd8 t cell	neutrophil	6
ciliated cell	club cell	6
ciliated cell	secretory cell	6
classical monocyte	macrophage	6
classical monocyte	nonclassical monocyte	6
club cell	goblet cell	6
conventional dendritic cell type 1	plasma cell	6
conventional dendritic cell type 2	plasma cell	6
conventional dendritic cell type 2	t cell	6
cytotoxic t cell	fibroblast	6
dendritic cell	megakaryocyte	6
dendritic cell	pericyte	6
distal tubule cell	nephron progenitor cell	6
distal tubule cell	podocyte	6
ductal cell	endothelial cell	6
endothelial cell	hepatocyte	6
endothelial cell	keratinocyte	6
endothelial cell	neuronal cell	6
endothelial cell	neutrophil	6
endothelial cell	podocyte	6
endothelial cell	vascular smooth muscle cell	6
enterocyte	paneth cell	6
epithelial cell	neutrophil	6
fibroblast	keratinocyte	6
fibroblast	stromal cell	6
fibroblast	vascular smooth muscle cell	6
gamma delta t cell	monocyte	6
gamma delta t cell	regulatory t cell	6
goblet cell	myofibroblast	6
goblet cell	transit amplifying cell	6
inhibitory neuron	neuron	6
innate lymphoid cell	natural killer cell	6
intestinal stem cell	tuft cell	6
lymphatic endothelial cell	monocyte	6
lymphatic endothelial cell	vascular smooth muscle cell	6
macrophage	schwann cell	6
mast cell	melanocyte	6
mast cell	vascular endothelial cell	6
melanocyte	smooth muscle cell	6
memory b cell	naive b cell	6
memory b cell	naïve b cell	6
mucosal associated invariant t cell	plasma cell	6
mucosal associated invariant t cell	plasmacytoid dendritic cell	6
myeloid cell	pericyte	6
myeloid cell	plasmacytoid dendritic cell	6
naive t cell	regulatory t cell	6
natural killer cell	natural killer t cell	6
natural killer cell	venous endothelial cell	6
naïve b cell	plasma cell	6
oligodendrocyte	pericyte	6
pericyte	regulatory t cell	6
plasma cell	plasmablast	6
retinal ganglion cell	rod photoreceptor	6
alpha cell	endocrine cell	5
alpha cell	endothelial cell	5
alveolar type 1 cell	club cell	5
alveolar type 1 cell	epithelial cell	5
alveolar type 2 cell	basal cell	5
alveolar type 2 cell	ciliated cell	5
amacrine cell	rod photoreceptor	5
arterial endothelial cell	mast cell	5
arterial endothelial cell	plasmacytoid dendritic cell	5
astrocyte	horizontal cell	5
astrocyte	interneuron	5
astrocyte	neuronal cell	5
astrocyte	pericyte	5
b cell	enteroendocrine cell	5
b cell	gamma delta t cell	5
b cell	naive t cell	5
b cell	natural killer t cell	5
b cell	vascular endothelial cell	5
basal cell	endothelial cell	5
basal cell	pericyte	5
basal cell	plasma cell	5
basal cell	secretory cell	5
beta cell	endocrine cell	5
beta cell	endothelial cell	5
beta cell	immune cell	5
blood endothelial cell	lymphatic endothelial cell	5
capillary endothelial cell	cardiomyocyte	5
capillary endothelial cell	vascular endothelial cell	5
cardiomyocyte	venous endothelial cell	5
cd14 positive monocyte	cd8 positive t cell	5
cd4 positive t cell	dendritic cell	5
cd4 positive t cell	macrophage	5
cd4 positive t cell	monocyte	5
cd4 t cell	plasmacytoid dendritic cell	5
cd4 t cell	t cell	5
cd8 positive t cell	dendritic cell	5
cd8 t cell	gamma delta t cell	5
cd8 t cell	plasmacytoid dendritic cell	5
cd8 t cell	regulatory t cell	5
central memory t cell	effector memory t cell	5
central memory t cell	regulatory t cell	5
ciliated cell	fibroblast	5
ciliated cell	macrophage	5
classical monocyte	mast cell	5
classical monocyte	mucosal associated invariant t cell	5
classical monocyte	venous endothelial cell	5
cone photoreceptor	retinal ganglion cell	5
cone photoreceptor cell	rod photoreceptor cell	5
conventional dendritic cell	endothelial cell	5
conventional dendritic cell	natural killer cell	5
conventional dendritic cell	plasmacytoid dendritic cell	5
conventional dendritic cell type 1	endothelial cell	5
conventional dendritic cell type 1	t cell	5
conventional dendritic cell type 2	dendritic cell	5
delta cell	endothelial cell	5
delta cell	gamma cell	5
dendritic cell	granulocyte	5
dendritic cell	lymphatic endothelial cell	5
dendritic cell	neutrophil	5
dendritic cell	regulatory t cell	5
endothelial cell	goblet cell	5
endothelial cell	oligodendrocyte progenitor cell	5
endothelial cell	regulatory t cell	5
endothelial cell	tumor associated macrophage	5
endothelial cell	vascular endothelial cell	5
enterochromaffin cell	goblet cell	5
enterocyte	epithelial cell	5
enterocyte	fibroblast	5
enterocyte	myofibroblast	5
enterocyte	tuft cell	5
enteroendocrine cell	epithelial cell	5
enteroendocrine cell	fibroblast	5
enteroendocrine cell	mast cell	5
enteroendocrine cell	natural killer cell	5
enteroendocrine cell	pericyte	5
enteroendocrine cell	t cell	5
enteroendocrine cell	transit amplifying cell	5
ependymal cell	excitatory neuron	5
ependymal cell	inhibitory neuron	5
ependymal cell	oligodendrocyte precursor cell	5
epithelial cell	lymphatic endothelial cell	5
epithelial cell	paneth cell	5
epithelial cell	smooth muscle cell	5
epithelial cell	stromal cell	5
epsilon cell	gamma cell	5
erythroid cell	megakaryocyte	5
erythroid cell	monocyte	5
excitatory neuron	interneuron	5
excitatory neuron	neuron	5
excitatory neuron	oligodendrocyte progenitor cell	5
excitatory neuron	pericyte	5
extravillous trophoblast	syncytiotrophoblast	5
fibroblast	inflammatory cancer associated fibroblast	5
gamma delta t cell	macrophage	5
gamma delta t cell	mucosal associated invariant t cell	5
gamma delta t cell	plasma cell	5
granulocyte	monocyte	5
hepatocyte	macrophage	5
horizontal cell	on bipolar cell	5
horizontal cell	rod bipolar cell	5
immune cell	mast cell	5
immune cell	myofibroblast	5
immune cell	t cell	5
immune cell	vascular endothelial cell	5
inflammatory cancer associated fibroblast	myofibroblastic cancer associated fibroblast	5
innate lymphoid cell	mast cell	5
innate lymphoid cell	t cell	5
innate lymphoid cell type 3	natural killer cell	5
keratinocyte	macrophage	5
keratinocyte	melanocyte	5
langerhans cell	macrophage	5
langerhans cell	melanocyte	5
lymphatic endothelial cell	melanocyte	5
lymphatic endothelial cell	regulatory t cell	5
macrophage	melanocyte	5
macrophage	monocyte derived dendritic cell	5
macrophage	monocyte macrophage	5
macrophage	mucosal associated invariant t cell	5
macrophage	plasmablast	5
macrophage	secretory cell	5
macrophage	tissue resident memory t cell	5
mast cell	natural killer t cell	5
mast cell	venous endothelial cell	5
melanocyte	pericyte	5
melanocyte	schwann cell	5
memory b cell	mucosal associated invariant t cell	5
memory b cell	plasmablast	5
memory b cell	t cell	5
mesothelial cell	venous endothelial cell	5
monocyte	plasmablast	5
monocyte	smooth muscle cell	5
mucosal associated invariant t cell	regulatory t cell	5
myofibroblast	plasma cell	5
myofibroblast	t cell	5
naive b cell	plasmacytoid dendritic cell	5
natural killer cell	paneth cell	5
natural killer cell	t helper 17 cell	5
nephron progenitor cell	proximal tubule cell	5
nephron progenitor cell	stromal cell	5
pericyte	stromal cell	5
plasma cell	tissue resident memory t cell	5
plasmablast	plasmacytoid dendritic cell	5
plasmacytoid dendritic cell	venous endothelial cell	5
regulatory t cell	t follicular helper cell	5
regulatory t cell	t helper 1 cell	5
smooth muscle cell	stromal cell	5
smooth muscle cell	venous endothelial cell	5
acinar cell	immune cell	4
acinar cell	pancreatic polypeptide cell	4
acinar cell	pp cell	4
acinar cell	stellate cell	4
activated b cell	natural killer cell	4
activated b cell	plasma cell	4
activated b cell	plasmacytoid dendritic cell	4
activated dendritic cell	plasmacytoid dendritic cell	4
activated t cell	mast cell	4
adipocyte	endothelial cell	4
adventitial fibroblast	alveolar fibroblast	4
alpha cell	immune cell	4
alpha cell	pancreatic polypeptide cell	4
alpha cell	pp cell	4
alternatively activated macrophage	plasmacytoid dendritic cell	4
alveolar macrophage	monocyte	4
alveolar macrophage	plasmacytoid dendritic cell	4
alveolar type 1 cell	myofibroblast	4
alveolar type 1 cell	pericyte	4
alveolar type 2 cell	club cell	4
alveolar type 2 cell	endothelial cell	4
alveolar type 2 cell	immune cell	4
alveolar type 2 cell	myofibroblast	4
alveolar type 2 cell	pericyte	4
alveolar type 2 cell	secretory cell	4
amacrine cell	cone photoreceptor	4
amacrine cell	cone photoreceptor cell	4
amacrine cell	on bipolar cell	4
amacrine cell	rod photoreceptor cell	4
arterial endothelial cell	cardiomyocyte	4
arterial endothelial cell	classical monocyte	4
arterial endothelial cell	mesothelial cell	4
astrocyte	bipolar cell	4
astrocyte	gabaergic neuron	4
astrocyte	immune cell	4
astrocyte	müller glia	4
astrocyte	reactive astrocyte	4
astrocyte	retinal ganglion cell	4
b cell	erythrocyte	4
b cell	erythroid cell	4
b cell	granulocyte	4
b cell	hepatocyte	4
b cell	innate lymphoid cell	4
b cell	mature b cell	4
b cell	paneth cell	4
b cell	t helper 17 cell	4
b cell	tuft cell	4
b cell	tumor associated macrophage	4
b cell	venous endothelial cell	4
basal cell	ionocyte	4
basal cell	natural killer cell	4
basal cell	suprabasal cell	4
beta cell	pancreatic polypeptide cell	4
beta cell	pp cell	4
bipolar cell	off bipolar cell	4
bipolar cell	on bipolar cell	4
blood endothelial cell	fibroblast	4
blood endothelial cell	macrophage	4
cancer associated fibroblast	endothelial cell	4
cancer associated fibroblast	fibroblast	4
cancer associated fibroblast	pericyte	4
capillary endothelial cell	macrophage	4
capillary endothelial cell	natural killer cell	4
capillary endothelial cell	plasmacytoid dendritic cell	4
capillary endothelial cell	smooth muscle cell	4
cardiomyocyte	macrophage	4
cd14 positive monocyte	cd16 positive monocyte	4
cd14 positive monocyte	cd4 positive t cell	4
cd4 positive t cell	mast cell	4
cd4 t cell	fibroblast	4
cd4 t cell	myeloid cell	4
cd8 effector memory t cell	natural killer cell	4
cd8 positive t cell	macrophage	4
cd8 positive t cell	plasmacytoid dendritic cell	4
cd8 t cell	fibroblast	4
cd8 t cell	goblet cell	4
cd8 t cell	plasmablast	4
cholangiocyte	hepatic stellate cell	4
cholangiocyte	hepatocyte	4
classical monocyte	conventional dendritic cell type 1	4
classical monocyte	gamma delta t cell	4
classical monocyte	lymphatic endothelial cell	4
classical monocyte	memory b cell	4
classical monocyte	monocyte	4
classical monocyte	plasma cell	4
classical monocyte	regulatory t cell	4
classical monocyte	tissue resident memory t cell	4
club cell	endothelial cell	4
collecting duct cell	proximal tubule cell	4
cone photoreceptor cell	horizontal cell	4
conventional dendritic cell	fibroblast	4
conventional dendritic cell	pericyte	4
conventional dendritic cell type 1	dendritic cell	4
conventional dendritic cell type 1	gamma delta t cell	4
conventional dendritic cell type 1	lymphatic endothelial cell	4
conventional dendritic cell type 1	memory b cell	4
conventional dendritic cell type 2	fibroblast	4
conventional dendritic cell type 2	gamma delta t cell	4
conventional dendritic cell type 2	lymphatic endothelial cell	4
conventional dendritic cell type 2	myeloid cell	4
conventional dendritic cell type 2	pericyte	4
conventional type 1 dendritic cell	plasmacytoid dendritic cell	4
conventional type 2 dendritic cell	plasmacytoid dendritic cell	4
cytotoxic t cell	natural killer cell	4
delta cell	endocrine cell	4
delta cell	pancreatic polypeptide cell	4
delta cell	pp cell	4
dendritic cell	epithelial cell	4
dendritic cell	erythroid cell	4
dendritic cell	keratinocyte	4
dendritic cell	melanocyte	4
dendritic cell	mucosal associated invariant t cell	4
dendritic cell	plasmablast	4
dendritic cell type 1	dendritic cell type 2	4
distal nephron cell	podocyte	4
dopaminergic neuron	gabaergic neuron	4
ductal cell	gamma cell	4
ductal cell	immune cell	4
ductal cell	pancreatic polypeptide cell	4
ductal cell	stellate cell	4
endothelial cell	ependymal cell	4
endothelial cell	inflammatory cancer associated fibroblast	4
endothelial cell	lymphocyte	4
endothelial cell	mesothelial cell	4
endothelial cell	mural cell	4
endothelial cell	nephron progenitor cell	4
endothelial cell	stem cell	4
enterochromaffin cell	enterocyte	4
enterochromaffin cell	enteroendocrine cell	4
enterochromaffin cell	lymphatic endothelial cell	4
enterochromaffin cell	mast cell	4
enterochromaffin cell	myofibroblast	4
enterochromaffin cell	natural killer cell	4
enterochromaffin cell	paneth cell	4
enterochromaffin cell	pericyte	4
enterochromaffin cell	plasma cell	4
enterochromaffin cell	t cell	4
enterocyte	lymphatic endothelial cell	4
enterocyte	mast cell	4
enterocyte	natural killer cell	4
enterocyte	pericyte	4
enterocyte	transit amplifying cell	4
enteroendocrine cell	macrophage	4
enteroendocrine cell	myofibroblast	4
enteroendocrine cell	plasma cell	4
enteroendocrine cell	plasmacytoid dendritic cell	4
ependymal cell	microglia	4
epiblast	primitive endoderm	4
epiblast	trophectoderm	4
erythrocyte	t cell	4
excitatory neuron	reactive astrocyte	4
fibroblast	glial cell	4
fibroblast	langerhans cell	4
fibroblast	mural cell	4
fibroblast	myoepithelial cell	4
fibroblast	naïve b cell	4
fibroblast 1	fibroblast 2	4
gabaergic amacrine cell	horizontal cell	4
gamma delta t cell	mast cell	4
gamma delta t cell	plasmablast	4
germinal center b cell	memory b cell	4
germinal center b cell	natural killer cell	4
glial cell	pericyte	4
glial cell	plasma cell	4
goblet cell	immune cell	4
goblet cell	lymphatic endothelial cell	4
goblet cell	neuroendocrine cell	4
goblet cell	plasmacytoid dendritic cell	4
goblet cell	smooth muscle cell	4
goblet cell	stem cell	4
granulocyte	macrophage	4
granulocyte	megakaryocyte	4
granulocyte	plasmablast	4
hepatic stellate cell	hepatocyte	4
hepatocyte	plasma cell	4
horizontal cell	microglia	4
horizontal cell	off bipolar cell	4
horizontal cell	rod photoreceptor cell	4
immune cell	mesenchymal cell	4
immune cell	oligodendrocyte	4
immune cell	oligodendrocyte precursor cell	4
inflammatory cancer associated fibroblast	pericyte	4
inflammatory macrophage	venous endothelial cell	4
inflammatory monocyte	regulatory t cell	4
inhibitory neuron	oligodendrocyte progenitor cell	4
inhibitory neuron	pericyte	4
innate lymphoid cell	plasma cell	4
interstitial cell of cajal	pericyte	4
intestinal stem cell	natural killer cell	4
intestinal stem cell	pericyte	4
ionocyte	t cell	4
keratinocyte	t cell	4
langerhans cell	monocyte derived dendritic cell	4
langerhans cell	plasmacytoid dendritic cell	4
langerhans cell	regulatory t cell	4
leydig cell	sertoli cell	4
lymphatic endothelial cell	memory b cell	4
lymphatic endothelial cell	myeloid cell	4
lymphatic endothelial cell	neuronal cell	4
lymphatic endothelial cell	plasma cell	4
lymphocyte	mast cell	4
macrophage	mesothelial cell	4
macrophage	microglia	4
macrophage	myeloid dendritic cell	4
macrophage	natural killer t cell	4
macrophage	non classical monocyte	4
macrophage	stromal cell	4
macrophage	t helper 17 cell	4
macrophage	transit amplifying cell	4
mast cell	memory b cell	4
mast cell	mucosal associated invariant t cell	4
mast cell	paneth cell	4
mast cell	tissue resident memory t cell	4
mast cell	tuft cell	4
mature b cell	natural killer cell	4
megakaryocyte	plasma cell	4
melanocyte	vascular endothelial cell	4
memory b cell	pericyte	4
memory b cell	t follicular helper cell	4
memory t cell	naive t cell	4
memory t cell	natural killer cell	4
mesenchymal cell	pericyte	4
mesothelial cell	pericyte	4
microglia	mural cell	4
microglia	neuronal cell	4
microglia	retinal ganglion cell	4
microglia	t cell	4
migratory dendritic cell	natural killer cell	4
migratory dendritic cell	regulatory t cell	4
monocyte	mucosal associated invariant t cell	4
monocyte	natural killer t cell	4
monocyte	naïve b cell	4
monocyte derived dendritic cell	plasmacytoid dendritic cell	4
monocyte derived macrophage	plasma cell	4
monocyte macrophage	natural killer cell	4
mural cell	pericyte	4
myeloid cell	myofibroblast	4
myeloid cell	smooth muscle cell	4
myofibroblast	natural killer cell	4
myofibroblast	paneth cell	4
müller glia	rod bipolar cell	4
naive b cell	plasma cell	4
naive b cell	plasmablast	4
naive t cell	plasmacytoid dendritic cell	4
natural killer cell	t regulatory cell	4
natural killer cell	tissue resident memory t cell	4
natural killer cell	tuft cell	4
natural killer t cell	pericyte	4
natural killer t cell	plasmacytoid dendritic cell	4
natural killer t cell	t cell	4
neuron	pericyte	4
neuronal cell	pericyte	4
non classical monocyte	regulatory t cell	4
off bipolar cell	on bipolar cell	4
oligodendrocyte	t cell	4
on bipolar cell	rod bipolar cell	4
paneth cell	pericyte	4
paneth cell	plasma cell	4
paneth cell	t cell	4
paneth cell	transit amplifying cell	4
pericyte	schwann cell	4
pericyte	transit amplifying cell	4
plasma cell	stromal cell	4
plasma cell	tuft cell	4
plasmablast	regulatory t cell	4
plasmacytoid dendritic cell	pre b cell	4
plasmacytoid dendritic cell	t regulatory cell	4
