paper_key	paper_id	collection	organism	source_sha256	manuscript	title	title_key	article_key
biorxiv:bba3f638-6e9f-1014-acea-8b24d5cb22ff	bba3f638-6e9f-1014-acea-8b24d5cb22ff	biorxiv	homo_sapiens	sha256:219bf3553cd4b321a7046582d7f83a239b38016708ccb21e9e428aa000ca894e	data/biorxiv/meca/bba3f638-6e9f-1014-acea-8b24d5cb22ff/manuscript.md	Multiparameter stimulation mapping of signaling states in single pediatric immune cells reveals heightened tonic activation during puberty	multiparameter stimulation mapping of signaling states in single pediatric immune cells reveals heightened tonic activation during puberty	title:multiparameter stimulation mapping of signaling states in single pediatric immune cells reveals heightened tonic activation during puberty
biorxiv:bbba51a5-6ce7-1014-bf38-98263d8fa6e6	bbba51a5-6ce7-1014-bf38-98263d8fa6e6	biorxiv	homo_sapiens	sha256:c9a5488fb53b3fcadb3ecaf8cbe6d18fa617044012b027aeea0ead6f9f9fbf64	data/biorxiv/meca/bbba51a5-6ce7-1014-bf38-98263d8fa6e6/manuscript.md	The circulating cell-free DNA landscape in sepsis is dominated by impaired liver clearance	the circulating cell free dna landscape in sepsis is dominated by impaired liver clearance	title:the circulating cell free dna landscape in sepsis is dominated by impaired liver clearance
biorxiv:bbf66240-6ff3-1014-abc3-b02bd909776b	bbf66240-6ff3-1014-abc3-b02bd909776b	biorxiv	homo_sapiens	sha256:acb941733b0949c68f30c989f90c9202457e38a35bc470076e112ea4bac35a51	data/biorxiv/meca/bbf66240-6ff3-1014-abc3-b02bd909776b/manuscript.md	Preservation of co-expression defines the primary tissue fidelity of human neural organoids	preservation of co expression defines the primary tissue fidelity of human neural organoids	title:preservation of co expression defines the primary tissue fidelity of human neural organoids
biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8	bc260922-6c47-1014-a865-fe4e19bf3ea8	biorxiv	homo_sapiens	sha256:e8eb743fa4b7350221dbd7e0405b5d910d0674cbd51c0d5d05cd8df3f9104754	data/biorxiv/meca/bc260922-6c47-1014-a865-fe4e19bf3ea8/manuscript.md	Single-cell Sequencing Highlights Heterogeneity and Malignant Progression in Actinic Keratosis and Cutaneous Squamous Cell Carcinoma	single cell sequencing highlights heterogeneity and malignant progression in actinic keratosis and cutaneous squamous cell carcinoma	title:single cell sequencing highlights heterogeneity and malignant progression in actinic keratosis and cutaneous squamous cell carcinoma
biorxiv:bc5fc02e-800c-1014-9d28-ba34bfc46990	bc5fc02e-800c-1014-9d28-ba34bfc46990	biorxiv	homo_sapiens	sha256:179bd7710e14bf805ed441c6f88b68bff38fe7bde543bac1f9970cb8be74f652	data/biorxiv/meca/bc5fc02e-800c-1014-9d28-ba34bfc46990/manuscript.md	Transcriptional response to chronic long-access fentanyl self-administration in rat habenula and amygdala	transcriptional response to chronic long access fentanyl self administration in rat habenula and amygdala	title:transcriptional response to chronic long access fentanyl self administration in rat habenula and amygdala
biorxiv:bc60e3db-6f3b-1014-9d48-bca06f1504df	bc60e3db-6f3b-1014-9d48-bca06f1504df	biorxiv	homo_sapiens	sha256:b5c43464d21b1fccf442cde10fef60db2c830ad618cb9597296f1b9f1080002d	data/biorxiv/meca/bc60e3db-6f3b-1014-9d48-bca06f1504df/manuscript.md	MECOM permits pancreatic acinar cell dedifferentiation avoiding cell death under stress conditions	mecom permits pancreatic acinar cell dedifferentiation avoiding cell death under stress conditions	title:mecom permits pancreatic acinar cell dedifferentiation avoiding cell death under stress conditions
biorxiv:bcbf54f0-6d06-1014-aea7-fa48d20f6b53	bcbf54f0-6d06-1014-aea7-fa48d20f6b53	biorxiv	homo_sapiens	sha256:4e985bbd343880299012b91b330f52fce05edc90667030058a4f7db952d311c2	data/biorxiv/meca/bcbf54f0-6d06-1014-aea7-fa48d20f6b53/manuscript.md	Metastatic prognostic ability of lung cancer stromal cells from a single-cell RNA-seq perspective	metastatic prognostic ability of lung cancer stromal cells from a single cell rna seq perspective	title:metastatic prognostic ability of lung cancer stromal cells from a single cell rna seq perspective
biorxiv:bd0ff218-6c18-1014-ac36-a01faa0bb6b7	bd0ff218-6c18-1014-ac36-a01faa0bb6b7	biorxiv	homo_sapiens	sha256:d90b23f2ae62772e821e1704c4d3c0639939687f0fe8330996053912ff3e0795	data/biorxiv/meca/bd0ff218-6c18-1014-ac36-a01faa0bb6b7/manuscript.md	Single-cell characterization and machine learning-based classification reveal the transcriptional identity and antigen-experienced features of peripheral CD4⁺CD8⁺ double-positive T cells	single cell characterization and machine learning based classification reveal the transcriptional identity and antigen experienced features of peripheral cd4 cd8 double positive t cells	title:single cell characterization and machine learning based classification reveal the transcriptional identity and antigen experienced features of peripheral cd4 cd8 double positive t cells
biorxiv:bd111b36-6cc8-1014-a1f3-bfa993af386d	bd111b36-6cc8-1014-a1f3-bfa993af386d	biorxiv	homo_sapiens	sha256:6a4230a317962a040fbb088e05b1bc64810fe9e07e2da9af9851b9bd4eaef4b1	data/biorxiv/meca/bd111b36-6cc8-1014-a1f3-bfa993af386d/manuscript.md	Prediction of Alzheimer’s Disease from Single Cell Transcriptomics Using Deep Learning	prediction of alzheimer s disease from single cell transcriptomics using deep learning	title:prediction of alzheimer s disease from single cell transcriptomics using deep learning
biorxiv:bee8bff4-6f5f-1014-bc4e-9548156f7757	bee8bff4-6f5f-1014-bc4e-9548156f7757	biorxiv	homo_sapiens	sha256:e1431b3a0662598f79de281c1915fb4231a5cc50983fc3f04b2ea79bfb4db2cd	data/biorxiv/meca/bee8bff4-6f5f-1014-bc4e-9548156f7757/manuscript.md	Spatial proteomic mapping of the human and mouse retina using IBEX	spatial proteomic mapping of the human and mouse retina using ibex	title:spatial proteomic mapping of the human and mouse retina using ibex
biorxiv:bfb80dce-7413-1014-9669-feaabfcd8f02	bfb80dce-7413-1014-9669-feaabfcd8f02	biorxiv	homo_sapiens	sha256:726a1e63293b2d890f7dad3db440aaad7c4ad85d5d6c8ab93c8a70abf843fe2d	data/biorxiv/meca/bfb80dce-7413-1014-9669-feaabfcd8f02/manuscript.md	CellCover Defines Marker Gene Panels Capturing Developmental Progression in Neocortical Neural Stem Cell Identity	cellcover defines marker gene panels capturing developmental progression in neocortical neural stem cell identity	title:cellcover defines marker gene panels capturing developmental progression in neocortical neural stem cell identity
