comparison	pairs	any_shared_marker_fraction	mean_marker_jaccard	median_marker_jaccard	mean_shared_markers	mean_directional_recovery	collection_pair
same_label	607.0	0.4135090609555189	0.09919077960573466	0.0	0.6326194398682042	0.1582038510297964	biorxiv-biorxiv
same_label	3547.0	0.48491683112489425	0.11321691802456625	0.0	0.744290950098675	0.1818751960103282	biorxiv-hca
same_label	6283.0	0.5401878083717969	0.12696493478927443	0.08333333333333333	0.8682158204679293	0.20637286159856036	hca-hca
matched_different_label	607.0	0.018253706754530478	0.00280769643254554	0.0	0.0228006589785832	0.004997885608997351	biorxiv-biorxiv
matched_different_label	3547.0	0.01746828305610375	0.0025868377495366695	0.0	0.02115590639977446	0.004695486418165276	biorxiv-hca
matched_different_label	6283.0	0.01883176826356836	0.0026921392023422615	0.0	0.02237784497851345	0.004952314559229465	hca-hca
