group	target	rank	nnz	nnz_frac	mean	log_fc	p_raw	p_corr
Naive T	ENSG00000145425	33.0	562.0	0.9790940766550522	2.3383256244251367	0.6651583692790299	2.6620073408288467e-73	8.969367534188716e-69
Naive T	ENSG00000164104	316.0	152.0	0.26480836236933797	0.25815643073919053	0.10953241223595445	4.0990605296355754e-07	0.013811374548554108
Naive T	ENSG00000168685	118.0	399.0	0.6951219512195121	0.9769907264453755	0.8719954017752616	7.251410525070245e-104	2.4432902623171684e-99
Naive T	ENSG00000082074	255.0	186.0	0.3240418118466899	0.3220518672751983	0.15306456164010154	1.085705943150019e-10	3.658177604849674e-06
Naive T	ENSG00000171522	542.0	95.0	0.16550522648083624	0.16067800609584826	0.10029893330675248	6.892085396628754e-09	0.00023222192535400925
Naive T	ENSG00000145592	77.0	526.0	0.9163763066202091	1.6630362943777102	0.48216523319706783	4.5725562747094424e-38	1.5406771112005995e-33
Naive T	ENSG00000145675	385.0	124.0	0.21602787456445993	0.22417046481284797	0.12126004803476934	5.469182702908522e-09	0.00018427864199179974
Naive T	ENSG00000145741	132.0	394.0	0.686411149825784	0.8221705125475994	0.26447868176315814	8.184227569759009e-17	2.7575936373546006e-12
Naive T	ENSG00000186468	42.0	561.0	0.9773519163763066	2.243171207745275	0.4842360765928475	8.122277450178408e-44	2.7367201640631127e-39
Naive T	ENSG00000127184	128.0	386.0	0.6724738675958188	0.8358415052511938	0.30445191127386717	3.2965589272894144e-19	1.1107425649608953e-14
Naive T	ENSG00000152495	1354.0	46.0	0.08013937282229965	0.07001411605682771	0.05899973345751702	3.166640816581168e-08	0.0010669679567388588
Naive T	ENSG00000145779	434.0	124.0	0.21602787456445993	0.19738751937554722	0.1286393301688674	1.5985187516073984e-12	5.386049081665968e-08
Naive T	ENSG00000081059	1086.0	58.0	0.10104529616724739	0.08746085425994489	0.07226089907441212	1.4651802189994116e-09	4.936778229896618e-05
Naive T	ENSG00000113558	176.0	296.0	0.5156794425087108	0.5368071422170747	0.15484822452432162	2.6445921443168758e-08	0.0008910688771061281
Naive T	ENSG00000164587	21.0	572.0	0.9965156794425087	2.568174966122251	0.7676855237742766	4.194273401368372e-111	1.4132184798570592e-106
Naive T	ENSG00000113263	1236.0	50.0	0.08710801393728224	0.0765777603532886	0.05587666580813136	9.290354835565941e-07	0.03130292158295588
Naive T	ENSG00000181163	144.0	339.0	0.5905923344947736	0.7122840863595451	0.2847520221833026	3.0806730340948624e-18	1.038001972107923e-13
Naive T	ENSG00000204628	95.0	494.0	0.8606271777003485	1.317436665409217	0.37842662558803253	4.883160181889661e-27	1.6453319916859022e-22
Naive T	ENSG00000111913	1098.0	52.0	0.09059233449477352	0.08666340719360055	0.060942382623419035	1.4027114514152465e-06	0.04726295964398532
Naive T	ENSG00000206503	89.0	502.0	0.8745644599303136	1.384975714763265	0.42658500794454846	9.439835305730285e-29	3.180658107912762e-24
Naive T	ENSG00000204592	148.0	346.0	0.6027874564459931	0.6966909850961747	0.2000538690285822	1.8264186256477424e-10	6.153934917257503e-06
Naive T	ENSG00000204525	103.0	472.0	0.8222996515679443	1.2008871374585586	0.3083429327909658	4.219747361509417e-18	1.4218016759869828e-13
Naive T	ENSG00000234745	71.0	536.0	0.9337979094076655	1.7402352082443893	0.37527614209600846	7.482047141943284e-24	2.52100096400637e-19
Naive T	ENSG00000227507	178.0	255.0	0.4442508710801394	0.5303077294070825	0.4286663881557347	1.4225168851573852e-42	4.793028392849294e-38
Naive T	ENSG00000213654	262.0	190.0	0.3310104529616725	0.3186400637408119	0.1266795558684084	2.3566678756156594e-08	0.0007940556740099403
Naive T	ENSG00000231500	8.0	571.0	0.9947735191637631	2.983233303228802	0.8832638127839307	1.7776749396160526e-130	5.989697941542327e-126
Naive T	ENSG00000124614	122.0	412.0	0.7177700348432056	0.900716218635429	0.32874385825667074	5.167112920808811e-23	1.7410070275373206e-18
Naive T	ENSG00000198755	58.0	548.0	0.9547038327526133	1.895431162916331	0.740684485565213	9.551023628244383e-86	3.2181219013006627e-81
Naive T	ENSG00000156508	10.0	571.0	0.9947735191637631	2.9079198664265555	0.7915455357830141	6.063552663627396e-119	2.043053434482615e-114
Naive T	ENSG00000057657	297.0	154.0	0.2682926829268293	0.27819905408806495	0.184821752793299	1.6467725113106378e-15	5.5486352996100634e-11
Naive T	ENSG00000112297	793.0	73.0	0.12717770034843207	0.11769611360922201	0.0772879308195087	5.700124556079726e-08	0.0019205999679255028
Naive T	ENSG00000146285	1114.0	55.0	0.09581881533101046	0.08521161999073351	0.06401126808505629	1.4961335994044383e-07	0.005041072549833314
Naive T	ENSG00000010810	706.0	83.0	0.1445993031358885	0.13159074267193627	0.07881244980454545	1.6418306622512999e-07	0.00553198423338953
Naive T	ENSG00000112306	26.0	566.0	0.9860627177700348	2.470969210665247	0.7228442041499183	2.0463974880441593e-83	6.89513169621599e-79
Naive T	ENSG00000112378	1187.0	49.0	0.08536585365853659	0.07973776964175788	0.05857564678923191	7.979147978991276e-07	0.026884941200413206
Naive T	ENSG00000146386	315.0	158.0	0.27526132404181186	0.25826770258872783	0.09955103660748704	1.4241415375008314e-06	0.047985024964553015
Naive T	ENSG00000164691	788.0	74.0	0.1289198606271777	0.11800250964100047	0.07374757919074258	7.542075710599273e-07	0.02541226989929319
Naive T	ENSG00000112486	1423.0	44.0	0.07665505226480836	0.0668154021813929	0.06333880464141249	3.4793810234590087e-10	1.1723426420442784e-05
Naive T	ENSG00000196683	139.0	369.0	0.6428571428571429	0.763090254232491	0.277724924351821	5.492294696244011e-18	1.850573774952457e-13
Naive T	ENSG00000168255	294.0	163.0	0.28397212543554007	0.2807894879668694	0.12276245354611726	8.871278074884678e-08	0.0029890884345516434
Naive T	ENSG00000233559	1258.0	45.0	0.078397212543554	0.07504889920457833	0.06628355409871424	1.3373032547835427e-08	0.00045059095866676685
Naive T	ENSG00000271204	746.0	74.0	0.1289198606271777	0.12479673659753103	0.0921772066151458	7.862780144767861e-10	2.649285141978083e-05
Naive T	ENSG00000273319	549.0	96.0	0.1672473867595819	0.15945041807691565	0.12629936706919426	8.683949778622373e-14	2.9259700384090225e-09
Naive T	ENSG00000211751	187.0	212.0	0.3693379790940767	0.4791253245077222	0.40578237664675837	1.5956991164912965e-37	5.376548603105774e-33
