resource	comparison	n_pairs	n_labels_with_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_25	pct_jaccard_eq_1
LLMarkers	Same label	5620	325.0	0.09763460604712561	0.0	0.0	0.16666666666666666	0.5635231316725978	0.4364768683274021	0.11637010676156584	0.00800711743772242
LLMarkers	Random different labels	100000		0.0025330944681063567	0.0	0.0	0.0	0.98053	0.01947	0.0015	0.0
CAP ontology	Same label	8026	178.0	0.14343538253955848	0.0	0.0	0.125	0.606154996262148	0.393845003737852	0.17518066284575132	0.08210814851731871
CAP ontology	Random different labels	100000		0.0029359533847703825	0.0	0.0	0.0	0.9775	0.0225	0.00235	1e-05
