"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"45"	"ncMonocyte"	"CXCL2"	-0.378377247858451	0.78125	0.961538461538462	3.86804620879308e-06	3.98838542417776e-05	0.00179477344087999
"46"	"ncMonocyte"	"FOXN3"	-0.515017124667632	0.9375	1	4.13195748851529e-06	4.10122072546673e-05	0.0019172282746711
"47"	"ncMonocyte"	"CYTH1"	-0.541909415127433	1	1	4.15425375208915e-06	4.10122072546673e-05	0.00192757374096936
"48"	"ncMonocyte"	"KLF4"	0.369775267388484	0.9375	0.923076923076923	4.4402810841536e-06	4.29227171468181e-05	0.00206029042304727
"49"	"ncMonocyte"	"NFKB1"	-0.624746728334391	0.96875	1	4.97754256331665e-06	4.71342805995699e-05	0.00230957974937892
"50"	"ncMonocyte"	"COTL1"	0.672789940070263	0.96875	0.961538461538462	5.36693554988021e-06	4.93885708993704e-05	0.00249025809514442
"51"	"ncMonocyte"	"ENSG00000260272"	0.424071554222215	0.96875	1	5.44426252143944e-06	4.93885708993704e-05	0.0025261378099479
"52"	"ncMonocyte"	"SASH1"	-0.380269131216566	0.90625	0.923076923076923	5.53492604906737e-06	4.93885708993704e-05	0.00256820568676726
"53"	"ncMonocyte"	"ADGRE5"	0.576358740783085	1	1	5.95169851791071e-06	5.13869986981875e-05	0.00276158811231057
"54"	"ncMonocyte"	"BCL2A1"	0.502913576283588	0.9375	0.923076923076923	5.98038346918561e-06	5.13869986981875e-05	0.00277489792970212
"55"	"ncMonocyte"	"SIRPA"	-0.299028945842028	0.9375	1	6.95097820022636e-06	5.8640979725546e-05	0.00322525388490503
"56"	"ncMonocyte"	"MYO1F"	-0.3852620905597	0.96875	1	7.10206718309337e-06	5.88456995170594e-05	0.00329535917295532
"57"	"ncMonocyte"	"LST1"	0.832098809577386	1	0.961538461538462	7.75229221666476e-06	6.20183377333181e-05	0.00359706358853245
"58"	"ncMonocyte"	"TMSB4X"	0.880420840912557	1	1	7.75229221666476e-06	6.20183377333181e-05	0.00359706358853245
"59"	"ncMonocyte"	"PID1"	-0.493280959686054	0.9375	0.961538461538462	8.03987823440337e-06	6.22348946522001e-05	0.00373050350076316
"60"	"ncMonocyte"	"NACA"	0.688507325899648	1	0.923076923076923	8.04761568778449e-06	6.22348946522001e-05	0.003734093679132
"61"	"ncMonocyte"	"ITM2B"	0.572729624964254	0.96875	0.961538461538462	8.34658459073366e-06	6.32974635061625e-05	0.00387281525010042
"62"	"ncMonocyte"	"B4GALT1"	-0.381101958005211	1	1	8.45785072711654e-06	6.32974635061625e-05	0.00392444273738207
"63"	"ncMonocyte"	"TAGLN2"	0.262914665047199	0.9375	0.884615384615385	8.60390402605421e-06	6.33684360014151e-05	0.00399221146808915
"64"	"ncMonocyte"	"ARL4A"	0.532469837187002	0.9375	0.923076923076923	9.97943394302761e-06	7.23508960869502e-05	0.00463045734956481
"65"	"ncMonocyte"	"C1QA"	-0.671933602002096	0.96875	1	1.09514755342229e-05	7.69921916345369e-05	0.00508148464787943
"66"	"ncMonocyte"	"RPL39"	0.651178796074568	1	1	1.09514755342229e-05	7.69921916345369e-05	0.00508148464787943
"67"	"ncMonocyte"	"CD52"	0.920954179569079	1	0.923076923076923	1.15594178726342e-05	8.00532819836158e-05	0.00536356989290226
"68"	"ncMonocyte"	"UBC"	0.511059123623643	1	1	1.19249460148498e-05	8.01909413172505e-05	0.00553317495089029
"69"	"ncMonocyte"	"CTSB"	-0.482358251267287	1	1	1.19249460148498e-05	8.01909413172505e-05	0.00553317495089029
"70"	"ncMonocyte"	"H3F3B"	0.546260257505793	1	1	1.29787395305771e-05	8.48188048195462e-05	0.00602213514218778
"71"	"ncMonocyte"	"EIF1"	0.608552528222104	0.96875	1	1.29787395305771e-05	8.48188048195462e-05	0.00602213514218778
"72"	"ncMonocyte"	"CSTB"	0.401673512940141	0.9375	1	1.43243355951781e-05	9.23123849467033e-05	0.00664649171616264
"73"	"ncMonocyte"	"CD14"	-0.330148679508082	0.84375	0.961538461538462	1.46904857059997e-05	9.33751420216969e-05	0.00681638536758387
"74"	"ncMonocyte"	"CFL1"	0.542894813051281	1	0.961538461538462	1.53520958009228e-05	9.6261789886867e-05	0.00712337245162816
"75"	"ncMonocyte"	"JUN"	0.479477439652209	0.96875	0.884615384615385	1.58900521066134e-05	9.83064556995818e-05	0.00737298417746863
"76"	"ncMonocyte"	"SV2C"	0.288126256171438	0.9375	0.961538461538462	1.7697393674545e-05	0.000107823433745064	0.00821159066498888
"77"	"ncMonocyte"	"HIF1A"	-0.62423300359498	0.96875	1	1.81254910174893e-05	0.000107823433745064	0.00841022783211502
"78"	"ncMonocyte"	"RBM3"	0.324217363085851	1	0.961538461538462	1.81254910174893e-05	0.000107823433745064	0.00841022783211502
"79"	"ncMonocyte"	"EEPD1"	-0.304512427868932	0.78125	0.884615384615385	1.87500208885737e-05	0.0001101267049658	0.0087000096922982
"80"	"ncMonocyte"	"OAZ2"	-0.257246789971556	0.90625	0.961538461538462	1.96297178604807e-05	0.000113852363590788	0.00910818908726306
"81"	"ncMonocyte"	"GDI2"	0.257041821738334	0.96875	0.884615384615385	2.25734485458542e-05	0.00012773268445459	0.0104740801252764
"82"	"ncMonocyte"	"IP6K1"	-0.2770501089426	0.90625	0.961538461538462	2.25734485458542e-05	0.00012773268445459	0.0104740801252764
"83"	"ncMonocyte"	"ABR"	-0.292712000174641	0.96875	1	2.51269526167249e-05	0.000138796500168576	0.0116589060141603
"84"	"ncMonocyte"	"ENSG00000236449"	0.432496373025266	0.96875	1	2.51269526167249e-05	0.000138796500168576	0.0116589060141603
"85"	"ncMonocyte"	"ITPR1"	-0.307664351899483	0.875	0.923076923076923	2.66551913122124e-05	0.000145248013551051	0.0123680087688666
"86"	"ncMonocyte"	"RIN3"	-0.475886024640805	1	1	2.7234002540822e-05	0.000145248013551051	0.0126365771789414
"87"	"ncMonocyte"	"MRTFA"	-0.334587049769255	0.96875	1	2.7234002540822e-05	0.000145248013551051	0.0126365771789414
"88"	"ncMonocyte"	"SDC2"	-0.418481648803813	0.8125	0.923076923076923	2.81640209271927e-05	0.000147027793467735	0.0130681057102174
"89"	"ncMonocyte"	"RHOC"	0.381929388426219	0.90625	0.846153846153846	2.8389049244779e-05	0.000147027793467735	0.0131725188495775
"90"	"ncMonocyte"	"HNRNPU"	0.273852992983033	0.96875	0.923076923076923	2.88107156960655e-05	0.000147027793467735	0.0133681720829744
"91"	"ncMonocyte"	"ATP9B"	-0.324862129301453	0.9375	1	2.88351922533704e-05	0.000147027793467735	0.0133795292055639
"92"	"ncMonocyte"	"TMSB10"	0.734967176769155	1	1	2.9504577845723e-05	0.000148805696961038	0.0136901241204155
"93"	"ncMonocyte"	"MIR1244-2"	0.578041952074298	0.96875	0.961538461538462	2.9843413384152e-05	0.000148896170002651	0.0138473438102465
"94"	"ncMonocyte"	"RPL32"	0.704842586950166	1	1	3.19502988612783e-05	0.000156241307216229	0.0148249386716331
"95"	"ncMonocyte"	"C1QC"	-0.492825994637591	0.78125	0.923076923076923	3.1989060744702e-05	0.000156241307216229	0.0148429241855417
"96"	"ncMonocyte"	"ZNF331"	-0.793868187251662	0.90625	1	3.30452910831204e-05	0.000159718906901749	0.0153330150625679
"97"	"ncMonocyte"	"VIM"	0.43135137117618	0.96875	1	3.45835264175859e-05	0.000163742410793468	0.0160467562577598
"98"	"ncMonocyte"	"MAP4K4"	-0.337770037705292	0.96875	1	3.45835264175859e-05	0.000163742410793468	0.0160467562577598
"99"	"ncMonocyte"	"S100A4"	0.776452664161544	0.96875	1	3.74174104247869e-05	0.000175370489263648	0.0173616784371011
"100"	"ncMonocyte"	"ENSG00000273269"	0.586795118031714	0.96875	0.961538461538462	3.92048814466266e-05	0.000181910649912348	0.0181910649912348
"101"	"ncMonocyte"	"ATP5F1E"	0.508716995153274	1	1	4.04659266547677e-05	0.000184331479843724	0.0187761899678122
"102"	"ncMonocyte"	"MALT1"	-0.468478559730612	0.9375	0.961538461538462	4.05211442759911e-05	0.000184331479843724	0.0188018109440599
"103"	"ncMonocyte"	"RIPOR2"	0.49137806992499	0.96875	1	4.72671941429284e-05	0.000210884404637681	0.0219319780823188
"104"	"ncMonocyte"	"PFKFB3"	-0.507543194603021	0.96875	1	4.72671941429284e-05	0.000210884404637681	0.0219319780823188
"105"	"ncMonocyte"	"KLF2"	0.318858037571801	1	0.884615384615385	4.95839437973717e-05	0.000219113808780766	0.0230069499219805
"106"	"ncMonocyte"	"OAZ1"	0.681566546628737	0.96875	1	5.10524709614791e-05	0.000221386416132021	0.0236883465261263
"107"	"ncMonocyte"	"MT2A"	1.03765015662258	0.96875	1	5.10524709614791e-05	0.000221386416132021	0.0236883465261263
"108"	"ncMonocyte"	"SUSD6"	-0.302637261226845	1	1	5.51175333724477e-05	0.000232495777134688	0.0255745354848157
"109"	"ncMonocyte"	"ZMYM2"	-0.279210050558177	0.96875	1	5.51175333724477e-05	0.000232495777134688	0.0255745354848157
"110"	"ncMonocyte"	"RPLP2"	0.590038799356403	1	1	5.51175333724477e-05	0.000232495777134688	0.0255745354848157
"111"	"ncMonocyte"	"GAB2"	-0.531368835015238	0.96875	1	5.94812391307632e-05	0.000246422276398876	0.0275992949566741
"112"	"ncMonocyte"	"RHOA"	0.356902426550042	0.96875	1	5.94812391307632e-05	0.000246422276398876	0.0275992949566741
"113"	"ncMonocyte"	"TNFSF13B"	0.397773901205808	1	1	6.41635791491265e-05	0.000263468148010573	0.0297719007251947
"114"	"ncMonocyte"	"LAMTOR4"	0.378027783918457	1	0.923076923076923	6.47350707430092e-05	0.000263483094954002	0.0300370728247563
"115"	"ncMonocyte"	"GMFG"	0.465634668829943	1	0.923076923076923	6.91431507180509e-05	0.000278977582027614	0.0320824219331756
"116"	"ncMonocyte"	"ATP1B3"	-0.613168840882572	1	1	8.0340678418188e-05	0.00031749167291253	0.0372780747860392
"117"	"ncMonocyte"	"ARPC5"	0.301242944247212	0.96875	1	8.0340678418188e-05	0.00031749167291253	0.0372780747860392
"118"	"ncMonocyte"	"EREG"	-0.576682647428033	0.84375	0.961538461538462	8.07414168182726e-05	0.00031749167291253	0.0374640174036785
"119"	"ncMonocyte"	"PFN1"	0.598407110313623	0.96875	0.961538461538462	8.14386255336855e-05	0.000317542203761597	0.0377875222476301
"120"	"ncMonocyte"	"NUDT16"	0.254284189352173	0.96875	0.923076923076923	8.4070362222472e-05	0.00032238552124981	0.039008648071227
"121"	"ncMonocyte"	"NFAM1"	-0.358305855157169	0.9375	0.961538461538462	8.4070362222472e-05	0.00032238552124981	0.039008648071227
"122"	"ncMonocyte"	"SLC16A10"	-0.470538360707218	0.78125	0.923076923076923	8.71406813377249e-05	0.000331420296235281	0.0404332761407043
"123"	"ncMonocyte"	"NAIP"	-0.364336605360848	0.875	0.961538461538462	8.93539265313063e-05	0.000335193518335207	0.0414602219105261
"124"	"ncMonocyte"	"DRAP1"	0.296819734797703	0.9375	0.923076923076923	8.95775781757882e-05	0.000335193518335207	0.0415639962735657
"125"	"ncMonocyte"	"RANBP2"	-0.303451519866566	0.90625	0.961538461538462	9.25268179673673e-05	0.000340298075076467	0.0429324435368584
"126"	"ncMonocyte"	"SSH2"	0.462014483100985	1	1	9.31419300317054e-05	0.000340298075076467	0.0432178555347113
"127"	"ncMonocyte"	"FOS"	0.681818464964518	1	0.961538461538462	9.31419300317054e-05	0.000340298075076467	0.0432178555347113
"128"	"ncMonocyte"	"RPL22"	0.487345013153854	1	0.961538461538462	0.000100227479532044	0.000360508143433088	0.0465055505028683
"129"	"ncMonocyte"	"ATP5MC2"	0.43642133199847	1	0.961538461538462	0.000100227479532044	0.000360508143433088	0.0465055505028683
"130"	"ncMonocyte"	"LSP1"	0.368542463200952	0.9375	0.884615384615385	0.000101683782905866	0.000362932886679398	0.0471812752683218
"131"	"ncMonocyte"	"MB21D2"	-0.407498569474486	0.8125	0.961538461538462	0.000107483993139962	0.000371403248268264	0.0498725728169425
"132"	"ncMonocyte"	"MANBA"	-0.398036166329091	0.96875	1	0.000107808807359748	0.000371403248268264	0.050023286614923
"133"	"ncMonocyte"	"GRB2"	-0.36346501101662	0.96875	1	0.000107808807359748	0.000371403248268264	0.050023286614923
"134"	"ncMonocyte"	"IFITM2"	0.688893754785108	1	0.961538461538462	0.000107808807359748	0.000371403248268264	0.050023286614923
"135"	"ncMonocyte"	"MXD1"	-0.303925650740614	0.9375	0.961538461538462	0.000108859572768284	0.000371403248268264	0.0505108417644839
"136"	"ncMonocyte"	"HIP1"	-0.311500314268453	0.90625	1	0.000108859572768284	0.000371403248268264	0.0505108417644839
"137"	"ncMonocyte"	"HNRNPDL"	0.297027666332804	0.9375	0.923076923076923	0.000115888021361718	0.00038769383698177	0.0537720419118373
"138"	"ncMonocyte"	"JUNB"	0.523148078041683	0.96875	1	0.000115917373993055	0.00038769383698177	0.0537856615327776
"139"	"ncMonocyte"	"SUPT6H"	-0.276252822041917	0.9375	1	0.000116141041682039	0.00038769383698177	0.053889443340466
"140"	"ncMonocyte"	"INPP5A"	-0.278515535406841	0.90625	0.961538461538462	0.000119647832077667	0.000396547100600266	0.0555165940840373
"141"	"ncMonocyte"	"CTTNBP2NL"	-0.282795165817733	0.875	0.923076923076923	0.000122781348723616	0.000404046424168497	0.056970545807758
"142"	"ncMonocyte"	"SH3BGRL3"	0.571002651226108	0.96875	0.923076923076923	0.000123700808651021	0.000404205459254042	0.057397175214074
"143"	"ncMonocyte"	"RPL11"	0.663921382336368	1	0.961538461538462	0.000124586418198041	0.000404252433873364	0.0578080980438911
"144"	"ncMonocyte"	"RPL14"	0.63368750190168	0.96875	0.923076923076923	0.000131817818989218	0.000424746305631926	0.0611634680109973
"145"	"ncMonocyte"	"PFDN5"	0.449307930459607	0.96875	1	0.000133851030331893	0.000425389575849303	0.0621068780739982
"146"	"ncMonocyte"	"RPL10"	0.769705795218282	1	1	0.000133851030331893	0.000425389575849303	0.0621068780739982
"147"	"ncMonocyte"	"TYROBP"	0.568860574257115	1	1	0.000143748253401936	0.00044764556764093	0.0666991895784985
"148"	"ncMonocyte"	"KCNAB2"	0.396431812546058	0.96875	1	0.000143748253401936	0.00044764556764093	0.0666991895784985
"149"	"ncMonocyte"	"RPS24"	0.592913649622524	1	0.961538461538462	0.000143748253401936	0.00044764556764093	0.0666991895784985
"150"	"ncMonocyte"	"RTN4"	0.296439537884517	0.96875	0.961538461538462	0.000145042272509839	0.000448664096297101	0.0672996144445652
"151"	"ncMonocyte"	"RPL28"	0.591385454299889	0.96875	1	0.000154317162108053	0.000459446609592645	0.0716031632181366
"152"	"ncMonocyte"	"MED13L"	-0.422565718271585	0.96875	1	0.000154317162108053	0.000459446609592645	0.0716031632181366
"153"	"ncMonocyte"	"RPL8"	0.594922167642188	1	1	0.000154317162108053	0.000459446609592645	0.0716031632181366
"154"	"ncMonocyte"	"RPL38"	0.540859680104596	1	0.961538461538462	0.000154317162108053	0.000459446609592645	0.0716031632181366
"155"	"ncMonocyte"	"MTCO2P12"	-0.71709446322095	0.96875	1	0.000154317162108053	0.000459446609592645	0.0716031632181366
"156"	"ncMonocyte"	"NFAT5"	-0.637135785400519	0.96875	0.961538461538462	0.000154469118742355	0.000459446609592645	0.0716736710964527
"157"	"ncMonocyte"	"ITPR2"	-0.291863077348098	0.9375	0.961538461538462	0.000159284591786403	0.000470751914578925	0.0739080505888912
"158"	"ncMonocyte"	"MERTK"	-0.320145979525955	0.875	0.884615384615385	0.000167548853010585	0.000492042201246275	0.0777426677969114
