source_corpus	paper_id	paper_key	n_profiles	n_genes	n_distinct_marker_signatures	n_duplicate_profile_signatures	all_profiles_locally_identifiable	information_lower_bound_log2	greedy_local_panel_size	greedy_local_panel_genes	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
hca	0197_10.3389_fmed.2022.869284_8494fa8c76	hca:0197_10.3389_fmed.2022.869284_8494fa8c76	8	39	8	0	True	3	7	GLG1; SELE; TGFBR3; EDN1; SLC4A1; GADD45B; TIMP3	28	0.030797773654916514	0.0	0.0	0.017857142857142856	0.75	0.17857142857142858	0.0	0.0	0.25
hca	0228_10.1128_mbio.02583-20_5085db2792	hca:0228_10.1128_mbio.02583-20_5085db2792	8	24	8	0	True	3	7	CD19; CD38; CD14; CD22; TNFRSF17; CST7; SIGLEC1	28	0.06649659863945578	0.0	0.0	0.03571428571428571	0.75	0.25	0.10714285714285714	0.0	0.39285714285714285
hca	0278_10.1007_s10911-020-09466-z_d1b799dcf6	hca:0278_10.1007_s10911-020-09466-z_d1b799dcf6	8	45	8	0	True	3	7	KRT18; TNFRSF12A; PROM1; CD44; CHRDL2; KLF6; NTRK2	28	0.011904761904761904	0.0	0.0	0.0	0.9642857142857143	0.03571428571428571	0.03571428571428571	0.0	0.07142857142857142
hca	0352_10.1038_nature25980_27cde67bed	hca:0352_10.1038_nature25980_27cde67bed	8	30	8	0	True	3	7	TNC; RBFOX1; PTPRC; CALB1; SFRP1; PPP1R17; LHX6	28	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hca	0385_10.1038_s41586-022-04521-7_37f1f319e2	hca:0385_10.1038_s41586-022-04521-7_37f1f319e2	8	29	8	0	True	3	7	CD74; VCAN; CAMK2A; SLC4A4; TGFBR1; PLP1; APOE	28	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hca	0436_10.1016_j.jtos.2020.12.004_24ddeb29a4	hca:0436_10.1016_j.jtos.2020.12.004_24ddeb29a4	8	54	8	0	True	3	7	SLC2A3; DCN; TYR; BIRC5; KRT7; PDK4; GJA1	28	0.00510204081632653	0.0	0.0	0.0	0.9642857142857143	0.03571428571428571	0.0	0.0	0.14285714285714285
biorxiv	6f28f2e1-6c20-1014-910c-d12c701e7668	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668	8	28	8	0	True	3	6	GZMB; FOS; CCL3; TYROBP; LAG3; FCGR3A	28	0.03928571428571429	0.0	0.0	0.0	0.8928571428571429	0.10714285714285714	0.07142857142857142	0.0	0.21428571428571427
biorxiv	96c0ca44-7598-1014-bd6e-c97aae1f298a	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	8	27	7	2	False	3	6	IFNG; MARCO; FOXP3; TCF7; NR4A1; HAVCR2	28	0.04591836734693877	0.0	0.0	0.0	0.9285714285714286	0.07142857142857142	0.07142857142857142	0.03571428571428571	0.21428571428571427
biorxiv	bc260922-6c47-1014-a865-fe4e19bf3ea8	biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8	8	30	8	0	True	3	6	COL17A1; SFRP1; KRT17; CD207; ITGA3; S100A8	28	0.02371794871794872	0.0	0.0	0.0	0.8571428571428571	0.10714285714285714	0.0	0.0	0.21428571428571427
biorxiv	c78d9bda-6cc0-1014-aba5-dba9dd700073	biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073	8	27	7	2	False	3	6	CD44; CDKN2A; SLC4A11; CENPF; CDKN1A; COL6A3	28	0.06887755102040817	0.0	0.0	0.0	0.8928571428571429	0.10714285714285714	0.10714285714285714	0.03571428571428571	0.2857142857142857
biorxiv	d00e7bca-700f-1014-91f0-ae4c53ddfbf4	biorxiv:d00e7bca-700f-1014-91f0-ae4c53ddfbf4	8	29	8	0	True	3	6	DLL3; EZH2; KLF8; EGR2; ONECUT2; SOX4	28	0.03798443619872192	0.0	0.0	0.0	0.7857142857142857	0.17857142857142858	0.03571428571428571	0.0	0.32142857142857145
biorxiv	e3312584-7421-1014-b0a7-823d4471ccf1	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	8	27	8	0	True	3	6	CD4; C1QB; CD44; CSF3R; CXCL9; IL24	28	0.041269841269841276	0.0	0.0	0.0	0.8214285714285714	0.17857142857142858	0.03571428571428571	0.0	0.25
hca	0051_10.1038_s41588-024-01990-6_8eb62f3200	hca:0051_10.1038_s41588-024-01990-6_8eb62f3200	8	26	8	0	True	3	6	LAMC3; TUBB4A; FNBP1L; TENM1; FGFR3; C1QL3	28	0.09349618635332921	0.0	0.0	0.017857142857142856	0.75	0.17857142857142858	0.14285714285714285	0.0	0.6428571428571429
hca	0069_10.1038_s41467-021-23355-x_92232969b4	hca:0069_10.1038_s41467-021-23355-x_92232969b4	8	22	8	0	True	3	6	CD38; CD40; ICAM1; CD37; CR2; CXCR4	28	0.08156179138321995	0.0	0.0	0.1294642857142857	0.6071428571428571	0.39285714285714285	0.10714285714285714	0.0	0.5357142857142857
hca	0132_10.1038_s41467-020-16239-z_001d78a35b	hca:0132_10.1038_s41467-020-16239-z_001d78a35b	8	37	8	0	True	3	6	KRT5; SCGB1A1; CFTR; TP73; ACTN1; RFX3	28	0.02684369202226345	0.0	0.0	0.0	0.8571428571428571	0.10714285714285714	0.07142857142857142	0.0	0.21428571428571427
hca	0146_10.1016_j.cell.2019.01.017_63c175b000	hca:0146_10.1016_j.cell.2019.01.017_63c175b000	8	21	7	2	False	3	6	SCGN; ATP1A2; MOXD1; ITGB8; LHX6; SP8	28	0.0625	0.0	0.0	0.0	0.9285714285714286	0.07142857142857142	0.07142857142857142	0.03571428571428571	0.21428571428571427
hca	0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	hca:0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	8	28	7	2	False	3	6	TREM2; LAG3; IGF1; IL32; SIRT2; CD209	28	0.1389455782312925	0.0	0.0	0.08333333333333333	0.75	0.25	0.25	0.03571428571428571	0.75
hca	0404_10.1038_s41586-022-04918-4_6a15fd8ba2	hca:0404_10.1038_s41586-022-04918-4_6a15fd8ba2	8	32	8	0	True	3	6	WNT6; FOXL2; NR1H4; KLF6; ACP5; LHX2	28	0.007711038961038961	0.0	0.0	0.0	0.9285714285714286	0.03571428571428571	0.0	0.0	0.07142857142857142
hca	0428_10.1073_pnas.1914143116_42027a0378	hca:0428_10.1073_pnas.1914143116_42027a0378	8	29	8	0	True	3	6	ICAM1; RGCC; SELE; NGFR; DCT; ICAM2	28	0.023738662131519272	0.0	0.0	0.0	0.8928571428571429	0.10714285714285714	0.03571428571428571	0.0	0.17857142857142858
hca	0501_10.1126_sciimmunol.abb8786_1f1edec8bd	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	8	26	7	2	False	3	5	LGALS1; NKG7; GATA3; CST7; KLRB1	28	0.1048624373992021	0.0	0.0	0.16666666666666666	0.6785714285714286	0.32142857142857145	0.10714285714285714	0.03571428571428571	0.8928571428571429
hca	0120_10.1038_s41467-022-34255-z_c90043e943	hca:0120_10.1038_s41467-022-34255-z_c90043e943	8	17	6	4	False	3	4	GPRC5A; LRP2; VCAM1; CDH1	28	0.11496598639455782	0.0	0.0	0.14285714285714285	0.7142857142857143	0.2857142857142857	0.10714285714285714	0.07142857142857142	0.5357142857142857
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	7	27	7	0	True	3	6	S100A8; ASNS; CXCL2; F3; KRT17; S100A7	21	0.023809523809523808	0.0	0.0	0.0	0.9523809523809523	0.047619047619047616	0.047619047619047616	0.0	0.14285714285714285
biorxiv	53fe4c58-6d7e-1014-9234-a9ab6cb90679	biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679	7	27	7	0	True	3	6	GREM1; COL11A1; NOTCH3; FAP; BMP7; C3	21	0.005952380952380952	0.0	0.0	0.0	0.9523809523809523	0.047619047619047616	0.0	0.0	0.047619047619047616
biorxiv	98d19bc0-7b12-1014-9641-857e081ce400	biorxiv:98d19bc0-7b12-1014-9641-857e081ce400	7	21	7	0	True	3	6	DCN; PTGS2; MCAM; TGFB2; MYL9; MCM3	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
biorxiv	c245f005-7ab6-1014-adbd-b49bd8bfffbc	biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc	7	28	7	0	True	3	6	SYT1; LYZ; MYH7; GZMK; GFAP; MOG	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
biorxiv	dd32f357-70c5-1014-bad0-ccf1b5b647f4	biorxiv:dd32f357-70c5-1014-bad0-ccf1b5b647f4	7	29	7	0	True	3	6	CRHBP; CD3D; MPO; CD99; RPL31; AREG	21	0.01924001924001924	0.0	0.0	0.0	0.9047619047619048	0.09523809523809523	0.0	0.0	0.19047619047619047
biorxiv	eda68d46-7b76-1014-b9f8-bf62f9afae8d	biorxiv:eda68d46-7b76-1014-b9f8-bf62f9afae8d	7	25	7	0	True	3	6	COL1A1; CKM; CSTA; NR4A1; JCHAIN; CLEC3B	21	0.009523809523809525	0.0	0.0	0.0	0.9523809523809523	0.047619047619047616	0.0	0.0	0.047619047619047616
hca	0001_10.1016_j.celrep.2018.11.086_7aff07407b	hca:0001_10.1016_j.celrep.2018.11.086_7aff07407b	7	34	7	0	True	3	6	ACPP; KRT5; DCN; TP63; CHGB; NEFH	21	0.031746031746031744	0.0	0.0	0.0	0.9047619047619048	0.09523809523809523	0.09523809523809523	0.0	0.2857142857142857
hca	0050_10.1073_pnas.1507125112_495172b774	hca:0050_10.1073_pnas.1507125112_495172b774	7	22	7	0	True	3	6	GAD1; TAC1; SYT1; SNAP25; SLC17A7; SST	21	0.03522297808012094	0.0	0.0	0.0	0.8571428571428571	0.14285714285714285	0.047619047619047616	0.0	0.23809523809523808
hca	0062_10.1038_s41588-024-01873-w_27bb519849	hca:0062_10.1038_s41588-024-01873-w_27bb519849	7	36	7	0	True	3	6	TREM2; OPRK1; RARRES2; DKK1; IGF1; KMO	21	0.022408963585434174	0.0	0.0	0.0	0.9523809523809523	0.047619047619047616	0.047619047619047616	0.0	0.38095238095238093
hca	0081_10.1038_s41598-020-66092-9_e23219ced0	hca:0081_10.1038_s41598-020-66092-9_e23219ced0	7	51	7	0	True	3	6	PHGDH; CACNA1F; SLC24A1; PROM1; SLC7A14; CRX	21	0.02180872348939576	0.0	0.0	0.0	0.8571428571428571	0.09523809523809523	0.047619047619047616	0.0	0.19047619047619047
