profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
1	17	294	3856	B CELL	DCS	CL:0000236	CL:0000451	B cell	dendritic cell	0.0	0.16666666666666666	CL:0000842	5.0	0.0	False
2	3	341	445	IMMUNE-REGULATORY	B REGULATORY		CL:0000969		regulatory B cell	0.0	0.0			0.5	False
2	4	341	1057	IMMUNE-REGULATORY	HNDAM		CL:0000129		microglial cell	0.0	0.0			0.0	False
2	5	341	1333	IMMUNE-REGULATORY	DENDRITIC CELL		CL:0001056		dendritic cell, human	0.0	0.0			0.0	False
2	6	341	1829	IMMUNE-REGULATORY	EXHAUSTED CD8 T CELL		CL:0020031		CD8-positive exhausted alpha-beta T cell	0.0	0.0			0.0	False
2	7	341	2113	IMMUNE-REGULATORY	PLASMACYTOID DENDRITIC CELL		CL:0001058		plasmacytoid dendritic cell, human	0.0	0.0			0.0	False
2	8	341	2259	IMMUNE-REGULATORY	ALVEOLAR MAC		CL:0000583		alveolar macrophage	0.0	0.0			0.0	False
2	9	341	2263	IMMUNE-REGULATORY	NK CELL		CL:0000623		natural killer cell	0.0	0.0			0.0	False
2	10	341	2449	IMMUNE-REGULATORY	ACTIVATED MEMORY CELL		CL:0000813		memory T cell	0.0	0.0			0.0	False
2	11	341	2737	IMMUNE-REGULATORY	NEUTROPHIL		CL:0000775		neutrophil	0.0	0.0			0.0	False
2	12	341	3111	IMMUNE-REGULATORY	MONOCYTE		CL:0000576		monocyte	0.0	0.0			0.0	False
2	13	341	3291	IMMUNE-REGULATORY	MONOCYTE		CL:0002057		CD14-positive, CD16-negative classical monocyte	0.0	0.0			0.0	False
2	14	341	3472	IMMUNE-REGULATORY	CD4.9		CL:0000624		CD4-positive, alpha-beta T cell	0.0	0.0			0.0	False
2	15	341	3509	IMMUNE-REGULATORY	CXCL9-POSITIVE		CL:0000235		macrophage	0.0	0.0			0.0	False
2	16	341	3819	IMMUNE-REGULATORY	CD8T_GZMB		CL:0000794		CD8-positive, alpha-beta cytotoxic T cell	0.0	0.0			0.0	False
2	17	341	3856	IMMUNE-REGULATORY	DCS		CL:0000451		dendritic cell	0.0	0.0			0.0	False
3	4	445	1057	B REGULATORY	HNDAM	CL:0000969	CL:0000129	regulatory B cell	microglial cell	0.0	0.14285714285714285	CL:0000145	6.0	0.0	False
3	5	445	1333	B REGULATORY	DENDRITIC CELL	CL:0000969	CL:0001056	regulatory B cell	dendritic cell, human	0.0	0.2	CL:0000145	4.0	0.0	False
3	6	445	1829	B REGULATORY	EXHAUSTED CD8 T CELL	CL:0000969	CL:0020031	regulatory B cell	CD8-positive exhausted alpha-beta T cell	0.0	0.09090909090909091	CL:0000542	10.0	0.0	False
3	7	445	2113	B REGULATORY	PLASMACYTOID DENDRITIC CELL	CL:0000969	CL:0001058	regulatory B cell	plasmacytoid dendritic cell, human	0.0	0.16666666666666666	CL:0000145	5.0	0.0	False
3	8	445	2259	B REGULATORY	ALVEOLAR MAC	CL:0000969	CL:0000583	regulatory B cell	alveolar macrophage	0.0	0.16666666666666666	CL:0000145	5.0	0.0	False
3	9	445	2263	B REGULATORY	NK CELL	CL:0000969	CL:0000623	regulatory B cell	natural killer cell	0.0	0.1111111111111111	CL:0000542	8.0	0.0	False
3	10	445	2449	B REGULATORY	ACTIVATED MEMORY CELL	CL:0000969	CL:0000813	regulatory B cell	memory T cell	0.0	0.1111111111111111	CL:0000542	8.0	0.0	False
3	11	445	2737	B REGULATORY	NEUTROPHIL	CL:0000969	CL:0000775	regulatory B cell	neutrophil	0.0	0.14285714285714285	CL:0000738	6.0	0.0	False
3	12	445	3111	B REGULATORY	MONOCYTE	CL:0000969	CL:0000576	regulatory B cell	monocyte	0.0	0.16666666666666666	CL:0000738	5.0	0.0	False
3	13	445	3291	B REGULATORY	MONOCYTE	CL:0000969	CL:0002057	regulatory B cell	CD14-positive, CD16-negative classical monocyte	0.0	0.125	CL:0000738	7.0	0.0	False
3	14	445	3472	B REGULATORY	CD4.9	CL:0000969	CL:0000624	regulatory B cell	CD4-positive, alpha-beta T cell	0.0	0.1	CL:0000542	9.0	0.0	False
3	15	445	3509	B REGULATORY	CXCL9-POSITIVE	CL:0000969	CL:0000235	regulatory B cell	macrophage	0.0	0.25	CL:0000145	3.0	0.0	False
3	16	445	3819	B REGULATORY	CD8T_GZMB	CL:0000969	CL:0000794	regulatory B cell	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.09090909090909091	CL:0000542	10.0	0.0	False
3	17	445	3856	B REGULATORY	DCS	CL:0000969	CL:0000451	regulatory B cell	dendritic cell	0.0	0.25	CL:0000145	3.0	0.0	False
4	5	1057	1333	HNDAM	DENDRITIC CELL	CL:0000129	CL:0001056	microglial cell	dendritic cell, human	0.0	0.14285714285714285	CL:0000113	6.0	0.0	False
4	6	1057	1829	HNDAM	EXHAUSTED CD8 T CELL	CL:0000129	CL:0020031	microglial cell	CD8-positive exhausted alpha-beta T cell	0.0	0.08333333333333333	CL:0000842	11.0	0.0	False
4	7	1057	2113	HNDAM	PLASMACYTOID DENDRITIC CELL	CL:0000129	CL:0001058	microglial cell	plasmacytoid dendritic cell, human	0.0	0.125	CL:0000113	7.0	0.0	False
4	8	1057	2259	HNDAM	ALVEOLAR MAC	CL:0000129	CL:0000583	microglial cell	alveolar macrophage	0.030303030303030304	0.25	CL:0000864	3.0	0.0	False
4	9	1057	2263	HNDAM	NK CELL	CL:0000129	CL:0000623	microglial cell	natural killer cell	0.0	0.1	CL:0000842	9.0	0.0	False
4	10	1057	2449	HNDAM	ACTIVATED MEMORY CELL	CL:0000129	CL:0000813	microglial cell	memory T cell	0.0	0.1	CL:0000842	9.0	0.0	False
4	11	1057	2737	HNDAM	NEUTROPHIL	CL:0000129	CL:0000775	microglial cell	neutrophil	0.0	0.14285714285714285	CL:0000766	6.0	0.0	False
4	12	1057	3111	HNDAM	MONOCYTE	CL:0000129	CL:0000576	microglial cell	monocyte	0.0	0.16666666666666666	CL:0000113	5.0	0.0	False
4	13	1057	3291	HNDAM	MONOCYTE	CL:0000129	CL:0002057	microglial cell	CD14-positive, CD16-negative classical monocyte	0.0	0.125	CL:0000113	7.0	0.0	False
4	14	1057	3472	HNDAM	CD4.9	CL:0000129	CL:0000624	microglial cell	CD4-positive, alpha-beta T cell	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
4	15	1057	3509	HNDAM	CXCL9-POSITIVE	CL:0000129	CL:0000235	microglial cell	macrophage	0.0	0.25	CL:0000235	3.0	0.0	False
4	16	1057	3819	HNDAM	CD8T_GZMB	CL:0000129	CL:0000794	microglial cell	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.08333333333333333	CL:0000842	11.0	0.0	False
4	17	1057	3856	HNDAM	DCS	CL:0000129	CL:0000451	microglial cell	dendritic cell	0.02631578947368421	0.16666666666666666	CL:0000113	5.0	0.0	False
5	6	1333	1829	DENDRITIC CELL	EXHAUSTED CD8 T CELL	CL:0001056	CL:0020031	dendritic cell, human	CD8-positive exhausted alpha-beta T cell	0.0	0.1	CL:0000842	9.0	0.0	False
5	7	1333	2113	DENDRITIC CELL	PLASMACYTOID DENDRITIC CELL	CL:0001056	CL:0001058	dendritic cell, human	plasmacytoid dendritic cell, human	0.0	0.5	CL:0001056	1.0	0.75	False
5	8	1333	2259	DENDRITIC CELL	ALVEOLAR MAC	CL:0001056	CL:0000583	dendritic cell, human	alveolar macrophage	0.0	0.16666666666666666	CL:0000113	5.0	0.0	False
5	9	1333	2263	DENDRITIC CELL	NK CELL	CL:0001056	CL:0000623	dendritic cell, human	natural killer cell	0.0	0.125	CL:0000842	7.0	0.0	False
5	10	1333	2449	DENDRITIC CELL	ACTIVATED MEMORY CELL	CL:0001056	CL:0000813	dendritic cell, human	memory T cell	0.0	0.125	CL:0000842	7.0	0.0	False
5	11	1333	2737	DENDRITIC CELL	NEUTROPHIL	CL:0001056	CL:0000775	dendritic cell, human	neutrophil	0.0	0.14285714285714285	CL:0000738	6.0	0.0	False
5	12	1333	3111	DENDRITIC CELL	MONOCYTE	CL:0001056	CL:0000576	dendritic cell, human	monocyte	0.0	0.25	CL:0000113	3.0	0.0	False
5	13	1333	3291	DENDRITIC CELL	MONOCYTE	CL:0001056	CL:0002057	dendritic cell, human	CD14-positive, CD16-negative classical monocyte	0.0	0.16666666666666666	CL:0000113	5.0	0.0	False
5	14	1333	3472	DENDRITIC CELL	CD4.9	CL:0001056	CL:0000624	dendritic cell, human	CD4-positive, alpha-beta T cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
5	15	1333	3509	DENDRITIC CELL	CXCL9-POSITIVE	CL:0001056	CL:0000235	dendritic cell, human	macrophage	0.0	0.25	CL:0000113	3.0	0.0	False
5	16	1333	3819	DENDRITIC CELL	CD8T_GZMB	CL:0001056	CL:0000794	dendritic cell, human	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.1	CL:0000842	9.0	0.0	False
5	17	1333	3856	DENDRITIC CELL	DCS	CL:0001056	CL:0000451	dendritic cell, human	dendritic cell	0.0	0.5	CL:0000451	1.0	0.0	False
6	7	1829	2113	EXHAUSTED CD8 T CELL	PLASMACYTOID DENDRITIC CELL	CL:0020031	CL:0001058	CD8-positive exhausted alpha-beta T cell	plasmacytoid dendritic cell, human	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
6	8	1829	2259	EXHAUSTED CD8 T CELL	ALVEOLAR MAC	CL:0020031	CL:0000583	CD8-positive exhausted alpha-beta T cell	alveolar macrophage	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
6	9	1829	2263	EXHAUSTED CD8 T CELL	NK CELL	CL:0020031	CL:0000623	CD8-positive exhausted alpha-beta T cell	natural killer cell	0.0	0.1111111111111111	CL:0000542	8.0	0.0	False
6	10	1829	2449	EXHAUSTED CD8 T CELL	ACTIVATED MEMORY CELL	CL:0020031	CL:0000813	CD8-positive exhausted alpha-beta T cell	memory T cell	0.0	0.2	CL:0002419	4.0	0.0	False
6	11	1829	2737	EXHAUSTED CD8 T CELL	NEUTROPHIL	CL:0020031	CL:0000775	CD8-positive exhausted alpha-beta T cell	neutrophil	0.0	0.09090909090909091	CL:0000738	10.0	0.0	False
6	12	1829	3111	EXHAUSTED CD8 T CELL	MONOCYTE	CL:0020031	CL:0000576	CD8-positive exhausted alpha-beta T cell	monocyte	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
6	13	1829	3291	EXHAUSTED CD8 T CELL	MONOCYTE	CL:0020031	CL:0002057	CD8-positive exhausted alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
6	14	1829	3472	EXHAUSTED CD8 T CELL	CD4.9	CL:0020031	CL:0000624	CD8-positive exhausted alpha-beta T cell	CD4-positive, alpha-beta T cell	0.25	0.25	CL:0000791	3.0	0.5	False
6	15	1829	3509	EXHAUSTED CD8 T CELL	CXCL9-POSITIVE	CL:0020031	CL:0000235	CD8-positive exhausted alpha-beta T cell	macrophage	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
6	16	1829	3819	EXHAUSTED CD8 T CELL	CD8T_GZMB	CL:0020031	CL:0000794	CD8-positive exhausted alpha-beta T cell	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.3333333333333333	CL:0000625	2.0	0.3333333333333333	False
6	17	1829	3856	EXHAUSTED CD8 T CELL	DCS	CL:0020031	CL:0000451	CD8-positive exhausted alpha-beta T cell	dendritic cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
7	8	2113	2259	PLASMACYTOID DENDRITIC CELL	ALVEOLAR MAC	CL:0001058	CL:0000583	plasmacytoid dendritic cell, human	alveolar macrophage	0.0	0.14285714285714285	CL:0000113	6.0	0.0	False
7	9	2113	2263	PLASMACYTOID DENDRITIC CELL	NK CELL	CL:0001058	CL:0000623	plasmacytoid dendritic cell, human	natural killer cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
7	10	2113	2449	PLASMACYTOID DENDRITIC CELL	ACTIVATED MEMORY CELL	CL:0001058	CL:0000813	plasmacytoid dendritic cell, human	memory T cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
7	11	2113	2737	PLASMACYTOID DENDRITIC CELL	NEUTROPHIL	CL:0001058	CL:0000775	plasmacytoid dendritic cell, human	neutrophil	0.0	0.125	CL:0000738	7.0	0.0	False
7	12	2113	3111	PLASMACYTOID DENDRITIC CELL	MONOCYTE	CL:0001058	CL:0000576	plasmacytoid dendritic cell, human	monocyte	0.0	0.2	CL:0000113	4.0	0.0	False
7	13	2113	3291	PLASMACYTOID DENDRITIC CELL	MONOCYTE	CL:0001058	CL:0002057	plasmacytoid dendritic cell, human	CD14-positive, CD16-negative classical monocyte	0.0	0.14285714285714285	CL:0000113	6.0	0.0	False
7	14	2113	3472	PLASMACYTOID DENDRITIC CELL	CD4.9	CL:0001058	CL:0000624	plasmacytoid dendritic cell, human	CD4-positive, alpha-beta T cell	0.0	0.1	CL:0000842	9.0	0.0	False
7	15	2113	3509	PLASMACYTOID DENDRITIC CELL	CXCL9-POSITIVE	CL:0001058	CL:0000235	plasmacytoid dendritic cell, human	macrophage	0.0	0.2	CL:0000113	4.0	0.0	False
7	16	2113	3819	PLASMACYTOID DENDRITIC CELL	CD8T_GZMB	CL:0001058	CL:0000794	plasmacytoid dendritic cell, human	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
