source	comparison	k	profile_index	profile_id	reported_label	cl_id	cl_label	overlap_n	overlap_at_k	jaccard_at_k	mean_marker_jaccard_to_neighbors	mean_ontology_similarity_to_neighbors
Ontology	Observed	3	0	59	MATURE NATURAL KILLER CELL	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	2	0.6666666666666666	0.5	0.10073260073260075	0.1851851851851852
Ontology	Random	3	0	59	MATURE NATURAL KILLER CELL	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	0	0.0	0.0	0.0196078431372549	0.09696969696969697
Ontology	Observed	3	14	3472	CD4.9	CL:0000624	CD4-positive, alpha-beta T cell	1	0.3333333333333333	0.2	0.08333333333333333	0.25
Ontology	Random	3	14	3472	CD4.9	CL:0000624	CD4-positive, alpha-beta T cell	0	0.0	0.0	0.0	0.10833333333333334
Ontology	Observed	3	17	3856	DCS	CL:0001056	dendritic cell, human	1	0.3333333333333333	0.2	0.025641025641025644	0.5833333333333334
Ontology	Random	3	17	3856	DCS	CL:0001056	dendritic cell, human	0	0.0	0.0	0.0	0.15555555555555556
