query	input_symbols	resolved_gene_ids	method	rank	score	profile_id	label	paper_title	year	doi	profile_genes
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	gene SVD + ridge to MiniLM text	5	0.7899065613746643	2268	TEX	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024	10.1101/2024.04.15.589544	HAVCR2, PDCD1, PRF1, IFNG, CXCR3, CXCL13
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	raw marker Jaccard neighbor	1	1.0	213	CD8+ EXHAUSTED T CELL (TEXH)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	PDCD1, LAG3, HAVCR2
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	raw marker Jaccard neighbor	2	0.6666666865348816	3698	CYTOTOXIC T CELL	Spatialproteomics - an interoperable toolbox for analyzing highly multiplexed fluorescence image data	2025	10.1101/2025.04.29.651202	PD1, TIM3
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	raw marker Jaccard neighbor	3	0.6666666865348816	3821	CD8T_LAG3	Single-cell transcriptomics reveals immunosuppressive microenvironment and highlights stumor-promoting macrophage cells in Glioblastoma	2024	10.1101/2024.05.15.594316	LAG3, PDCD1
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	raw marker Jaccard neighbor	4	0.5	635	TERMINALLY-DIFFERENTIATED	The CD8+ T cell landscape of human brain metastases	2021	10.1101/2021.08.03.455000	PD-1, CTLA-4, CD39, TIM-3, TOX, CTLA4, ENTPD1, HAVCR2, LAG3
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	raw marker Jaccard neighbor	5	0.4000000059604645	636	TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL	The CD8+ T cell landscape of human brain metastases	2021	10.1101/2021.08.03.455000	HAVCR2, LAG3, CXCL13, GZMB
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	gene SVD + ridge to MiniLM text	1	0.8055171966552734	227	MONOCYTE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	VCAN, APOBEC3A
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	gene SVD + ridge to MiniLM text	2	0.7863801717758179	231	NEUTROPHIL	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	FCGR3B, S100A8
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	gene SVD + ridge to MiniLM text	3	0.7817260026931763	236	PLASMACYTOID DC (PDCS)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	PTCRA, CLEC4C
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	gene SVD + ridge to MiniLM text	4	0.7725968360900879	2824	MONOCYTE	Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer	2024	10.1101/2024.08.26.609563	VCAN, CD14
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	gene SVD + ridge to MiniLM text	5	0.7705051898956299	216	CONVENTIONAL DENDRITIC CELL (CDCS)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	CD86, CD1C, CLEC10
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	raw marker Jaccard neighbor	1	0.800000011920929	3618	MONOCYTE	Decontamination of ambient RNA in single-cell RNA-seq with DecontX	2019	10.1101/704015	LYZ, S100A8, S100A9, CD14
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	raw marker Jaccard neighbor	2	0.6000000238418579	2962	MONOCYTE	Comparative Analysis of Feature Selection Methods for Single-Cell RNA Sequencing Data	2025	10.64898/2025.12.02.691907	CD14, LYZ, S100A9
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	raw marker Jaccard neighbor	3	0.6000000238418579	3111	MONOCYTE	HCNetlas: Human cell network atlas enabling cell type-resolved disease genetics	2024	10.1101/2024.06.07.597878	S100A8, S100A9, CD14
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	raw marker Jaccard neighbor	4	0.6000000238418579	3863	MONOCYTES	Human and mouse transcriptome profiling identifies cross-species homology in pulmonary and lymph node mononuclear phagocytes	2020	10.1101/2020.04.30.070839	S100A8, S100A9, CD14
classical_monocyte	CD14, LST1, S100A8, S100A9, FCN1, LYZ	ENSG00000170458, ENSG00000143546, ENSG00000163220, ENSG00000085265, ENSG00000090382	raw marker Jaccard neighbor	5	0.6000000238418579	3291	MONOCYTE	Spatial and Single-Cell Transcriptomics Decipher the Crosstalk Environment of DEFB1+ Cancer Cells and IFI30+ Macrophages in Intrahepatic Cholangiocarcinoma	2025	10.1101/2025.11.22.689892	FCN1, S100A8, S100A9
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	gene SVD + ridge to MiniLM text	1	0.8103224039077759	227	MONOCYTE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	VCAN, APOBEC3A
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	gene SVD + ridge to MiniLM text	2	0.794370710849762	236	PLASMACYTOID DC (PDCS)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	PTCRA, CLEC4C
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	gene SVD + ridge to MiniLM text	3	0.7925990223884583	243	TREM2HIGH MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	TREM2, APOE, C1QA, SPP1
