collection	common_cl_id	common_cl_label	doi	gene_names	label_cl_id	label_cl_label	label_confidence	label_rationale	marker_cl_id	marker_cl_label	marker_confidence	marker_rationale	ontology_relation	paper_id	profile_id	reported_label	title	year
biorxiv	CL:0000235	macrophage	10.1101/2025.11.27.690370	"[""STARD13"", ""CD163"", ""MRC1""]"	CL:0000235	macrophage	candidate_preview	dry run candidate preview	CL:0000235	macrophage	candidate_preview	dry run candidate preview	same_term	14	239	STRAD13⁺ MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025
biorxiv	CL:0000000	cell	10.1101/2025.02.27.640483	"[""ISG15"", ""IFI6"", ""IFI44L"", ""MX1"", ""MX2""]"	CL:0002393	intermediate monocyte	candidate_preview	dry run candidate preview	CL:0019018	blood vessel smooth muscle cell	candidate_preview	dry run candidate preview	different_branch	64	616	HLA-DR-HIGH INTERMEDIATE MONOCYTES	Single-cell RNA sequencing of peripheral blood defines two immunological subtypes of Sjögren’s disease	2025
biorxiv	CL:0011025	exhausted T cell	10.1101/2019.12.26.888503	"[""GZMK"", ""PDCD1"", ""CD27"", ""GPR171"", ""TNFAIP3"", ""CD96"", ""SAMSN1"", ""ZFP36"", ""DUSP1"", ""CD69"", ""JUN""]"	CL:0011025	exhausted T cell	candidate_preview	dry run candidate preview	CL:0011025	exhausted T cell	candidate_preview	dry run candidate preview	same_term	195	1526	PRE_EXHAUSTED	Single cell transcriptome of CD8+ T cells in multiple cancers reveals comprehensive exhaustion associated mechanisms	2019
biorxiv	CL:0000097	mast cell	10.1101/2025.05.23.655666	"[""TPSB2"", ""KIT"", ""MS4A2""]"	CL:0000097	mast cell	candidate_preview	dry run candidate preview	CL:0000097	mast cell	candidate_preview	dry run candidate preview	same_term	221	1734	MAST CELL	A Multimodal Spatial and Epigenomic Atlas of Human Adult Lung Topography	2025
biorxiv	CL:0000815	regulatory T cell	10.1101/2024.04.15.589544	"[""FOXP3"", ""CTLA4"", ""ICOS"", ""BATF""]"	CL:0000815	regulatory T cell	candidate_preview	dry run candidate preview	CL:0000815	regulatory T cell	candidate_preview	dry run candidate preview	same_term	300	2270	TREG	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	CL:0000000	cell	10.1101/2020.12.23.424147	"[""CD45RO"", ""CD57"", ""CCR5"", ""CCR7"", ""CXCR3"", ""CCR4""]"	CL:0000000	cell	candidate_preview	dry run candidate preview	CL:0000084	T cell	candidate_preview	dry run candidate preview	marker_is_descendant	328	2465	MEMORY CELL	Single cell analysis of blood mononuclear cells stimulated through CD3 and CD28 shows collateral activation of B and NK cells and demise of monocytes	2020
