resource	normalized_cell_type	n_profiles	n_studies	example_reported_labels	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes	underspecification_score
LLMarkers	STROMAL CELL	3	3	STROMAL CELL	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
LLMarkers	T REG	3	3	T REG	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
LLMarkers	TAM	3	3	TAM	3	0.03333333333333333	0.0	0.0	0.05	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0	0.3333333333333333	1.0
LLMarkers	TH 17	3	3	TH17	3	0.05555555555555555	0.0	0.0	0.08333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0	0.3333333333333333	1.0
LLMarkers	TUMOR CELL	3	3	TUMOR CELL	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
LLMarkers	PLASMA CELL	16	16	PLASMA CELL	120	0.10990588115588115	0.03125	0.0	0.16666666666666666	0.5	0.5	0.4583333333333333	0.15	0.0	0.7583333333333333	0.96875
LLMarkers	GC B CELL	4	4	GC B CELL	6	0.04555860805860806	0.03571428571428571	0.0	0.07554945054945056	0.5	0.5	0.16666666666666666	0.0	0.0	0.5	0.9642857142857143
LLMarkers	PERICYTES	5	5	PERICYTES	10	0.09595238095238094	0.041666666666666664	0.0	0.1607142857142857	0.5	0.5	0.4	0.1	0.0	0.6	0.9583333333333334
LLMarkers	BETA CELL	10	10	BETA CELL	45	0.06687319555514767	0.05555555555555555	0.0	0.08823529411764706	0.35555555555555557	0.6444444444444445	0.2222222222222222	0.044444444444444446	0.0	1.3111111111111111	0.9444444444444444
LLMarkers	GLIAL CELL	4	4	GLIAL CELL	6	0.12328042328042328	0.05555555555555555	0.0	0.17777777777777778	0.5	0.5	0.5	0.16666666666666666	0.0	0.8333333333333334	0.9444444444444444
LLMarkers	NEUTROPHIL	4	4	NEUTROPHIL	6	0.06712962962962964	0.05555555555555555	0.0	0.12152777777777778	0.5	0.5	0.5	0.0	0.0	0.5	0.9444444444444444
LLMarkers	STEM CELL	7	7	STEM CELL	21	0.2788593215063803	0.058823529411764705	0.0	0.4444444444444444	0.47619047619047616	0.5238095238095238	0.47619047619047616	0.47619047619047616	0.047619047619047616	1.7142857142857142	0.9411764705882353
LLMarkers	GOBLET	4	4	GOBLET	6	0.07242063492063491	0.0625	0.0	0.13839285714285715	0.5	0.5	0.5	0.0	0.0	0.5	0.9375
LLMarkers	NEPHRON PROGENITOR	4	4	NEPHRON PROGENITOR	6	0.06845238095238095	0.0625	0.0	0.13839285714285715	0.5	0.5	0.5	0.0	0.0	0.5	0.9375
LLMarkers	SMCS	4	4	SMCS	6	0.09027777777777778	0.0625	0.0	0.15625	0.5	0.5	0.5	0.16666666666666666	0.0	0.6666666666666666	0.9375
LLMarkers	EXCITATORY NEURON	5	5	EXCITATORY NEURON	10	0.09151515151515152	0.06666666666666667	0.0	0.09090909090909091	0.4	0.6	0.2	0.1	0.0	0.8	0.9333333333333333
LLMarkers	HSC	5	5	HSC	10	0.0775818054494525	0.07291666666666666	0.007142857142857143	0.11096256684491979	0.3	0.7	0.3	0.1	0.0	1.2	0.9270833333333334
LLMarkers	IMMUNE	3	3	IMMUNE	3	0.0673076923076923	0.07692307692307693	0.038461538461538464	0.10096153846153846	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.6666666666666666	0.9230769230769231
LLMarkers	INFLAMMATORY MACROPHAGE	3	3	INFLAMMATORY MACROPHAGE	3	0.0673076923076923	0.07692307692307693	0.038461538461538464	0.10096153846153846	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.6666666666666666	0.9230769230769231
LLMarkers	SMC	5	5	SMC	10	0.10142207792207791	0.08	0.010416666666666666	0.1412337662337662	0.3	0.7	0.4	0.1	0.0	1.2	0.92
LLMarkers	ENDOTHELIAL	5	5	ENDOTHELIAL	10	0.09333333333333334	0.08333333333333333	0.0	0.19166666666666668	0.5	0.5	0.5	0.0	0.0	0.5	0.9166666666666666
LLMarkers	MEMORY B CELL	5	5	MEMORY B CELL	10	0.20166666666666666	0.08333333333333333	0.0	0.35000000000000003	0.5	0.5	0.5	0.3	0.0	0.9	0.9166666666666666
LLMarkers	T H 17	3	3	T H 17	3	0.09444444444444444	0.08333333333333333	0.041666666666666664	0.14166666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	1.0	0.9166666666666666
LLMarkers	MYOFIBROBLAST	8	8	MYOFIBROBLAST	28	0.13984273968211194	0.08514492753623187	0.06158088235294118	0.13846153846153847	0.0	1.0	0.42857142857142855	0.07142857142857142	0.0	1.5714285714285714	0.9148550724637681
LLMarkers	CONE	3	3	CONE	3	0.09511784511784512	0.09090909090909091	0.08712121212121213	0.10101010101010101	0.0	1.0	0.3333333333333333	0.0	0.0	1.6666666666666667	0.9090909090909091
LLMarkers	ROD	3	3	ROD	3	0.07196969696969698	0.09090909090909091	0.045454545454545456	0.10795454545454546	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.6666666666666666	0.9090909090909091
LLMarkers	VEC	3	3	VEC	3	0.09696969696969697	0.09090909090909091	0.045454545454545456	0.14545454545454545	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.6666666666666666	0.9090909090909091
LLMarkers	ABERRANT BASALOID CELL	3	3	ABERRANT BASALOID CELL	3	0.357609710550887	0.09523809523809523	0.09523809523809523	0.4887955182072829	0.0	1.0	0.3333333333333333	0.3333333333333333	0.0	6.333333333333333	0.9047619047619048
