ontology_relation	n_pairs	n_marker_positive	fraction_marker_positive	mean_marker_jaccard	median_marker_jaccard
same_term	2	1	0.5	0.25	0.25
close_parent_child	5	3	0.6	0.05467032967032968	0.07142857142857142
shared_ancestor	128	9	0.0703125	0.009920489773975165	0.0
unmapped	17	0	0.0	0.0	0.0
