ontology_relation	marker_relation	n_pairs	mean_marker_jaccard	median_marker_jaccard
close_parent_child	none	2	0.0	0.0
close_parent_child	partial	3	0.09111721611721613	0.07692307692307693
same_term	none	1	0.0	0.0
same_term	partial	1	0.5	0.5
shared_ancestor	none	119	0.0	0.0
shared_ancestor	partial	9	0.1410914101187579	0.1111111111111111
unmapped	none	17	0.0	0.0
