component_pair	pairs	exact_label_pairs	partial_label_pairs	different_label_pairs	label_linked_fraction	mean_marker_jaccard
C1-C1	229	25	36	168	0.2663755458515284	0.33531746031746035
C2-C2	55	15	30	10	0.8181818181818182	0.24309523809523806
C3-C3	55	16	3	36	0.34545454545454546	0.2314069264069264
C1-C2	240	12	8	220	0.08333333333333333	0.02720734126984127
C1-C3	242	27	22	193	0.2024793388429752	0.09245047881411517
C2-C3	121	36	24	61	0.49586776859504134	0.06658139839958023
