dataset	study	truth_pairs	truth_triples	gen_precision	gen_recall	gen_pair_f1	best_n	sel_precision	sel_recall	sel_pair_f1	sel_bound_f1	ext_precision	ext_recall	ext_pair_f1	ext_data_precision	ext_data_recall	ext_data_f1
adipose_Emont2022	Emont	30	30	0.03470031545741325	0.36666666666666664	0.06340057636887607	200	0.026954177897574125	0.3333333333333333	0.04987531172069826	0.7755102040816326	0.5714285714285714	0.6666666666666666	0.6153846153846153	0.6666666666666666	0.6	0.631578947368421
adipose_Hildreth2021	Hildreth	66	66	0.1285140562248996	0.48484848484848486	0.20317460317460312	400	0.13213213213213212	0.6666666666666666	0.22055137844611525	0.9	0.7714285714285715	0.8181818181818182	0.7941176470588236	0.7714285714285715	0.8181818181818182	0.7941176470588236
bone_He2021	He	98	102	0.14285714285714285	0.29591836734693877	0.1926910299003322	300	0.12627986348122866	0.37755102040816324	0.18925831202046037	0.6933333333333334	0.775	0.3163265306122449	0.44927536231884063	0.7857142857142857	0.3235294117647059	0.45833333333333326
eye_Gautam2021	Gautam	24	28	0.0411522633744856	0.4166666666666667	0.0749063670411985	20	0.05504587155963303	0.5	0.09917355371900827	0.7027027027027027	0.46808510638297873	0.9166666666666666	0.619718309859155	0.46808510638297873	0.7857142857142857	0.5866666666666668
lung_Adams2020	Adams	33	33	0.06666666666666667	0.3333333333333333	0.1111111111111111	200	0.02865329512893983	0.30303030303030304	0.052356020942408384	0.7547169811320755	0.7021276595744681	1.0	0.825	0.3829787234042553	0.5454545454545454	0.44999999999999996
ovary_Wagner2020	Wagner	37	37	0.2608695652173913	0.4864864864864865	0.33962264150943394	200	0.17272727272727273	0.5135135135135135	0.25850340136054417	0.84375	0.8235294117647058	0.7567567567567568	0.7887323943661971	0.7352941176470589	0.6756756756756757	0.7042253521126761
testis_Shamis2020	Shamis	123	123	0.2013888888888889	0.23577235772357724	0.21722846441947566	300	0.19383259911894274	0.35772357723577236	0.25142857142857145	0.7941176470588235	0.8690476190476191	0.5934959349593496	0.7053140096618359	0.7849462365591398	0.5934959349593496	0.6759259259259259
