direction	method	n_eval_mean	n_eval_std	mean_recall_at_true_gene_count_mean	mean_recall_at_true_gene_count_std	median_recall_at_true_gene_count_mean	median_recall_at_true_gene_count_std	mean_recall_at_10_mean	mean_recall_at_10_std	mean_precision_at_10_mean	mean_precision_at_10_std	any_hit_at_true_gene_count_mean	any_hit_at_true_gene_count_std	top1_exact_label_mean	top1_exact_label_std	top1_exact_or_partial_label_mean	top1_exact_or_partial_label_std	top5_exact_label_mean	top5_exact_label_std	top5_exact_or_partial_label_mean	top5_exact_or_partial_label_std	mean_top1_marker_jaccard_mean	mean_top1_marker_jaccard_std
genes_to_text	gene SVD + ridge to MiniLM text	360.0	24.576411454889016											0.02204964574442486	0.004207727966583929	0.15968102353644523	0.029811175814823298	0.06914191874031232	0.011157928084602201	0.29356726204115763	0.04196807954820088	0.13696253589471466	0.006795492111304225
genes_to_text	random train profile	360.0	24.576411454889016											0.0027867511803254773	0.00019719791961024703	0.018961330808720367	0.015679149428412763	0.006577518424907984	0.0021300008845538034	0.07768933592226765	0.015224806351691525	0.0026154413700767696	0.0009284763751307457
genes_to_text	raw marker Jaccard neighbor	360.0	24.576411454889016											0.048997189961045386	0.00619544799961088	0.18520080608434022	0.023444104271242293	0.11408491107286288	0.024919304077951367	0.3523215412773646	0.010514831324718686	0.396505980164865	0.014446931579611761
text_to_genes	MiniLM text embedding + ridge	360.0	24.576411454889016	0.1350767229609553	0.011919011801670099	0.0	0.0	0.2440054569894634	0.018366032666842138	0.08523097681732218	0.006335410063055729	0.3729850619408852	0.023919823022200068										
text_to_genes	TF-IDF text + ridge	360.0	24.576411454889016	0.24372239879415783	0.024132472843511842	0.18890614216701174	0.054237300937377116	0.4082718931998334	0.027294900354784112	0.14457199597761847	0.010669433765755281	0.5518333594638816	0.016913082527900428										
text_to_genes	training gene popularity	360.0	24.576411454889016	0.016372840133239305	0.007269411881838992	0.0	0.0	0.051281248014015984	0.01340335006262477	0.01783558659060667	0.004297313440023459	0.07764721118134772	0.028302811154979388										
