label_relation	pairs	median_jaccard	mean_jaccard	q25_jaccard	q75_jaccard
Exact	2403	0.16666666666666666	0.20929125004997692	0.1111111111111111	0.25
Partial	8228	0.14285714285714285	0.17251458537470535	0.09090909090909091	0.2
Different	102369	0.1111111111111111	0.12574730006359744	0.07142857142857142	0.15384615384615385
