normalized_cell_type	display_label	n_profiles	n_papers	mean_silhouette	mean_within_jaccard
MONOCYTES	MONOCYTES	2	2	0.3017921146953406	0.6000000000000001
CD 14 MONOCYTE	CD14+ MONOCYTE	2	2	0.019694616977225687	0.375
MYELOID CELL	MYELOID CELL	2	2	0.018469267139479884	0.19999999999999996
MACROPHAGE	MACROPHAGE	14	14	-0.08162967291905214	0.14597069597069598
MONOCYTE	MONOCYTE	9	9	-0.2627006011002885	0.24537037037037038
MACROPHAGES	MACROPHAGES	2	2	-0.28027210884353737	0.125
