component	dominant_program	n_profiles_cluster	n_papers_cluster	n_labels_cluster	top_labels	core_marker_genes	gene_id	gene_name	marker_cluster_f1	marker_cluster_coverage	marker_cluster_purity	marker_cluster_gene_count	global_gene_count	best_label_f1	best_label_group	best_label_coverage	best_label_purity	best_label_n_profiles	marker_to_label_f1_ratio	log2_marker_to_label_f1_ratio	shift_class
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000026508	CD44	0.024390243902439025	0.03225806451612903	0.0196078431372549	1	51	0.0449438202247191	T CELL	0.05263157894736842	0.0392156862745098	38	0.5426829268292683	-0.5489496159536686	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000178562	CD28	0.04878048780487805	0.03225806451612903	0.1	1	10	0.08333333333333333	T CELL	0.05263157894736842	0.2	38	0.5853658536585367	-0.587234461885009	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000156127	BATF	0.18181818181818182	0.12903225806451613	0.3076923076923077	4	13	0.28571428571428575	TREG	0.26666666666666666	0.3076923076923077	15	0.6363636363636362	-0.5991278166307344	label enriched
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000049249	TNFRSF9	0.13953488372093023	0.0967741935483871	0.25	3	12	0.22222222222222224	TREG	0.2	0.25	15	0.6279069767441859	-0.6024593118638997	label enriched
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000124191	TOX2	0.05405405405405405	0.03225806451612903	0.16666666666666666	1	6	0.09523809523809522	TREG	0.06666666666666667	0.16666666666666666	15	0.5675675675675677	-0.6379670971642574	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000121594	CD80	0.05555555555555555	0.03225806451612903	0.2	1	5	0.1	TREG	0.06666666666666667	0.2	15	0.5555555555555555	-0.6674246609131294	weak or similar
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000204487	LTB	0.034482758620689655	0.03125	0.038461538461538464	1	26	0.06896551724137931	NAIVE T CELL	0.3333333333333333	0.038461538461538464	3	0.5	-0.7074465072461512	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000179934	CCR8	0.0588235294117647	0.03225806451612903	0.3333333333333333	1	3	0.1111111111111111	TREG	0.06666666666666667	0.3333333333333333	15	0.5294117647058824	-0.7340916987120959	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000186827	TNFRSF4	0.12000000000000001	0.0967741935483871	0.15789473684210525	3	19	0.23529411764705882	TREG	0.26666666666666666	0.21052631578947367	15	0.51	-0.8667334691365356	label enriched
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000150093	ITGB1	0.037037037037037035	0.03125	0.045454545454545456	1	22	0.10810810810810811	CD 8 T CELL	0.13333333333333333	0.09090909090909091	15	0.34259259259259256	-1.1673908447378765	weak or similar
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000172116	CD8B	0.07142857142857144	0.06666666666666667	0.07692307692307693	1	13	0.28571428571428575	CD 8 T CELL	0.26666666666666666	0.3076923076923077	15	0.25	-1.7414669864011472	label enriched
