source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
hca	0128_10.1016_j.devcel.2020.07.023_7908e44bb1	hca:0128_10.1016_j.devcel.2020.07.023_7908e44bb1	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	1.0	0.2709596897298737	3.690585861671617	0.0945945945945946	0.004484304932735426	21.094594594594597
hca	0319_10.1016_j.cell.2018.05.060_d1a05e99e8	hca:0319_10.1016_j.cell.2018.05.060_d1a05e99e8	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	6	3	12	9	1.0	0.14949585735215795	3.5861729410841003	0.09383202099737534	0.005680119581464874	19.580487804878054
hca	0272_10.1016_j.cell.2020.04.035_15a2d05837	hca:0272_10.1016_j.cell.2020.04.035_15a2d05837	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	0.5	0.14391287489644816	3.4743243115654012	0.01016260162601626	0.0013063601074947747	7.779326364692217
hca	0309_10.1101_721258_f9cb0ad906	hca:0309_10.1101_721258_f9cb0ad906	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	6	3	12	9	1.0	0.21618666382498258	3.4692241728989104	0.028465346534653466	0.002840059790732437	6.771255060728745
hca	0384_10.1038_s41422-021-00529-2_d6c8237ebe	hca:0384_10.1038_s41422-021-00529-2_d6c8237ebe	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	22	5	12	7	0.6666666666666666	0.19276970665088955	3.458358049348571	0.03333333333333333	0.005607289476319215	5.944642857142857
biorxiv	f96f23ec-83f2-1014-ad76-8d430e749668	biorxiv:f96f23ec-83f2-1014-ad76-8d430e749668	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.6666666666666666	0.19577316372549355	3.405301594867435	0.013513513513513514	0.0029850746268656712	4.527027027027028
biorxiv	30a348aa-6c75-1014-b586-8a08f0d76748	biorxiv:30a348aa-6c75-1014-b586-8a08f0d76748	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	0.6666666666666666	0.19596387618892716	3.401987548072068	0.008948545861297539	0.001492982979994028	5.993736017897091
biorxiv	51fac41a-6c0a-1014-9c40-ecb16ebed7ec	biorxiv:51fac41a-6c0a-1014-9c40-ecb16ebed7ec	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.375	0.12855032926481957	3.272190863746544	0.012228260869565218	0.0026127202149895494	9.10054347826087
hca	0372_10.1016_j.ccell.2021.10.009_d6ab4790aa	hca:0372_10.1016_j.ccell.2021.10.009_d6ab4790aa	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	13	4	12	8	0.6666666666666666	0.2757077552024111	3.2481445095554227	0.10683760683760682	0.004156680647094069	19.674137612119047
hca	0283_10.1161_circulationaha.120.052318_08d58c2441	hca:0283_10.1161_circulationaha.120.052318_08d58c2441	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	7	3	12	9	0.2972972972972973	0.09914969854731114	3.0996151699191317	0.0213963963963964	0.0017053536790378897	9.21516754850088
