component	profiles	papers	labels	dominant_program	dominant_program_fraction	core_marker_genes	top_marker_genes	top_labels	label_pairs	exact_label_pairs	partial_label_pairs	different_label_pairs	exact_label_fraction	partial_label_fraction	different_label_fraction	mean_internal_jaccard	mean_edge_jaccard
1	22	20	12	Inflammatory monocyte-like	0.9545454545454546	S100A8; S100A9; CD14	S100A8; S100A9; CD14; LYZ; VCAN; S100A12; LGALS3; AIF1; FCN1; ITGAM	MONOCYTE (7); CD14+ MONOCYTE (2); MYELOID CELL (2); MACROPHAGE (2); MONOCYTES (2); CDC2.1 (1)	229	25	36	168	0.1091703056768559	0.1572052401746725	0.7336244541484717	0.33531746031746035	0.5664179104477612
2	11	11	6	Complement macrophage-like	1.0	C1QB; CD163	C1QB; CD163; C1QA; C1QC; MRC1; MSR1; STARD13; CD68; C3; S100A8	MACROPHAGE (6); STRAD13⁺ MACROPHAGE (1); CDC2.4 (1); DONOR MACROPHAGE (1); BORDER-ASSOCIATED MACROPHAGE (1); C1QC+ MACROPHAGE (1)	55	15	30	10	0.2727272727272727	0.5454545454545454	0.18181818181818182	0.24309523809523806	0.5653846153846154
3	11	11	5	Inflammatory monocyte-like	0.6363636363636364	CD14; CD68	CD14; CD68; FCGR3A; CD163; ITGAX; CSF1R; AIF1; TREML4; C1QB; VCAN	MACROPHAGE (6); MONOCYTE (2); MONOCYTE CELL LINEAGE (1); MACROPHAGES (1); MACROPHAGES AND DENDRITIC CELLS (1)	55	16	3	36	0.2909090909090909	0.05454545454545454	0.6545454545454545	0.2314069264069264	0.5291666666666667
4	10	10	1	Mast/granulocyte-like	1.0	TPSB2; TPSAB1; CPA3	TPSB2; TPSAB1; CPA3; KIT; MS4A2; TPSD1	MAST CELL (10)	45	45	0	0	1.0	0.0	0.0	0.4755555555555555	0.6071428571428571
5	7	7	1	cDC1-like	1.0	CLEC9A; XCR1; CADM1	CLEC9A; XCR1; CADM1; BATF3; CD141; BTLA; TLR3; ID2; IDO1; SERPINF2	CDC1 (7)	21	21	0	0	1.0	0.0	0.0	0.4366213151927438	0.6000000000000001
