scope	n_replicates	k_cell_types_median	k_cell_types_p10	k_cell_types_p90	protein_coding_genes_median	protein_coding_genes_p10	protein_coding_genes_p90	n_tissues_median	n_tissues_p10	n_tissues_p90	n_nonempty_contexts_median	n_nonempty_contexts_p10	n_nonempty_contexts_p90	max_tissue_cell_types_median	max_tissue_cell_types_p10	max_tissue_cell_types_p90	median_tissue_cell_types_median	median_tissue_cell_types_p10	median_tissue_cell_types_p90	complete_edges_median	complete_edges_p10	complete_edges_p90	admissible_edges_median	admissible_edges_p10	admissible_edges_p90	admissible_edge_fraction_median	admissible_edge_fraction_p10	admissible_edge_fraction_p90	binary_lower_complete_median	binary_lower_complete_p10	binary_lower_complete_p90	binary_lower_admissible_clique_median	binary_lower_admissible_clique_p10	binary_lower_admissible_clique_p90	complete_experiment_lower_r10_median	complete_experiment_lower_r10_p10	complete_experiment_lower_r10_p90	admissible_experiment_lower_r10_median	admissible_experiment_lower_r10_p10	admissible_experiment_lower_r10_p90	per_context_lower_sum_r10_median	per_context_lower_sum_r10_p10	per_context_lower_sum_r10_p90	complete_experiment_lower_r20_median	complete_experiment_lower_r20_p10	complete_experiment_lower_r20_p90	admissible_experiment_lower_r20_median	admissible_experiment_lower_r20_p10	admissible_experiment_lower_r20_p90	per_context_lower_sum_r20_median	per_context_lower_sum_r20_p10	per_context_lower_sum_r20_p90	complete_experiment_lower_r50_median	complete_experiment_lower_r50_p10	complete_experiment_lower_r50_p90	admissible_experiment_lower_r50_median	admissible_experiment_lower_r50_p10	admissible_experiment_lower_r50_p90	per_context_lower_sum_r50_median	per_context_lower_sum_r50_p10	per_context_lower_sum_r50_p90	complete_experiment_lower_r100_median	complete_experiment_lower_r100_p10	complete_experiment_lower_r100_p90	admissible_experiment_lower_r100_median	admissible_experiment_lower_r100_p10	admissible_experiment_lower_r100_p90	per_context_lower_sum_r100_median	per_context_lower_sum_r100_p10	per_context_lower_sum_r100_p90	random_panel_sufficient_complete_q0.5_median	random_panel_sufficient_complete_q0.5_p10	random_panel_sufficient_complete_q0.5_p90	random_panel_sufficient_admissible_q0.5_median	random_panel_sufficient_admissible_q0.5_p10	random_panel_sufficient_admissible_q0.5_p90	random_panel_sufficient_complete_q0.1_median	random_panel_sufficient_complete_q0.1_p10	random_panel_sufficient_complete_q0.1_p90	random_panel_sufficient_admissible_q0.1_median	random_panel_sufficient_admissible_q0.1_p10	random_panel_sufficient_admissible_q0.1_p90	random_panel_sufficient_complete_q0.02_median	random_panel_sufficient_complete_q0.02_p10	random_panel_sufficient_complete_q0.02_p90	random_panel_sufficient_admissible_q0.02_median	random_panel_sufficient_admissible_q0.02_p10	random_panel_sufficient_admissible_q0.02_p90
C. elegans adult	25	146.0	146.0	146.0	20000.0	20000.0	20000.0	12.0	12.0	12.0	12.0	12.0	12.0	32.0	26.0	41.6	12.5	10.0	15.3	10585.0	10585.0	10585.0	1501.0	1374.2	1997.0000000000005	0.1418044402456306	0.1298252243741143	0.18866320264525274	8.0	8.0	8.0	5.0	5.0	6.0	236.0	236.0	236.0	34.0	31.0	44.60000000000001	41.0	37.0	52.20000000000001	56.0	56.0	56.0	8.0	8.0	11.200000000000003	16.0	14.0	19.6	9.0	9.0	9.0	4.0	3.0	5.0	12.0	12.0	12.0	3.0	3.0	3.0	4.0	3.0	5.0	12.0	12.0	12.0	18.0	18.0	18.0	15.0	15.0	16.0	117.0	117.0	117.0	98.0	98.0	101.2	607.0	607.0	607.0	511.0	506.4	524.6
Drosophila adult	25	250.0	250.0	250.0	13900.0	13900.0	13900.0	20.0	20.0	20.0	20.0	20.0	20.0	43.0	33.4	50.0	13.0	11.9	16.0	31125.0	31125.0	31125.0	3266.0	2961.4	3657.6000000000004	0.10493172690763052	0.09514538152610441	0.1175132530120482	8.0	8.0	8.0	6.0	6.0	6.0	692.0	692.0	692.0	73.0	66.4	81.80000000000001	85.0	78.0	93.2	164.0	164.0	164.0	18.0	16.0	19.6	30.0	27.4	33.0	26.0	26.0	26.0	4.0	3.0	6.0	20.0	20.0	20.0	7.0	7.0	7.0	4.0	3.0	6.0	20.0	20.0	20.0	20.0	20.0	20.0	16.0	16.0	17.0	127.0	127.0	127.0	106.0	105.0	107.0	661.0	661.0	661.0	549.0	544.4	555.2
Human major cell types	25	400.0	400.0	400.0	20000.0	20000.0	20000.0	45.0	45.0	45.0	45.0	44.4	45.0	42.0	35.4	53.6	13.0	11.0	14.0	79800.0	79800.0	79800.0	5693.0	5291.2	6238.6	0.07134085213032582	0.06630576441102758	0.07817794486215539	9.0	9.0	9.0	6.0	6.0	6.0	1774.0	1774.0	1774.0	127.0	118.0	139.0	157.0	145.8	170.2	420.0	420.0	420.0	30.0	28.0	33.6	60.0	57.0	63.2	66.0	66.0	66.0	7.0	5.4	9.600000000000001	45.0	44.4	46.0	17.0	17.0	17.0	7.0	5.0	9.600000000000001	45.0	44.4	45.0	21.0	21.0	21.0	17.0	17.0	17.0	136.0	136.0	136.0	111.0	110.0	112.0	707.0	707.0	707.0	577.0	573.0	581.2
Human fine cell types	25	3358.0	3358.0	3358.0	20000.0	20000.0	20000.0	70.0	70.0	70.0	70.0	70.0	70.0	233.0	192.6	307.40000000000003	53.0	46.8	56.900000000000006	5636403.0	5636403.0	5636403.0	227574.0	214856.4	260099.6	0.04037575027903434	0.03811941764987351	0.0461463809454363	12.0	12.0	12.0	8.0	8.0	9.0	125254.0	125254.0	125254.0	5058.0	4775.4	5780.400000000001	5178.0	4896.0	5914.400000000001	29666.0	29666.0	29666.0	1198.0	1131.2	1369.4	1252.0	1182.2	1425.4	4602.0	4602.0	4602.0	186.0	175.8	212.60000000000002	226.0	214.2	256.6	1139.0	1139.0	1139.0	46.0	44.0	53.2	96.0	91.4	104.2	27.0	27.0	27.0	23.0	23.0	23.0	176.0	176.0	176.0	146.0	145.4	147.0	918.0	918.0	918.0	759.0	756.4	766.2
Mouse brain major types	25	300.0	300.0	300.0	22000.0	22000.0	22000.0	25.0	25.0	25.0	25.0	25.0	25.0	49.0	36.4	56.2	14.0	11.4	15.600000000000001	44850.0	44850.0	44850.0	4347.0	3951.4	5157.8	0.09692307692307692	0.0881025641025641	0.1150011148272018	9.0	9.0	9.0	6.0	6.0	6.0	997.0	997.0	997.0	97.0	88.2	114.80000000000001	114.0	104.4	133.4	237.0	237.0	237.0	23.0	21.4	27.6	40.0	36.0	42.6	37.0	37.0	37.0	5.0	4.0	7.0	25.0	25.0	26.0	10.0	10.0	10.0	5.0	4.0	7.0	25.0	25.0	25.0	20.0	20.0	20.0	17.0	17.0	17.0	131.0	131.0	131.0	108.0	107.4	110.0	679.0	679.0	679.0	563.0	558.8	571.6
Mouse brain clusters	25	5322.0	5322.0	5322.0	22000.0	22000.0	22000.0	80.0	80.0	80.0	80.0	80.0	80.0	372.0	284.4	461.0	61.5	53.4	64.3	14159181.0	14159181.0	14159181.0	468232.0	422342.2	505997.4	0.03306914432409615	0.02982815178363777	0.03573634661496311	13.0	13.0	13.0	9.0	9.0	9.0	314649.0	314649.0	314649.0	10406.0	9385.8	11244.6	10508.0	9478.4	11344.2	74523.0	74523.0	74523.0	2465.0	2223.6	2663.4	2515.0	2271.0	2714.4	11559.0	11559.0	11559.0	383.0	345.0	413.4	430.0	391.0	461.4	2861.0	2861.0	2861.0	95.0	85.8	102.6	149.0	138.4	159.8	29.0	29.0	29.0	24.0	23.4	24.0	185.0	185.0	185.0	153.0	152.0	154.0	964.0	964.0	964.0	795.0	789.8	799.0
