profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
1	16	294	3819	B CELL	CD8T_GZMB	CL:0000987	CL:0000910	IgA plasma cell	cytotoxic T cell	0.0	0.1	CL:0000542	9	0.0	False
1	17	294	3856	B CELL	DCS	CL:0000987	CL:0000841	IgA plasma cell	mature conventional dendritic cell	0.0	0.1	CL:0000738	9	0.0	False
2	3	341	445	IMMUNE-REGULATORY	B REGULATORY	CL:0001064	CL:0001201	malignant cell	B cell, CD19-positive	0.0	0.0	CL:0000000	10	0.5	False
2	4	341	1057	IMMUNE-REGULATORY	HNDAM	CL:0001064	CL:4047053	malignant cell	TREM2-positive macrophage	0.0	0.0	CL:0000000	8	0.0	False
2	5	341	1333	IMMUNE-REGULATORY	DENDRITIC CELL	CL:0001064	CL:2000001	malignant cell	peripheral blood mononuclear cell	0.0	0.0	CL:0000000	6	0.0	False
2	6	341	1829	IMMUNE-REGULATORY	EXHAUSTED CD8 T CELL	CL:0001064	CL:0011025	malignant cell	exhausted T cell	0.0	0.0	CL:0000000	11	0.0	False
2	7	341	2113	IMMUNE-REGULATORY	PLASMACYTOID DENDRITIC CELL	CL:0001064	CL:0000786	malignant cell	plasma cell	0.0	0.0	CL:0000000	10	0.0	False
2	8	341	2259	IMMUNE-REGULATORY	ALVEOLAR MAC	CL:0001064	CL:0000235	malignant cell	macrophage	0.0	0.0	CL:0000000	7	0.0	False
2	9	341	2263	IMMUNE-REGULATORY	NK CELL	CL:0001064	CL:0000623	malignant cell	natural killer cell	0.0	0.0	CL:0000000	10	0.0	False
2	10	341	2449	IMMUNE-REGULATORY	ACTIVATED MEMORY CELL	CL:0001064	CL:0000910	malignant cell	cytotoxic T cell	0.0	0.0	CL:0000000	11	0.0	False
2	11	341	2737	IMMUNE-REGULATORY	NEUTROPHIL	CL:0001064	CL:0001064	malignant cell	malignant cell	0.0	1.0	CL:0001064	0	0.0	False
2	12	341	3111	IMMUNE-REGULATORY	MONOCYTE	CL:0001064	CL:0002057	malignant cell	CD14-positive, CD16-negative classical monocyte	0.0	0.0	CL:0000000	8	0.0	False
2	13	341	3291	IMMUNE-REGULATORY	MONOCYTE	CL:0001064	CL:0002057	malignant cell	CD14-positive, CD16-negative classical monocyte	0.0	0.0	CL:0000000	8	0.0	False
2	14	341	3472	IMMUNE-REGULATORY	CD4.9	CL:0001064	CL:0011025	malignant cell	exhausted T cell	0.0	0.0	CL:0000000	11	0.0	False
2	15	341	3509	IMMUNE-REGULATORY	CXCL9-POSITIVE	CL:0001064	CL:0000235	malignant cell	macrophage	0.0	0.0	CL:0000000	7	0.0	False
2	16	341	3819	IMMUNE-REGULATORY	CD8T_GZMB	CL:0001064	CL:0000910	malignant cell	cytotoxic T cell	0.0	0.0	CL:0000000	11	0.0	False
2	17	341	3856	IMMUNE-REGULATORY	DCS	CL:0001064	CL:0000841	malignant cell	mature conventional dendritic cell	0.0	0.0	CL:0000000	7	0.0	False
3	4	445	1057	B REGULATORY	HNDAM	CL:0001201	CL:4047053	B cell, CD19-positive	TREM2-positive macrophage	0.0	0.125	CL:0000842	7	0.0	False
3	5	445	1333	B REGULATORY	DENDRITIC CELL	CL:0001201	CL:2000001	B cell, CD19-positive	peripheral blood mononuclear cell	0.0	0.16666666666666666	CL:0000842	5	0.0	False
3	6	445	1829	B REGULATORY	EXHAUSTED CD8 T CELL	CL:0001201	CL:0011025	B cell, CD19-positive	exhausted T cell	0.0	0.125	CL:0000542	7	0.0	False
3	7	445	2113	B REGULATORY	PLASMACYTOID DENDRITIC CELL	CL:0001201	CL:0000786	B cell, CD19-positive	plasma cell	0.0	0.2	CL:0000945	4	0.0	False
3	8	445	2259	B REGULATORY	ALVEOLAR MAC	CL:0001201	CL:0000235	B cell, CD19-positive	macrophage	0.0	0.14285714285714285	CL:0000842	6	0.0	False
3	9	445	2263	B REGULATORY	NK CELL	CL:0001201	CL:0000623	B cell, CD19-positive	natural killer cell	0.0	0.14285714285714285	CL:0000542	6	0.0	False
3	10	445	2449	B REGULATORY	ACTIVATED MEMORY CELL	CL:0001201	CL:0000910	B cell, CD19-positive	cytotoxic T cell	0.0	0.125	CL:0000542	7	0.0	False
3	11	445	2737	B REGULATORY	NEUTROPHIL	CL:0001201	CL:0001064	B cell, CD19-positive	malignant cell	0.0	0.0	CL:0000000	10	0.0	False
3	12	445	3111	B REGULATORY	MONOCYTE	CL:0001201	CL:0002057	B cell, CD19-positive	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8	0.0	False
3	13	445	3291	B REGULATORY	MONOCYTE	CL:0001201	CL:0002057	B cell, CD19-positive	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8	0.0	False
3	14	445	3472	B REGULATORY	CD4.9	CL:0001201	CL:0011025	B cell, CD19-positive	exhausted T cell	0.0	0.125	CL:0000542	7	0.0	False
3	15	445	3509	B REGULATORY	CXCL9-POSITIVE	CL:0001201	CL:0000235	B cell, CD19-positive	macrophage	0.0	0.14285714285714285	CL:0000842	6	0.0	False
3	16	445	3819	B REGULATORY	CD8T_GZMB	CL:0001201	CL:0000910	B cell, CD19-positive	cytotoxic T cell	0.0	0.125	CL:0000542	7	0.0	False
3	17	445	3856	B REGULATORY	DCS	CL:0001201	CL:0000841	B cell, CD19-positive	mature conventional dendritic cell	0.0	0.125	CL:0000738	7	0.0	False
4	5	1057	1333	HNDAM	DENDRITIC CELL	CL:4047053	CL:2000001	TREM2-positive macrophage	peripheral blood mononuclear cell	0.0	0.2	CL:0000842	4	0.0	False
