ontology_relation	n_pairs	n_marker_positive	fraction_marker_positive	mean_marker_jaccard	median_marker_jaccard
same_term	5	4	0.8	0.24166666666666664	0.25
close_parent_child	10	3	0.3	0.021284271284271284	0.0
shared_ancestor	105	6	0.05714285714285714	0.005923793268994507	0.0
different_branch	32	0	0.0	0.0	0.0
