k	comparison	profiles	mean_overlap_at_k	median_overlap_at_k	mean_jaccard_at_k	median_jaccard_at_k
1	Observed	3336	0.03986810551558753	0.0	0.03986810551558753	0.0
1	Random	3336	0.0	0.0	0.0	0.0
5	Observed	3228	0.05935563816604709	0.0	0.03680469502960209	0.0
5	Random	3228	0.0016728624535315986	0.0	0.0009293680297397769	0.0
10	Observed	3077	0.07052323691907703	0.0	0.04123623689593519	0.0
10	Random	3077	0.0031199220019499517	0.0	0.0016420642115526059	0.0
