label_relation	marker_relation	pairs	fraction	percent
Exact	Exact	45	8.039344911300122e-06	0.0008039344911300122
Exact	Partial	2403	0.00042930101826342646	0.042930101826342645
Exact	None	3172	0.0005666844901920886	0.05666844901920885
Partial	Exact	30	5.359563274200081e-06	0.0005359563274200081
Partial	Partial	8228	0.0014699495540039422	0.14699495540039423
Partial	None	37171	0.00664067754884304	0.664067754884304
Different	Exact	76	1.3577560294640205e-05	0.0013577560294640205
Different	Partial	102369	0.018288437760552934	1.8288437760552934
Different	None	5443977	0.9725779731596644	97.25779731596644
