split	model	auroc	auprc	n_train_pairs	n_test_pairs	train_positive_fraction	test_positive_fraction	n_test_papers
0	weighted shared genes	0.696050838300249	0.2031463867223542	56075	9333	0.09663843067320553	0.09128897460623593	178
0	plain Jaccard	0.6585974005412817	0.1646034038928044	56075	9333	0.09663843067320553	0.09128897460623593	178
0	shared gene count	0.5945348425893172	0.1263574825951315	56075	9333	0.09663843067320553	0.09128897460623593	178
1	weighted shared genes	0.6872838640896253	0.2136032656966564	52365	11079	0.09408956363983577	0.10037006950085747	178
1	plain Jaccard	0.6227313173039375	0.1754304372208157	52365	11079	0.09408956363983577	0.10037006950085747	178
1	shared gene count	0.6115029868349727	0.14687891559869315	52365	11079	0.09408956363983577	0.10037006950085747	178
2	weighted shared genes	0.681349751186056	0.17678338655015843	54765	10024	0.10094038163060348	0.08060654429369513	178
2	plain Jaccard	0.6587200773299985	0.14575691627582066	54765	10024	0.10094038163060348	0.08060654429369513	178
2	shared gene count	0.5794785166993262	0.10746615454203513	54765	10024	0.10094038163060348	0.08060654429369513	178
3	weighted shared genes	0.700360294331967	0.22091665016756074	50136	12184	0.09360539333014202	0.10103414313854235	178
3	plain Jaccard	0.6755856182790614	0.18366590957914597	50136	12184	0.09360539333014202	0.10103414313854235	178
3	shared gene count	0.5840139053631634	0.13942183027437385	50136	12184	0.09360539333014202	0.10103414313854235	178
4	weighted shared genes	0.7166099968985837	0.23263958311913263	52937	10673	0.09464079944084478	0.093694368968425	178
4	plain Jaccard	0.6239751886694924	0.16004581531181766	52937	10673	0.09464079944084478	0.093694368968425	178
4	shared gene count	0.6204687790757779	0.15361671340192085	52937	10673	0.09464079944084478	0.093694368968425	178
5	weighted shared genes	0.7172258784464223	0.19961434409746714	52598	10855	0.09939541427430701	0.0852141870105942	178
5	plain Jaccard	0.6376459541112108	0.16451966034568216	52598	10855	0.09939541427430701	0.0852141870105942	178
5	shared gene count	0.6005364034729593	0.12291990233185587	52598	10855	0.09939541427430701	0.0852141870105942	178
6	weighted shared genes	0.6896706703344314	0.2470512906595756	48357	13203	0.08439315921169634	0.11262591835188972	178
6	plain Jaccard	0.6346393335389009	0.19277772571113796	48357	13203	0.08439315921169634	0.11262591835188972	178
6	shared gene count	0.603907014312961	0.16605100955407567	48357	13203	0.08439315921169634	0.11262591835188972	178
7	weighted shared genes	0.7280436791009739	0.20871256719088266	56630	9050	0.10838778032844781	0.06464088397790055	178
7	plain Jaccard	0.6751197742337731	0.14039787756765823	56630	9050	0.10838778032844781	0.06464088397790055	178
7	shared gene count	0.6038455985177781	0.09716756745184502	56630	9050	0.10838778032844781	0.06464088397790055	178
8	weighted shared genes	0.719869286983204	0.23860990233195417	53688	10632	0.090392638950976	0.09706546275395034	178
8	plain Jaccard	0.6079576974321703	0.15005747079587456	53688	10632	0.090392638950976	0.09706546275395034	178
8	shared gene count	0.6014547500807493	0.13988111259110111	53688	10632	0.090392638950976	0.09706546275395034	178
9	weighted shared genes	0.7373872337741854	0.22902394683069904	54548	10204	0.09729045977854367	0.08633869070952567	178
9	plain Jaccard	0.6438874943797228	0.16875981803221493	54548	10204	0.09729045977854367	0.08633869070952567	178
9	shared gene count	0.6109574492823638	0.13148644421862787	54548	10204	0.09729045977854367	0.08633869070952567	178
