normalized_cell_type	n_profiles	n_papers	n_pairs	pct_jaccard_eq_0	mean_jaccard	median_jaccard
MACROPHAGES MONOCYTES	6	2	5	1.0	0.0	0.0
B CELLS	13	3	32	0.6875	0.028645833333333336	0.0
EPITHELIAL	5	3	7	1.0	0.0	0.0
ENTEROCYTES	5	2	6	1.0	0.0	0.0
LYMPHATIC ENDOTHELIUM	4	2	4	1.0	0.0	0.0
MONOCYTES	4	2	3	1.0	0.0	0.0
