cluster	n_profiles	n_papers	n_labels	dominant_label	dominant_label_fraction	label_entropy	mean_edge_jaccard	core_genes	top_labels
25	7	5	6	MATURE LUMINAL	0.2857142857142857	2.521640636343318	0.5277777777777778	ESR1; PGR	MATURE LUMINAL (2); EPITHELIAL (1); TRIPLE NEGATIVE LIKE (1); TRIPLE POSITIVE LIKE (1); LUMINAL HORMONE RESPONSIVE (1); HR (1)
26	7	7	6	ASTROCYTE	0.2857142857142857	2.521640636343318	0.575	GFAP; S100B	ASTROCYTE (2); IASTROCYTES (1); CLUSTER 3 (1); ASTROCYTE MARKER (1); ASTRO S 3 (1); IMMATURE ASTROCYTE (1)
27	6	6	5	NK CELLS	0.3333333333333333	2.251629167387823	0.5125	NKG7; GNLY	NK CELLS (2); NATURAL KILLER CELL (1); PLATELETS (1); CYTOTOXIC PLASMA CELL (1); NATURAL KILLER NK CELL (1)
28	6	4	6	FOREBRAIN MIDBRAIN NEURECTODERM	0.16666666666666666	2.584962500721156	0.5	PAX6; VIM; OTX2; SOX2	FOREBRAIN MIDBRAIN NEURECTODERM (1); AP 2 (1); C 5 (1); C 6 (1); NEUROEPITHELIAL MARKER (1); PHENOGRAPH CLUSTER 8 (1)
29	6	6	4	ENTEROENDOCRINE CELL	0.5	1.7924812503605778	0.5416666666666666	NEUROD1; CHGA	ENTEROENDOCRINE CELL (3); NEUROBLAST (1); TEC NEURO S (1); SENSORY NEURON PRECURSOR (1)
30	6	5	3	INTERNEURON	0.5	1.4591479170272448	0.5208333333333334	GAD1; SST; CCK; CALB2; VIP	INTERNEURON (3); INHIBITORY NEURON (2); IN (1)
31	6	6	5	CDC 2	0.3333333333333333	2.2516291673878226	0.6599999999999999	CD1C; FCER1A; CLEC10A	CDC 2 (2); CLEC 10 A HI DC (1); MDC 2 (1); MACROPHAGE SUBCLUSTER (1); CD 1 C MDCS (1)
32	5	5	5	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	0.2	2.321928094887362	0.5	CD69; ITGAE; CXCR6	CD 4 TISSUE RESIDENT MEMORY T CELL TRM (1); CD 8 4 (1); CD 8 T CELL (1); ZNF 683 EXPANDED CLONE (1); TISSUE RESIDENT MEMORY T TRM CELL (1)
33	5	5	5	ICOS	0.2	2.321928094887362	0.52	KRT7; KRT19; EPCAM	ICOS (1); BILE DUCT CELL (1); KERA B (1); C 6 (1); CHOLANGIOCYTE (1)
34	5	2	5	HLA DR HIGH INTERMEDIATE MONOCYTES	0.2	2.321928094887362	0.5	ISG15; MX1; IFI6; IFI44L; MX2	HLA DR HIGH INTERMEDIATE MONOCYTES (1); ISG AP 1 HIGH CLASSICAL MONOCYTES (1); ISG AP 1 LOW CLASSICAL MONOCYTES (1); ISG NON CLASSICAL MONOCYTES (1); CORE ISGS (1)
35	5	5	3	EPITHELIAL CELL	0.6	1.3709505944546687	0.525	SOX9; SOX2; CDH1	EPITHELIAL CELL (3); NEURONAL STEM PROGENITOR CELL (1); DUCTAL (1)
36	5	5	3	PODOCYTE	0.6	1.3709505944546687	0.55	NPHS1; PODXL; WT1	PODOCYTE (3); GLOMERULAR CELL (1); POD (1)
37	5	4	4	PROXIMAL TUBULE	0.4	1.9219280948873623	0.6071428571428571	LRP2; CUBN; HNF4A	PROXIMAL TUBULE (2); PROXIMAL (1); PT 1 (1); PROXIMAL NEPHRON SEGMENT (1)
38	5	4	5	EPITHELIAL CELL DOMINANT DOMAIN 0	0.2	2.321928094887362	0.5	HEY1; SOX17; SEMA3G	EPITHELIAL CELL DOMINANT DOMAIN 0 (1); ARTERIOLAR ENDOTHELIAL CELLS (1); ECS III (1); C 20 (1); C 27 (1)
39	5	3	3	AT 2	0.4	1.5219280948873621	0.6416666666666667	ACE2; TMPRSS2; FURIN	AT 2 (2); TRANSIENT SECRETORY CELL (2); AT 1 (1)
40	4	4	3	HEP 3	0.5	1.5	0.6	CYP1A2; GLUL; CYP2E1	HEP 3 (2); CLUSTER 3 (1); HEPATOCYTE (1)
41	4	4	4	DM ICOS	0.25	2.0	0.5625	TFF3; MUC5B; TFF1	DM ICOS (1); GOBLET (1); M ACINAR (1); SECRETORY 4 (1)
42	4	4	4	MESENCHYMAL STEM CELL	0.25	2.0	0.6944444444444443	THY1; CD44; ENG; NT5E	MESENCHYMAL STEM CELL (1); IMSCS (1); MSCS (1); HTDSCS (1)
43	4	4	4	HEMATOPOIETIC LINEAGES	0.25	2.0	0.5	KLF1; GATA1	HEMATOPOIETIC LINEAGES (1); BASOEB (1); MEP (1); ERYTHROBLAST (1)
44	4	4	4	ICAFS	0.25	2.0	0.5	CXCL1; IL6; CXCL8	ICAFS (1); FIBRO ADIPOGENIC PROGENITOR (1); CLUSTER 0 (1); C 5 ENDOTHELIAL CELL (1)
45	4	4	4	DCS	0.25	2.0	0.5	CLEC9A; IRF8; CD1C	DCS (1); DENDRITIC CELL SUBTYPE (1); DC (1); CDC 1 (1)
46	4	3	4	AT 0	0.25	2.0	0.5	SFTPB; SCGB3A2; SFTPC	AT 0 (1); PRE TERMINAL BRONCHIOLE SECRETORY CELL PRE TB SC (1); AT 2 (1); SECRETORY PROGENITOR CELL (1)
47	4	4	4	NMSCWANN	0.25	2.0	0.7888888888888889	NCAM1; SCN7A; L1CAM; NGFR; CHD2	NMSCWANN (1); NMSCHWANN (1); NONMYELINATING SCHWANN CELL (1); C 15 (1)
48	4	4	4	CLUSTER 3 CELL	0.25	2.0	0.5	IL7R; CCR6; KLRB1; CCL20	CLUSTER 3 CELL (1); T H LIKE (1); T H 17 (1); ILCS (1)
49	4	4	2	ENDOTHELIAL CELL	0.75	0.8112781244591328	0.5	VWF; CD34; CLDN5	ENDOTHELIAL CELL (3); EC (1)
50	4	4	4	T FH CELL	0.25	2.0	0.55	PDCD1; CXCR5; ICOS; CXCL13; MAF	T FH CELL (1); T FOLLICULAR HELPER T FH CELL (1); TPH TFH CELL (1); CT 3 B (1)
51	4	4	3	LYMPHATIC ENDOTHELIAL CELL	0.5	1.5	0.5	LYVE1; PROX1; CCL21	LYMPHATIC ENDOTHELIAL CELL (2); LYMPHATIC ENDOTHELIUM (1); LEC (1)
