ontology_relation	marker_relation	n_pairs	mean_marker_jaccard	median_marker_jaccard
close_parent_child	none	6	0.0	0.0
close_parent_child	partial	4	0.1933379120879121	0.10096153846153846
shared_ancestor	none	116	0.0	0.0
shared_ancestor	partial	9	0.1410914101187579	0.1111111111111111
unmapped	none	17	0.0	0.0
