resource	pair_category	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
CAP	within_local_context_different_label	24535	0.01488069301730764	0.0	0.0	0.0	0.9095170165070308	0.09048298349296922	0.047727735887507644	0.018381903403301408	0.0005706134094151213	0.15422865294477278
CAP	within_local_context_same_exact_label	14	0.1867330265439509	0.125	0.125	0.2767857142857143	0.0	1.0	1.0	0.42857142857142855	0.0	2.2857142857142856
CAP	same_study_different_labelset	1871	0.028509681422562237	0.0	0.0	0.0	0.9326563335114911	0.06734366648850881	0.06253340459647247	0.04756814537680385	0.008017103153393906	0.16675574559059328
CAP	between_study_same_exact_label	1056	0.6994740022910539	1.0	0.25	1.0	0.0946969696969697	0.9053030303030303	0.8683712121212122	0.7566287878787878	0.6240530303030303	3.929924242424242
CAP	between_study_partial_label	17286	0.05219170955565214	0.0	0.0	0.058823529411764705	0.7305912298970265	0.2694087701029735	0.18298044660418836	0.07132939951405762	0.0006942034015966678	0.4576535925026033
CAP	between_study_different_label	784066	0.00226035342283813	0.0	0.0	0.0	0.9811253134302469	0.018874686569753055	0.008932921463244165	0.0015763979052783822	3.826208507957238e-06	0.023153663084485236
LLMarkers	within_local_context_different_label	15426	0.02774123666972537	0.0	0.0	0.0	0.901724361467652	0.09827563853234798	0.078309347854272	0.035718916115648904	0.0066122131466355505	0.21016465707247503
LLMarkers	within_local_context_same_exact_label	28	0.048924880957167564	0.0	0.0	0.05637254901960784	0.6428571428571429	0.35714285714285715	0.17857142857142858	0.07142857142857142	0.0	0.7857142857142857
LLMarkers	same_study_different_labelset	0										
LLMarkers	between_study_same_exact_label	5620	0.09763460604712561	0.0	0.0	0.16666666666666666	0.5635231316725978	0.4364768683274021	0.3628113879003559	0.11637010676156584	0.00800711743772242	0.6871886120996441
LLMarkers	between_study_partial_label	63782	0.022783446364988854	0.0	0.0	0.0	0.8702141670063654	0.12978583299363458	0.09717475149728763	0.024991376877488945	0.0004703521369665423	0.1895675896020821
LLMarkers	between_study_different_label	5528069	0.0023445495836235722	0.0	0.0	0.0	0.9814559116393085	0.01854408836069159	0.010699215223254269	0.001296474410865711	1.374801942595145e-05	0.022191474093395
