resource	label_basis	n_profiles	n_labels	n_permutations	observed_mean_label_recovery	observed_median_label_recovery	null_mean_label_recovery	null_median_label_recovery	null_q025_label_recovery	null_q975_label_recovery	recovery_lift	empirical_p_ge
LLMarkers	reported label	692	73	1000	0.45363637590029193	0.5	0.045683616928216375	0.04539318901955107	0.03676133006310664	0.055084417597587615	9.929957529700424	0.000999000999000999
CAP	Cell Ontology term	647	86	1000	0.30969145039083157	0.2825	0.027258984624845665	0.026849046193569114	0.019556804811753647	0.03665581954303105	11.361077995126717	0.000999000999000999
