source	comparison	k	profiles	mean_overlap_at_k	median_overlap_at_k	mean_jaccard_at_k	mean_marker_jaccard_to_neighbors	median_marker_jaccard_to_neighbors	mean_ontology_similarity_to_neighbors
Label	Observed	1	6	0.6666666666666666	1.0	0.6666666666666666	0.25	0.25	0.5416666666666666
Label	Random	1	6	0.0	0.0	0.0	0.0	0.0	0.15343915343915343
Ontology	Observed	1	14	0.5	0.5	0.5	0.12500594643451787	0.07142857142857142	0.45663265306122447
Ontology	Random	1	14	0.0	0.0	0.0	0.0	0.0	0.13455473098330242
