local_dataset_id	global_dataset_id	local_label	global_label	local_n_cells	global_n_cells	n_local_reported_markers	n_global_reported_markers	local_reported_vs_global_reported_jaccard	local_reported_median_local_rank	local_reported_median_global_rank	local_reported_mean_local_rank	local_reported_mean_global_rank	local_reported_average_precision	local_reported_max_f1	local_reported_f1_at_n_reported	local_reported_f1_at_100	local_reported_best_rank_cutoff	global_recovery_of_local_reported_average_precision	global_recovery_of_local_reported_max_f1	global_recovery_of_local_reported_f1_at_n_reported	global_recovery_of_local_reported_f1_at_100	global_recovery_of_local_reported_best_rank_cutoff	local_reported_recovery_top25	global_recovery_of_local_reported_top25	global_reported_recovery_top25	local_top25_vs_global_top25_jaccard	local_reported_recovery_top50	global_recovery_of_local_reported_top50	global_reported_recovery_top50	local_top50_vs_global_top50_jaccard	local_reported_recovery_top100	global_recovery_of_local_reported_top100	global_reported_recovery_top100	local_top100_vs_global_top100_jaccard	local_reported_recovery_top200	global_recovery_of_local_reported_top200	global_reported_recovery_top200	local_top200_vs_global_top200_jaccard
1440	1437	Mac1	Macrophages	2264	7076	8	9	0.0625	47.0	271.5	112.0	620.0	0.07643394588223357	0.17721518987341772	0.0	0.12962962962962962	71	0.01764740706965247	0.05555555555555556	0.0	0.037037037037037035	28	0.125	0.0	0.2222222222222222	0.25	0.5	0.125	0.4444444444444444	0.25	0.875	0.25	0.5555555555555556	0.2422360248447205	0.875	0.5	0.8888888888888888	0.21212121212121213
1440	1437	immature LAMs	Macrophages	761	7076	10	9	0.0	60.5	1424.0	346.7	6763.2	0.08964178800143627	0.1818181818181818	0.10000000000000002	0.14545454545454545	12	0.004218953473593786	0.02247191011235955	0.0	0.01818181818181818	79	0.2	0.0	0.2222222222222222	0.041666666666666664	0.4	0.0	0.4444444444444444	0.041666666666666664	0.8	0.1	0.5555555555555556	0.05263157894736842	0.9	0.2	0.8888888888888888	0.06666666666666667
1440	1437	mature LAMs	Macrophages	531	7076	9	9	0.0	36.0	680.0	147.22222222222223	702.7777777777778	0.09878292433916638	0.26086956521739135	0.0	0.12844036697247707	37	0.01394035372045501	0.04545454545454545	0.0	0.03669724770642202	79	0.1111111111111111	0.0	0.2222222222222222	0.3157894736842105	0.7777777777777778	0.1111111111111111	0.4444444444444444	0.3333333333333333	0.7777777777777778	0.2222222222222222	0.5555555555555556	0.32450331125827814	0.8888888888888888	0.4444444444444444	0.8888888888888888	0.26582278481012656
1440	1437	Pre-moKCs and moKCs	Macrophages	1732	7076	8	9	0.13333333333333333	50.0	118.0	49.0	216.625	0.09995697478232894	0.1904761904761905	0.0	0.14814814814814814	13	0.03325730402618331	0.10526315789473685	0.0	0.05555555555555555	30	0.25	0.0	0.2222222222222222	0.3888888888888889	0.5	0.25	0.4444444444444444	0.5384615384615384	1.0	0.375	0.5555555555555556	0.45985401459854014	1.0	0.625	0.8888888888888888	0.3745704467353952
1440	1437	ResKCs	Macrophages	3442	7076	10	9	0.11764705882352941	159.5	477.0	142.5	398.5	0.07729913423738352	0.16666666666666666	0.10000000000000002	0.05454545454545455	14	0.014777325716647643	0.047058823529411764	0.0	0.03636363636363636	75	0.2	0.0	0.2222222222222222	0.28205128205128205	0.2	0.0	0.4444444444444444	0.4492753623188406	0.3	0.2	0.5555555555555556	0.41843971631205673	0.7	0.2	0.8888888888888888	0.4134275618374558
1440	1437	Mono	Mono+mono derived cells	19112	29639	9	9	0.125	11.0	240.0	26.0	593.3333333333334	0.55877388294224	0.5333333333333333	0.4444444444444444	0.14678899082568808	6	0.015441253606317408	0.048780487804878044	0.0	0.01834862385321101	114	0.7777777777777778	0.0	0.1111111111111111	0.06382978723404255	0.8888888888888888	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.8888888888888888	0.1111111111111111	0.2222222222222222	0.15606936416184972	1.0	0.3333333333333333	0.5555555555555556	0.17647058823529413
1440	1437	Pat Mono	Mono+mono derived cells	7842	29639	9	9	0.0	59.0	1264.0	60.666666666666664	3865.222222222222	0.12803527118322966	0.1818181818181818	0.1111111111111111	0.12844036697247707	2	0.0037776112377069554	0.010678871090770406	0.0	0.0	1302	0.1111111111111111	0.0	0.1111111111111111	0.21951219512195122	0.4444444444444444	0.0	0.2222222222222222	0.21951219512195122	0.7777777777777778	0.0	0.2222222222222222	0.16279069767441862	1.0	0.0	0.5555555555555556	0.1834319526627219
1440	1437	cDC1s	cDC1s	1196	1180	10	9	0.46153846153846156	52.0	176.5	61.5	164.3	0.11509263177029823	0.23076923076923075	0.10000000000000002	0.14545454545454545	16	0.044331451817838784	0.12244897959183675	0.0	0.05454545454545455	39	0.3	0.1	0.3333333333333333	0.42857142857142855	0.5	0.3	0.5555555555555556	0.3888888888888889	0.8	0.3	0.6666666666666666	0.42857142857142855	1.0	0.7	0.8888888888888888	0.4492753623188406
1440	1437	cDC2s	cDC2s	3849	2629	10	10	0.25	92.5	428.0	94.6	649.1	0.0732262611759205	0.17391304347826086	0.10000000000000002	0.09090909090909091	13	0.010933714890699272	0.032	0.0	0.01818181818181818	115	0.2	0.0	0.2	0.35135135135135137	0.2	0.0	0.2	0.3157894736842105	0.5	0.1	0.3	0.3888888888888889	1.0	0.2	0.6	0.39372822299651566
1440	1437	Mig cDCs	Mig.cDCs	92	78	10	10	0.5384615384615384	55.0	125.0	76.1	129.7	0.09780449293861064	0.2631578947368421	0.10000000000000002	0.1272727272727273	28	0.0620244799772656	0.1818181818181818	0.0	0.07272727272727272	34	0.2	0.2	0.2	0.5625	0.5	0.4	0.4	0.5151515151515151	0.7	0.4	0.4	0.48148148148148145	1.0	0.8	0.9	0.4652014652014652
