cache_creation_input_tokens	cache_read_input_tokens	estimated_cost_per_call_usd	estimated_cost_per_profile_usd	estimated_cost_usd	group	input_tokens	n_calls	n_profiles	output_tokens
0	0	0.0	0.0	0.0	all	0	18	6	0
0	0	0.0	0.0	0.0	full_context	0	6	6	0
0	0	0.0	0.0	0.0	label_context	0	6	6	0
0	0	0.0	0.0	0.0	marker_context	0	6	6	0
