label_relation	marker_relation	pairs	fraction	percent
Exact	Exact	2	2.6310700430311504e-06	0.00026310700430311505
Exact	Partial	1435	0.0018877927558748505	0.18877927558748506
Exact	None	1384	0.0018207004697775562	0.1820700469777556
Partial	Exact	0	0.0	0.0
Partial	Partial	4542	0.005975160067723743	0.5975160067723743
Partial	None	17292	0.02274823159204733	2.2748231592047325
Different	Exact	0	0.0	0.0
Different	Partial	10827	0.014243297677949133	1.4243297677949134
Different	None	724665	0.9533221863665844	95.33221863665844
