file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	Supplementary Table S3#C. Human Markers	xlsx	1	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 1	SPG1
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	Supplementary Table S3#C. Human Markers	xlsx	2	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 2	SPG2
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	Supplementary Table S3#C. Human Markers	xlsx	3	TRANSITIONING SPERMATOGONIAL CELL 3	SPG3
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	Supplementary Table S3#C. Human Markers	xlsx	4	TRANSITIONING SPERMATOGONIAL CELL 4	SPG4
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	Supplementary Table S3#C. Human Markers	xlsx	5	TRANSITIONING SPERMATOGONIAL CELL 5	SPG5
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	Supplementary Table S3#C. Human Markers	xlsx	6	TYPE B DIFFERENTIATED SPERMATOGONIAL CELL	SPG6
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	Endothelial	ENDOTHELIAL CELL	
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	ImmLeydig	IMMATURE LEYDIG CELL	
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	Macrophage	MACROPHAGE	
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	Myoid	MYOID CELL	
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	Tcell	T CELL	
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	f-Pericyte	F-PERICYTE	
Supplementary Table S6.xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6#B.HumanSoma-Markers	xlsx	m-Pericyte	M-PERICYTE	
