file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	deg	OFF BC	OFF BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000750
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	deg	ON BC	ON BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000749
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	deg	Rod BC	ROD BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000751
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	deg	rod PR	ROD PHOTORECEPTOR CELL	http://purl.obolibrary.org/obo/CL_0000604
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor78	deg	Unknown	UNKNOWN	UNKNOWN
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	deg	activated T cells	ACTIVATED T CELL	http://purl.obolibrary.org/obo/CL_0000084
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	deg	Choroid endothelial cells	CHOROID ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_4052017
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	deg	Fibroblasts	FIBROBLAST	http://purl.obolibrary.org/obo/CL_0000057
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	deg	melanocytes	MELANOCYTE	http://purl.obolibrary.org/obo/CL_0002567
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#ChoroidSclera	deg	monocytes	MONOCYTE	http://purl.obolibrary.org/obo/CL_0000576
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	conjunctival cells	CONJUNCTIVAL CELL	http://purl.obolibrary.org/obo/CL_1000432
