file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	ILCP-like	INNATE LYMPHOID PRECURSOR-LIKE CELL	http://purl.obolibrary.org/obo/CL_0001082
Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	deg	LAM	LIPID-ASSOCIATED MACROPHAGE	http://purl.obolibrary.org/obo/CL_4033086
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	LAM	LIPID-ASSOCIATED MACROPHAGE	http://purl.obolibrary.org/obo/CL_4033086
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	mNK	MATURE NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000824
Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	deg	mNK	MATURE NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000824
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	mNK	MATURE NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000824
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	MAIT	MUCOSAL-ASSOCIATED INVARIANT T CELL	http://purl.obolibrary.org/obo/CL_0000940
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	MAIT	MUCOSAL-ASSOCIATED INVARIANT T CELL	http://purl.obolibrary.org/obo/CL_0000940
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Myeloid-like	MYELOID-LIKE CELL	http://purl.obolibrary.org/obo/CL_0000763
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Naive CD4 T	NAIVE CD4+ T CELL	http://purl.obolibrary.org/obo/CL_0000624
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	nCD4T	NAIVE CD4+ T CELL	http://purl.obolibrary.org/obo/CL_0000624
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Naive CD8 T	NAIVE CD8+ T CELL	http://purl.obolibrary.org/obo/CL_0000625
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	nCD8T	NAIVE CD8+ T CELL	http://purl.obolibrary.org/obo/CL_0000625
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	NK-like	NATURAL KILLER-LIKE CELL	http://purl.obolibrary.org/obo/CL_0000623
Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	deg	Neu	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	Neu	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	ncMo	NONCLASSIC MONOCYTE	http://purl.obolibrary.org/obo/CL_0002471
Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	deg	ncMo	NONCLASSIC MONOCYTE	http://purl.obolibrary.org/obo/CL_0002471
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	ncMo	NONCLASSIC MONOCYTE	http://purl.obolibrary.org/obo/CL_0002471
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	PVM	PERIVASCULAR MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000881
Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	deg	PVM	PERIVASCULAR MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000881
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	PVM	PERIVASCULAR MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000881
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Preadipocyte	PREADIPOCYTE	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	pAD	PREADIPOCYTE	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Treg	REGULATORY T CELL	http://purl.obolibrary.org/obo/CL_0000815
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	Treg	REGULATORY T CELL	http://purl.obolibrary.org/obo/CL_0000815
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Smooth muscle	SMOOTH MUSCLE CELL	http://purl.obolibrary.org/obo/CL_0000192
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	SMC	SMOOTH MUSCLE CELL	http://purl.obolibrary.org/obo/CL_0000192
Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	deg	trNK	TISSUE RESIDENT NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000623
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	trNK	TISSUE RESIDENT NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000623
