resource	human_marker_records	studies	local_contexts	marker_profiles	reported_labels	marker_genes	median_markers_per_profile	mean_markers_per_profile	local_identifiable_profiles	local_identifiable_fraction	globally_unique_marker_set_profiles	globally_unique_marker_set_fraction	globally_label_consistent_marker_set_profiles	globally_label_consistent_marker_set_fraction	local_identifiable_but_globally_label_ambiguous_profiles	local_identifiable_but_globally_label_ambiguous_fraction	recurrent_exact_labels
CAP	8899	68	82	1288	719	2155	5.0	6.187888198757764	1260	0.9782608695652174	515	0.3998447204968944	1249	0.96972049689441	11	0.008540372670807454	355
LLMarkers	24141	599	599	3351	2318	3914	4.0	5.24470307370934	3202	0.9555356609967174	3033	0.9051029543419875	3086	0.9209191286183229	116	0.03461653237839451	325
