resource	label_basis	profile_idx	normalized_cell_type	cell_type	context_uid	comparison_context	n_local_markers	n_comparison_profiles	observed_global_recovery
LLMarkers	reported label	2642	PERICYTE	PERICYTE	hca|0374_10.1136_annrheumdis-2018-214865_9f6cd4034f	hca|0374_10.1136_annrheumdis-2018-214865_9f6cd4034f	9	13	0.6666666666666666
LLMarkers	reported label	2643	SMOOTH MUSCLE CELL	SMOOTH MUSCLE CELL	hca|0374_10.1136_annrheumdis-2018-214865_9f6cd4034f	hca|0374_10.1136_annrheumdis-2018-214865_9f6cd4034f	3	8	1.0
LLMarkers	reported label	2647	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	3	27	1.0
LLMarkers	reported label	2648	FIBROBLAST	FIBROBLAST	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	3	28	0.3333333333333333
LLMarkers	reported label	2654	MELANOCYTE	MELANOCYTE	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	2	6	1.0
LLMarkers	reported label	2655	NK CELL	NK CELL	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b	4	15	0.75
LLMarkers	reported label	2657	CLUSTER 1	CLUSTER 1	hca|0376_10.1038_s41590-017-0001-2_5fb0775c07	hca|0376_10.1038_s41590-017-0001-2_5fb0775c07	1	13	0.0
LLMarkers	reported label	2658	CLUSTER 3	CLUSTER 3	hca|0376_10.1038_s41590-017-0001-2_5fb0775c07	hca|0376_10.1038_s41590-017-0001-2_5fb0775c07	3	11	0.3333333333333333
LLMarkers	reported label	2660	HSC	HSC	hca|0376_10.1038_s41590-017-0001-2_5fb0775c07	hca|0376_10.1038_s41590-017-0001-2_5fb0775c07	3	4	0.6666666666666666
LLMarkers	reported label	2673	MACROPHAGE	MACROPHAGE	hca|0378_10.1101_2022.06.17.496207_92cb140ff3	hca|0378_10.1101_2022.06.17.496207_92cb140ff3	3	28	0.0
LLMarkers	reported label	2680	TREG	TREG	hca|0379_10.1038_s41698-022-00300-9_7bb9a273c6	hca|0379_10.1038_s41698-022-00300-9_7bb9a273c6	1	14	0.0
LLMarkers	reported label	2683	FIBROBLASTS	FIBROBLASTS	hca|0382_10.1371_journal.pbio.3002124_f92c982127	hca|0382_10.1371_journal.pbio.3002124_f92c982127	1	5	0.0
LLMarkers	reported label	2685	MACROPHAGES	MACROPHAGES	hca|0382_10.1371_journal.pbio.3002124_f92c982127	hca|0382_10.1371_journal.pbio.3002124_f92c982127	13	5	0.07692307692307693
LLMarkers	reported label	2715	EXCITATORY NEURON	EXCITATORY NEURON	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	3	4	0.6666666666666666
LLMarkers	reported label	2716	MICROGLIA	MICROGLIA	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	3	17	1.0
LLMarkers	reported label	2717	OLIGODENDROCYTE	OLIGODENDROCYTE	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	3	6	1.0
LLMarkers	reported label	2718	OPC	OPC	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	hca|0385_10.1038_s41586-022-04521-7_37f1f319e2	3	4	1.0
LLMarkers	reported label	2727	CARDIOMYOCYTE	CARDIOMYOCYTE	hca|0388_10.1038_s41467-023-40505-5_535df8ab2d	hca|0388_10.1038_s41467-023-40505-5_535df8ab2d	4	8	0.5
LLMarkers	reported label	2730	BASAL CELL	BASAL CELL	hca|0389_10.1038_s41591-024-02807-z_9d82b71a18	hca|0389_10.1038_s41591-024-02807-z_9d82b71a18	3	6	0.6666666666666666
LLMarkers	reported label	2733	ENTEROCYTE	ENTEROCYTE	hca|0389_10.1038_s41591-024-02807-z_9d82b71a18	hca|0389_10.1038_s41591-024-02807-z_9d82b71a18	6	5	0.3333333333333333
LLMarkers	reported label	2740	PODOCYTE	PODOCYTE	hca|0389_10.1038_s41591-024-02807-z_9d82b71a18	hca|0389_10.1038_s41591-024-02807-z_9d82b71a18	4	6	1.0
LLMarkers	reported label	2743	CD 8 T CELL	CD8 + T CELL	hca|0390_10.1038_s41591-020-0901-9_be86edb292	hca|0390_10.1038_s41591-020-0901-9_be86edb292	5	14	0.4
LLMarkers	reported label	2749	DUCTAL CELL	DUCTAL CELL	hca|0393_10.1038_s42255-022-00531-x_b92878970e	hca|0393_10.1038_s42255-022-00531-x_b92878970e	6	4	0.16666666666666666
LLMarkers	reported label	2750	MACROPHAGES	MACROPHAGES	hca|0393_10.1038_s42255-022-00531-x_b92878970e	hca|0393_10.1038_s42255-022-00531-x_b92878970e	4	5	0.5
LLMarkers	reported label	2751	B CELL	B CELL	hca|0394_10.1038_s41591-021-01329-2_7dcc6ae73c	hca|0394_10.1038_s41591-021-01329-2_7dcc6ae73c	4	29	0.75
LLMarkers	reported label	2752	B CELLS	B CELLS	hca|0394_10.1038_s41591-021-01329-2_7dcc6ae73c	hca|0394_10.1038_s41591-021-01329-2_7dcc6ae73c	3	4	0.0
LLMarkers	reported label	2760	T CELLS	ΑΒ T CELLS	hca|0394_10.1038_s41591-021-01329-2_7dcc6ae73c	hca|0394_10.1038_s41591-021-01329-2_7dcc6ae73c	4	4	0.0
LLMarkers	reported label	2762	AT 2	AT2	hca|0396_10.7554_elife.62522_10df7c4591	hca|0396_10.7554_elife.62522_10df7c4591	1	9	0.0
