normalized_cell_type	marker_scope	marker_scope_label	n_profiles	n_papers	example_reported_labels	median_n_markers	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	pct_union_lift_gt_1	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
CONE PHOTORECEPTOR	local_private_markers	Local-only markers	3	3	CONE PHOTORECEPTOR	6	0.222222222222	0.00129253731343	185.719198709	1	0.166666666667	0.000646766169154	278.416666667
PDCS	local_private_markers	Local-only markers	3	3	PDCS	3	1	0.00566811120715	176.42561401	1	0.5	0.00283836271288	176.157894737
PROXIMAL TUBULE	local_private_markers	Local-only markers	3	3	PROXIMAL TUBULE	5	0.6	0.00553593991318	108.382679258	1	0.4	0.00185185185185	223.2
PLASMACYTOID DENDRITIC CELL	local_private_markers	Local-only markers	3	3	PLASMACYTOID DENDRITIC CELL	3	0.666666666667	0.00566507614568	88.2600669687	1	0.333333333333	0.00283836271288	88.0789473684
MREGDC	local_private_markers	Local-only markers	3	3	MREGDC	7	0.625	0.00567265193963	88.1421961582	1	0.3125	0.00284090909091	88
ABERRANT BASALOID CELL	local_private_markers	Local-only markers	3	3	ABERRANT BASALOID CELL	16	0.9375	0.0108481226212	86.1495362512	1	0.53125	0.00545427375971	97.0972696246
MESOTHELIAL CELL	local_private_markers	Local-only markers	3	3	MESOTHELIAL CELL	3	0.333333333333	0.00419958166092	79.372985275	1	0.333333333333	0.00210526315789	158.333333333
RPE	local_private_markers	Local-only markers	3	3	RPE	3	0.222222222222	0.00311320016831	71.3806405653	0.666666666667	0.111111111111	0.00155887230514	71.2765957447
FIB 1	local_private_markers	Local-only markers	3	3	FIB1	3	0.333333333333	0.00480239175202	55.9160486547	0.666666666667	0.166666666667	0.00240456868049	55.75
NEPHRON PROGENITOR	local_private_markers	Local-only markers	3	3	NEPHRON PROGENITOR	3	0.333333333333	0.00626418470622	53.212564598	1	0.111111111111	0.00209267563528	53.0952380952
GLIAL CELL	local_private_markers	Local-only markers	3	3	GLIAL CELL	3	0.428571428571	0.0119139324124	43.4839307062	0.666666666667	0.190476190476	0.00399321154038	57.6796536797
T H 17	local_private_markers	Local-only markers	3	3	T H 17	4	0.333333333333	0.00977180573985	40.9161024746	1	0.166666666667	0.00490343240268	40.743902439
PLASMABLAST	local_private_markers	Local-only markers	3	3	PLASMABLAST	3	1	0.0171896350813	38.7830610431	1	0.333333333333	0.00578669061159	62.5420560748
CD 8 GZMK	local_private_markers	Local-only markers	3	3	CD8 GZMK; CD8+GZMK; CD8-GZMK	1	1	0.0284682879202	35.0643083183	0.666666666667	0.5	0.0143369175627	34.8125
MACRO CCL	local_private_markers	Local-only markers	3	3	MACRO-CCL	3	1	0.0255685195526	35.0370234189	1	1	0.0128703980844	69.5625
BASAL 1	local_private_markers	Local-only markers	3	3	BASAL 1; BASAL1	3	0.333333333333	0.0109225274821	30.517967007	0.666666666667	0.166666666667	0.00548409612125	30.3909090909
TH 17	local_private_markers	Local-only markers	3	3	TH17	3	0.333333333333	0.00905166022772	29.3683244656	0.666666666667	0.166666666667	0.0045413803406	29.2543859649
CD 4 TREG	local_private_markers	Local-only markers	3	3	CD4 + TREG; CD4+ TREG; CD4_TREG	7	0.285714285714	0.0153183721359	27.9776091592	1	0.142857142857	0.00769760041283	27.8379888268
NAIVE T CELL	local_private_markers	Local-only markers	3	3	NAIVE T CELL; NAÏVE T CELL	4	0.6	0.0290401891177	19.528572968	1	0.4	0.0146356033453	26.4047619048
CD 14 MONOCYTE	local_private_markers	Local-only markers	3	3	CD14+ MONOCYTE	4	0.5	0.0251854949994	18.4707602564	1	0.375	0.0126903553299	24.9701492537
FB 4	local_private_markers	Local-only markers	3	3	FB-4; FB4	5	0.375	0.0148490926565	18.2993295245	0.666666666667	0.1875	0.00745864661654	18.1358695652
INFLAMMATORY MACROPHAGE	local_private_markers	Local-only markers	3	3	INFLAMMATORY MACROPHAGE	3	0.333333333333	0.016065533559	16.9482946584	1	0.166666666667	0.00808141275067	16.8383838384
EPI	local_private_markers	Local-only markers	3	3	EPI	12	0.0689655172414	0.0044749336814	16.7763518906	0.666666666667	0.0689655172414	0.00149387511204	49.9552238806
EPITHELIAL	local_private_markers	Local-only markers	3	3	EPITHELIAL	4	0.333333333333	0.0218473484571	15.2573816446	0.666666666667	0.111111111111	0.00734412470024	15.1292517007
TAM	local_private_markers	Local-only markers	3	3	TAM	3	0.125	0.00863775065329	14.4713600817	0.666666666667	0.0625	0.0043400179587	14.400862069
NATURAL KILLER NK CELL	local_private_markers	Local-only markers	3	3	NATURAL KILLER (NK) CELL	3	0.666666666667	0.0396851720266	14.137336912	1	0.444444444444	0.013448894202	27.825
MAC 1	local_private_markers	Local-only markers	3	3	MAC1	3	0.2	0.016739651497	11.947680036	0.666666666667	0.2	0.00842042400717	23.7517730496
M 1	local_private_markers	Local-only markers	3	3	M1	3	0.05	0.00537018421663	11.1181004443	0.666666666667	0.025	0.00268897520167	11.082781457
NEUTROPHILS	local_private_markers	Local-only markers	3	3	NEUTROPHILS	4	0.142857142857	0.0080406952665	10.8636057282	0.666666666667	0.0714285714286	0.00404070637534	10.7967741935
STROMAL	local_private_markers	Local-only markers	3	3	STROMAL	4	0.25	0.0282808038953	7.07193475618	1	0.133333333333	0.00954668267787	13.9664570231
CANCER CELL	local_private_markers	Local-only markers	3	3	CANCER CELL	7	0.1	0.0132722336646	5.98103584021	0.666666666667	0.05	0.00667265110712	5.92907801418
C 1	local_private_markers	Local-only markers	3	3	C1	3	0	0.0114399819555	0	0	0	0.00229954009198	0
CLUSTER 6	local_private_markers	Local-only markers	3	3	CLUSTER 6	1	0	0	0	0	0	0	0
DISTAL	local_private_markers	Local-only markers	3	3	DISTAL	2	0	0.00149534907624	0	0	0	0.000748055056852	0
ECS	local_private_markers	Local-only markers	3	3	ECS	6	0	0.00786042763978	0	0	0	0.00393975663275	0
EEC	local_private_markers	Local-only markers	3	3	EEC	4	0	0.00408564179338	0	0	0	0.00204726354988	0
EPI 4	local_private_markers	Local-only markers	3	3	EPI-4; EPI4	4	0	0.00219205763054	0	0	0	0.00109681922425	0
FB 3	local_private_markers	Local-only markers	3	3	FB-3; FB3	5	0	0.0196484907798	0	0.333333333333	0	0.00660066006601	0
GC B CELL	local_private_markers	Local-only markers	3	3	GC B CELL	7	0	0.0028213063199	0	0.333333333333	0	0.000942385949882	0
IMMUNE	local_private_markers	Local-only markers	3	3	IMMUNE	4	0	0.0180441311458	0	0.333333333333	0	0.00907590759076	0
NEUROENDOCRINE	local_private_markers	Local-only markers	3	3	NEUROENDOCRINE	3	0	0.00499214211842	0	0	0	0.00250475904218	0
NEURONS	local_private_markers	Local-only markers	3	3	NEURONS	5	0	0.00214747159724	0	0	0	0.00107462686567	0
PE	local_private_markers	Local-only markers	3	3	PE	5	0	0.00773029612398	0	0	0	0.00388523610281	0
PROGENITOR	local_private_markers	Local-only markers	3	3	PROGENITOR	3	0	0.0113623428541	0	0	0	0.00571675474457	0
PT 1	local_private_markers	Local-only markers	3	3	PT-1; PT1	3	0	0.00358636889902	0	0.333333333333	0	0.00179479509423	0
T REG	local_private_markers	Local-only markers	3	3	T REG	4	0	0.0101307307831	0	0	0	0.0050822122571	0
TUMOR CELL	local_private_markers	Local-only markers	3	3	TUMOR CELL	3	0	0.0118916730543	0	0	0	0.00597371565114	0
CHONDROCYTE	local_private_markers	Local-only markers	2	2	CHONDROCYTE	5	1	0.00215411113261	464.228643718	1	0.6	0.001077844408	556.666666667
EPIBLAST	local_private_markers	Local-only markers	2	2	EPIBLAST	5.5	0.642857142857	0.00800075757456	85.2258911475	1	0.383928571429	0.00401888742063	94.533045977
INHIBITORY NEURON	local_private_markers	Local-only markers	2	2	INHIBITORY NEURON	3	0.5	0.00725345371527	69.1462760697	1	0.416666666667	0.00363615531518	120.869897959
MAIT	local_private_markers	Local-only markers	2	2	MAIT	5	0.238095238095	0.00554511602377	44.2747249233	1	0.119047619048	0.00277813039091	44.2009476031
DC 3	local_private_markers	Local-only markers	2	2	DC3	4	0.714285714286	0.0163949138573	43.247479231	1	0.357142857143	0.00823972300332	43.0406746032
CYTOTOXIC	local_private_markers	Local-only markers	2	2	CYTOTOXIC	8	0.25	0.0192537792342	13.0691534367	1	0.208333333333	0.00969303925005	21.9861075071
NK	local_private_markers	Local-only markers	2	2	NK	5	0.4	0.0221259171891	12.7802299636	0.5	0.2	0.0111454919753	12.6730038023
TCM	local_private_markers	Local-only markers	2	2	TCM	1.5	0.5	0.0296617981846	12.253113481	0.5	0.5	0.0149595990174	24.2536231884
VEC	local_private_markers	Local-only markers	2	2	VEC	4.5	0.0625	0.00872266209934	6.91991715202	0.5	0.03125	0.00437677575346	6.88636363636
AT 1	local_private_markers	Local-only markers	2	2	AT1	2.5	0	0.00338609722992	0	0	0	0.00169828252231	0
C 3	local_private_markers	Local-only markers	2	2	C3	6.5	0	0.0125581521047	0	0	0	0.00425265696906	0
C 4	local_private_markers	Local-only markers	2	2	C4	1.5	0	0.00523055369386	0	0	0	0.00262551095933	0
C 6	local_private_markers	Local-only markers	2	2	C6	2	0	0.0121769107444	0	0	0	0.00409116369468	0
CLUSTER 11	local_private_markers	Local-only markers	2	2	CLUSTER 11	5.5	0	0.00287554424627	0	0	0	0.00144219265843	0
PRINCIPAL CELL	local_private_markers	Local-only markers	2	2	PRINCIPAL CELL	5	0	0.000955972802336	0	0	0	0.000478218675627	0
STROMAL CELL	local_private_markers	Local-only markers	2	2	STROMAL CELL	3	0	0.0149358749232	0	0	0	0.00754269283992	0
C 2	local_private_markers	Local-only markers	1	1	C2	3	0	0.00179372100993	0	0	0	0.000598444045482	0
C 5	local_private_markers	Local-only markers	1	1	C5	4	0	0.00373510470622	0	0	0	0.00187013764213	0
MONOCYTES	local_private_markers	Local-only markers	1	1	MONOCYTES	3	0	0.00497478555996	0	0	0	0.00249128051819	0
