source_type	n_matched	pooled_recall_top50	pooled_recall_top100	mean_f1_peak_n	mean_f1_peak
image	763	0.5006553079947575	0.6159895150720839	41	0.42326185939084454
text	303	0.528052805280528	0.6600660066006601	30	0.40836325831771114
