source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
hca	0013_10.1016_j.cell.2022.01.012_62a71f9225	hca:0013_10.1016_j.cell.2022.01.012_62a71f9225	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	0.6	0.298798808642	2.00804013486	0.0229508196721	0.00650940579277	3.52579335238
hca	0148_10.1113_jp287812_fd3137bc12	hca:0148_10.1113_jp287812_fd3137bc12	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	15	30	5	12	7	0.666666666667	0.361732914616	1.99047126879	0.037296037296	0.0038141122152	6.68231297005
biorxiv	64ab9878-6ed8-1014-99e3-9a1ae6ef730b	biorxiv:64ab9878-6ed8-1014-99e3-9a1ae6ef730b	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1	0.503311501712	1.9868411443	0.166666666667	0.00786069651741	21.2025316456
biorxiv	a9b298c9-7797-1014-9b95-8bbbe23c746a	biorxiv:a9b298c9-7797-1014-9b95-8bbbe23c746a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.541666666667	0.263944090383	1.98633198654	0.0229166666667	0.00613367174281	3.66906759907
hca	0132_10.1038_s41467-020-16239-z_001d78a35b	hca:0132_10.1038_s41467-020-16239-z_001d78a35b	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	8	3	12	9	0.625	0.435491146644	1.97067880921	0.0677685950413	0.00598265031409	11.3275206612
biorxiv	67d3e1aa-726e-1014-b774-e6c3f2e9206c	biorxiv:67d3e1aa-726e-1014-b774-e6c3f2e9206c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1	0.511206699381	1.95615589782	0.180327868852	0.012039800995	14.9776453055
hca	0403_10.1038_s41467-019-11036-9_eff650140f	hca:0403_10.1038_s41467-019-11036-9_eff650140f	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	12	4	12	8	0.875	0.472513463303	1.95112185551	0.089499335401	0.0105891413169	10.2981992829
biorxiv	e3c9e28c-70c5-1014-9616-aa7d906f9d5d	biorxiv:e3c9e28c-70c5-1014-9616-aa7d906f9d5d	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1	0.514175149187	1.94486256596	0.0259900990099	0.00417910447761	6.21905940594
hca	0289_10.1172_jci.insight.93009_72829a2871	hca:0289_10.1172_jci.insight.93009_72829a2871	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	5	3	12	9	0.8	0.4238050897	1.9368043193	0.0765009976419	0.00648535564854	12.1455184231
hca	0471_10.1038_s41467-019-11947-7_0514f87944	hca:0471_10.1038_s41467-019-11947-7_0514f87944	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	4	2	12	10	0.690476190476	0.282203327442	1.92559546637	0.0131362889984	0.00592570461109	2.26177213591
hca	0448_10.1101_2022.02.15.480622_6cb3eae5b8	hca:0448_10.1101_2022.02.15.480622_6cb3eae5b8	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	3	2	12	10	1	0.52041002035	1.92156177033	0.0181518151815	0.00467941059339	3.87908152517
hca	0515_10.1084_jem.20201189_d8d9a9e257	hca:0515_10.1084_jem.20201189_d8d9a9e257	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	5	3	12	9	0.8	0.383068987562	1.89854243201	0.0104204096299	0.00266260935717	4.22775869889
hca	0019_10.1126_science.aba7721_1646acb14b	hca:0019_10.1126_science.aba7721_1646acb14b	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	6	3	12	9	0.75	0.36975323661	1.89605983423	0.0138190954774	0.00336322869955	4.10887772194
