local_label	global_label	context	replicate	recovery_top100
Pat Mono	Mono+mono derived cells	local	11	0.7777777777777778
cDC1s	cDC1s	local	11	0.8
cDC2s	cDC2s	local	11	0.5
Mig cDCs	Mig.cDCs	local	11	0.7
Mac1	Macrophages	local	12	0.875
immature LAMs	Macrophages	local	12	0.8
mature LAMs	Macrophages	local	12	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	12	1.0
ResKCs	Macrophages	local	12	0.4
Mono	Mono+mono derived cells	local	12	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	12	0.7777777777777778
cDC1s	cDC1s	local	12	0.8
cDC2s	cDC2s	local	12	0.5
Mig cDCs	Mig.cDCs	local	12	0.7
Mac1	Macrophages	local	13	0.875
immature LAMs	Macrophages	local	13	0.8
mature LAMs	Macrophages	local	13	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	13	1.0
ResKCs	Macrophages	local	13	0.4
Mono	Mono+mono derived cells	local	13	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	13	0.6666666666666666
cDC1s	cDC1s	local	13	0.8
cDC2s	cDC2s	local	13	0.5
Mig cDCs	Mig.cDCs	local	13	0.7
Mac1	Macrophages	local	14	0.875
immature LAMs	Macrophages	local	14	0.8
mature LAMs	Macrophages	local	14	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	14	1.0
ResKCs	Macrophages	local	14	0.4
Mono	Mono+mono derived cells	local	14	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	14	0.6666666666666666
cDC1s	cDC1s	local	14	0.8
cDC2s	cDC2s	local	14	0.5
Mig cDCs	Mig.cDCs	local	14	0.8
Mac1	Macrophages	local	15	0.875
immature LAMs	Macrophages	local	15	0.8
mature LAMs	Macrophages	local	15	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	15	1.0
ResKCs	Macrophages	local	15	0.3
Mono	Mono+mono derived cells	local	15	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	15	0.6666666666666666
cDC1s	cDC1s	local	15	0.8
cDC2s	cDC2s	local	15	0.5
Mig cDCs	Mig.cDCs	local	15	0.8
Mac1	Macrophages	local	16	0.875
immature LAMs	Macrophages	local	16	0.8
mature LAMs	Macrophages	local	16	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	16	1.0
ResKCs	Macrophages	local	16	0.4
Mono	Mono+mono derived cells	local	16	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	16	0.6666666666666666
cDC1s	cDC1s	local	16	0.8
cDC2s	cDC2s	local	16	0.5
Mig cDCs	Mig.cDCs	local	16	0.7
Mac1	Macrophages	local	17	0.875
immature LAMs	Macrophages	local	17	0.8
mature LAMs	Macrophages	local	17	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	17	1.0
ResKCs	Macrophages	local	17	0.4
Mono	Mono+mono derived cells	local	17	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	17	0.6666666666666666
cDC1s	cDC1s	local	17	0.8
cDC2s	cDC2s	local	17	0.5
Mig cDCs	Mig.cDCs	local	17	0.7
Mac1	Macrophages	local	18	0.875
immature LAMs	Macrophages	local	18	0.8
mature LAMs	Macrophages	local	18	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	18	0.875
ResKCs	Macrophages	local	18	0.3
Mono	Mono+mono derived cells	local	18	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	18	0.6666666666666666
cDC1s	cDC1s	local	18	0.8
cDC2s	cDC2s	local	18	0.5
Mig cDCs	Mig.cDCs	local	18	0.7
Mac1	Macrophages	local	19	0.875
immature LAMs	Macrophages	local	19	0.8
mature LAMs	Macrophages	local	19	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	19	1.0
ResKCs	Macrophages	local	19	0.4
Mono	Mono+mono derived cells	local	19	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	19	0.6666666666666666
cDC1s	cDC1s	local	19	0.8
cDC2s	cDC2s	local	19	0.5
Mig cDCs	Mig.cDCs	local	19	0.6
Mac1	Macrophages	local	20	0.875
immature LAMs	Macrophages	local	20	0.8
mature LAMs	Macrophages	local	20	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	20	1.0
ResKCs	Macrophages	local	20	0.4
Mono	Mono+mono derived cells	local	20	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	20	0.7777777777777778
cDC1s	cDC1s	local	20	0.8
cDC2s	cDC2s	local	20	0.5
Mig cDCs	Mig.cDCs	local	20	0.7
Mac1	Macrophages	local	21	0.875
immature LAMs	Macrophages	local	21	0.8
mature LAMs	Macrophages	local	21	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	21	1.0
ResKCs	Macrophages	local	21	0.4
Mono	Mono+mono derived cells	local	21	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	21	0.7777777777777778
cDC1s	cDC1s	local	21	0.8
cDC2s	cDC2s	local	21	0.5
Mig cDCs	Mig.cDCs	local	21	0.6
Mac1	Macrophages	local	22	0.875
immature LAMs	Macrophages	local	22	0.8
mature LAMs	Macrophages	local	22	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	22	1.0
ResKCs	Macrophages	local	22	0.4
Mono	Mono+mono derived cells	local	22	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	22	0.6666666666666666
