local_label	global_label	context	replicate	recovery_top100
Mono	Mono+mono derived cells	global	8	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	8	0.0
cDC1s	cDC1s	global	8	0.3
cDC2s	cDC2s	global	8	0.0
Mig cDCs	Mig.cDCs	global	8	0.5
Mac1	Macrophages	global	9	0.25
immature LAMs	Macrophages	global	9	0.1
mature LAMs	Macrophages	global	9	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	9	0.375
ResKCs	Macrophages	global	9	0.2
Mono	Mono+mono derived cells	global	9	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	9	0.0
cDC1s	cDC1s	global	9	0.3
cDC2s	cDC2s	global	9	0.0
Mig cDCs	Mig.cDCs	global	9	0.5
Mac1	Macrophages	global	10	0.125
immature LAMs	Macrophages	global	10	0.1
mature LAMs	Macrophages	global	10	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	10	0.25
ResKCs	Macrophages	global	10	0.2
Mono	Mono+mono derived cells	global	10	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	10	0.0
cDC1s	cDC1s	global	10	0.3
cDC2s	cDC2s	global	10	0.0
Mig cDCs	Mig.cDCs	global	10	0.5
Mac1	Macrophages	global	11	0.25
immature LAMs	Macrophages	global	11	0.1
mature LAMs	Macrophages	global	11	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	11	0.375
ResKCs	Macrophages	global	11	0.2
Mono	Mono+mono derived cells	global	11	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	11	0.0
cDC1s	cDC1s	global	11	0.3
cDC2s	cDC2s	global	11	0.0
Mig cDCs	Mig.cDCs	global	11	0.5
Mac1	Macrophages	global	12	0.25
immature LAMs	Macrophages	global	12	0.1
mature LAMs	Macrophages	global	12	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	12	0.375
ResKCs	Macrophages	global	12	0.2
Mono	Mono+mono derived cells	global	12	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	12	0.0
cDC1s	cDC1s	global	12	0.3
cDC2s	cDC2s	global	12	0.0
Mig cDCs	Mig.cDCs	global	12	0.5
Mac1	Macrophages	global	13	0.25
immature LAMs	Macrophages	global	13	0.1
mature LAMs	Macrophages	global	13	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	13	0.375
ResKCs	Macrophages	global	13	0.2
Mono	Mono+mono derived cells	global	13	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	13	0.0
cDC1s	cDC1s	global	13	0.3
cDC2s	cDC2s	global	13	0.0
Mig cDCs	Mig.cDCs	global	13	0.4
Mac1	Macrophages	global	14	0.25
immature LAMs	Macrophages	global	14	0.1
mature LAMs	Macrophages	global	14	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	14	0.375
ResKCs	Macrophages	global	14	0.2
Mono	Mono+mono derived cells	global	14	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	14	0.0
cDC1s	cDC1s	global	14	0.3
cDC2s	cDC2s	global	14	0.0
Mig cDCs	Mig.cDCs	global	14	0.5
Mac1	Macrophages	global	15	0.125
immature LAMs	Macrophages	global	15	0.1
mature LAMs	Macrophages	global	15	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	15	0.25
ResKCs	Macrophages	global	15	0.2
Mono	Mono+mono derived cells	global	15	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	15	0.0
cDC1s	cDC1s	global	15	0.3
cDC2s	cDC2s	global	15	0.0
Mig cDCs	Mig.cDCs	global	15	0.5
Mac1	Macrophages	global	16	0.25
immature LAMs	Macrophages	global	16	0.1
mature LAMs	Macrophages	global	16	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	16	0.375
ResKCs	Macrophages	global	16	0.2
Mono	Mono+mono derived cells	global	16	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	16	0.0
cDC1s	cDC1s	global	16	0.3
cDC2s	cDC2s	global	16	0.0
Mig cDCs	Mig.cDCs	global	16	0.5
Mac1	Macrophages	global	17	0.25
immature LAMs	Macrophages	global	17	0.1
mature LAMs	Macrophages	global	17	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	17	0.375
ResKCs	Macrophages	global	17	0.2
Mono	Mono+mono derived cells	global	17	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	17	0.0
cDC1s	cDC1s	global	17	0.3
cDC2s	cDC2s	global	17	0.0
Mig cDCs	Mig.cDCs	global	17	0.5
Mac1	Macrophages	global	18	0.25
immature LAMs	Macrophages	global	18	0.1
mature LAMs	Macrophages	global	18	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	18	0.375
ResKCs	Macrophages	global	18	0.2
Mono	Mono+mono derived cells	global	18	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	18	0.0
cDC1s	cDC1s	global	18	0.3
cDC2s	cDC2s	global	18	0.0
Mig cDCs	Mig.cDCs	global	18	0.4
Mac1	Macrophages	global	19	0.25
immature LAMs	Macrophages	global	19	0.1
mature LAMs	Macrophages	global	19	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	19	0.375
ResKCs	Macrophages	global	19	0.2
Mono	Mono+mono derived cells	global	19	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	19	0.0
cDC1s	cDC1s	global	19	0.3
cDC2s	cDC2s	global	19	0.0
Mig cDCs	Mig.cDCs	global	19	0.5
Mac1	Macrophages	global	20	0.25
immature LAMs	Macrophages	global	20	0.1
mature LAMs	Macrophages	global	20	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	20	0.375
ResKCs	Macrophages	global	20	0.2
Mono	Mono+mono derived cells	global	20	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	20	0.0
cDC1s	cDC1s	global	20	0.3
cDC2s	cDC2s	global	20	0.0
Mig cDCs	Mig.cDCs	global	20	0.4
Mac1	Macrophages	global	21	0.125
immature LAMs	Macrophages	global	21	0.1
mature LAMs	Macrophages	global	21	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	21	0.25
ResKCs	Macrophages	global	21	0.2
Mono	Mono+mono derived cells	global	21	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	21	0.0
cDC1s	cDC1s	global	21	0.3
cDC2s	cDC2s	global	21	0.0
Mig cDCs	Mig.cDCs	global	21	0.4
Mac1	Macrophages	global	22	0.25
immature LAMs	Macrophages	global	22	0.1
mature LAMs	Macrophages	global	22	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	22	0.375
ResKCs	Macrophages	global	22	0.2
Mono	Mono+mono derived cells	global	22	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	22	0.0
cDC1s	cDC1s	global	22	0.3
cDC2s	cDC2s	global	22	0.0
Mig cDCs	Mig.cDCs	global	22	0.4
Mac1	Macrophages	global	23	0.25
immature LAMs	Macrophages	global	23	0.1
mature LAMs	Macrophages	global	23	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	23	0.375
ResKCs	Macrophages	global	23	0.2
Mono	Mono+mono derived cells	global	23	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	23	0.0
cDC1s	cDC1s	global	23	0.3
cDC2s	cDC2s	global	23	0.0
Mig cDCs	Mig.cDCs	global	23	0.5
Mac1	Macrophages	global	24	0.125
immature LAMs	Macrophages	global	24	0.1
mature LAMs	Macrophages	global	24	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	24	0.25
ResKCs	Macrophages	global	24	0.2
Mono	Mono+mono derived cells	global	24	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	24	0.0
cDC1s	cDC1s	global	24	0.3
cDC2s	cDC2s	global	24	0.0
Mig cDCs	Mig.cDCs	global	24	0.5
Mac1	Macrophages	global	25	0.25
immature LAMs	Macrophages	global	25	0.1
mature LAMs	Macrophages	global	25	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	25	0.375
ResKCs	Macrophages	global	25	0.2
Mono	Mono+mono derived cells	global	25	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	25	0.0
cDC1s	cDC1s	global	25	0.3
cDC2s	cDC2s	global	25	0.0
Mig cDCs	Mig.cDCs	global	25	0.5
Mac1	Macrophages	global	26	0.125
immature LAMs	Macrophages	global	26	0.1
mature LAMs	Macrophages	global	26	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	26	0.25
ResKCs	Macrophages	global	26	0.2
Mono	Mono+mono derived cells	global	26	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	26	0.0
cDC1s	cDC1s	global	26	0.3
cDC2s	cDC2s	global	26	0.0
Mig cDCs	Mig.cDCs	global	26	0.4
Mac1	Macrophages	global	27	0.25
immature LAMs	Macrophages	global	27	0.1
mature LAMs	Macrophages	global	27	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	27	0.375
ResKCs	Macrophages	global	27	0.2
Mono	Mono+mono derived cells	global	27	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	27	0.0
cDC1s	cDC1s	global	27	0.3
cDC2s	cDC2s	global	27	0.0
Mig cDCs	Mig.cDCs	global	27	0.5
Mac1	Macrophages	global	28	0.125
immature LAMs	Macrophages	global	28	0.1
mature LAMs	Macrophages	global	28	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	28	0.25
ResKCs	Macrophages	global	28	0.2
Mono	Mono+mono derived cells	global	28	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	28	0.0
cDC1s	cDC1s	global	28	0.3
cDC2s	cDC2s	global	28	0.0
Mig cDCs	Mig.cDCs	global	28	0.5
Mac1	Macrophages	global	29	0.25
immature LAMs	Macrophages	global	29	0.1
mature LAMs	Macrophages	global	29	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	29	0.375
ResKCs	Macrophages	global	29	0.2
Mono	Mono+mono derived cells	global	29	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	29	0.0
cDC1s	cDC1s	global	29	0.3
cDC2s	cDC2s	global	29	0.0
Mig cDCs	Mig.cDCs	global	29	0.4
Mac1	Macrophages	global	30	0.125
immature LAMs	Macrophages	global	30	0.1
mature LAMs	Macrophages	global	30	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	30	0.25
ResKCs	Macrophages	global	30	0.2
Mono	Mono+mono derived cells	global	30	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	30	0.0
cDC1s	cDC1s	global	30	0.3
cDC2s	cDC2s	global	30	0.0
Mig cDCs	Mig.cDCs	global	30	0.5
Mac1	Macrophages	global	31	0.25
immature LAMs	Macrophages	global	31	0.1
mature LAMs	Macrophages	global	31	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	31	0.375
ResKCs	Macrophages	global	31	0.2
Mono	Mono+mono derived cells	global	31	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	31	0.0
cDC1s	cDC1s	global	31	0.3
cDC2s	cDC2s	global	31	0.0
Mig cDCs	Mig.cDCs	global	31	0.5
Mac1	Macrophages	global	32	0.25
immature LAMs	Macrophages	global	32	0.1
mature LAMs	Macrophages	global	32	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	32	0.375
ResKCs	Macrophages	global	32	0.2
Mono	Mono+mono derived cells	global	32	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	32	0.0
cDC1s	cDC1s	global	32	0.3
cDC2s	cDC2s	global	32	0.0
Mig cDCs	Mig.cDCs	global	32	0.5
Mac1	Macrophages	global	33	0.125
immature LAMs	Macrophages	global	33	0.1
mature LAMs	Macrophages	global	33	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	33	0.25
ResKCs	Macrophages	global	33	0.2
Mono	Mono+mono derived cells	global	33	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	33	0.0
cDC1s	cDC1s	global	33	0.3
cDC2s	cDC2s	global	33	0.0
Mig cDCs	Mig.cDCs	global	33	0.5
Mac1	Macrophages	global	34	0.125
immature LAMs	Macrophages	global	34	0.1
mature LAMs	Macrophages	global	34	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	34	0.25
ResKCs	Macrophages	global	34	0.2
Mono	Mono+mono derived cells	global	34	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	34	0.0
cDC1s	cDC1s	global	34	0.3
cDC2s	cDC2s	global	34	0.0
Mig cDCs	Mig.cDCs	global	34	0.4
Mac1	Macrophages	global	35	0.25
immature LAMs	Macrophages	global	35	0.1
mature LAMs	Macrophages	global	35	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	35	0.375
ResKCs	Macrophages	global	35	0.2
Mono	Mono+mono derived cells	global	35	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	35	0.0
cDC1s	cDC1s	global	35	0.3
cDC2s	cDC2s	global	35	0.0
Mig cDCs	Mig.cDCs	global	35	0.5
Mac1	Macrophages	global	36	0.25
immature LAMs	Macrophages	global	36	0.1
mature LAMs	Macrophages	global	36	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	36	0.375
ResKCs	Macrophages	global	36	0.2
Mono	Mono+mono derived cells	global	36	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	36	0.0
cDC1s	cDC1s	global	36	0.3
cDC2s	cDC2s	global	36	0.0
Mig cDCs	Mig.cDCs	global	36	0.5
Mac1	Macrophages	global	37	0.125
immature LAMs	Macrophages	global	37	0.1
mature LAMs	Macrophages	global	37	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	37	0.25
ResKCs	Macrophages	global	37	0.2
Mono	Mono+mono derived cells	global	37	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	37	0.0
cDC1s	cDC1s	global	37	0.3
cDC2s	cDC2s	global	37	0.0
Mig cDCs	Mig.cDCs	global	37	0.4
Mac1	Macrophages	global	38	0.25
immature LAMs	Macrophages	global	38	0.1
mature LAMs	Macrophages	global	38	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	38	0.375
ResKCs	Macrophages	global	38	0.2
Mono	Mono+mono derived cells	global	38	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	38	0.0
cDC1s	cDC1s	global	38	0.3
cDC2s	cDC2s	global	38	0.0
Mig cDCs	Mig.cDCs	global	38	0.5
Mac1	Macrophages	global	39	0.125
immature LAMs	Macrophages	global	39	0.1
mature LAMs	Macrophages	global	39	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	39	0.25
ResKCs	Macrophages	global	39	0.2
Mono	Mono+mono derived cells	global	39	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	39	0.0
cDC1s	cDC1s	global	39	0.3
cDC2s	cDC2s	global	39	0.0
Mig cDCs	Mig.cDCs	global	39	0.5
Mac1	Macrophages	global	40	0.125
immature LAMs	Macrophages	global	40	0.1
mature LAMs	Macrophages	global	40	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	40	0.25
ResKCs	Macrophages	global	40	0.2
Mono	Mono+mono derived cells	global	40	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	40	0.0
cDC1s	cDC1s	global	40	0.3
cDC2s	cDC2s	global	40	0.0
Mig cDCs	Mig.cDCs	global	40	0.5
Mac1	Macrophages	global	41	0.25
immature LAMs	Macrophages	global	41	0.1
mature LAMs	Macrophages	global	41	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	41	0.375
ResKCs	Macrophages	global	41	0.2
Mono	Mono+mono derived cells	global	41	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	41	0.0
cDC1s	cDC1s	global	41	0.3
cDC2s	cDC2s	global	41	0.0
Mig cDCs	Mig.cDCs	global	41	0.5
Mac1	Macrophages	global	42	0.125
immature LAMs	Macrophages	global	42	0.1
mature LAMs	Macrophages	global	42	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	42	0.25
ResKCs	Macrophages	global	42	0.2
Mono	Mono+mono derived cells	global	42	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	42	0.0
cDC1s	cDC1s	global	42	0.3
cDC2s	cDC2s	global	42	0.0
Mig cDCs	Mig.cDCs	global	42	0.5
Mac1	Macrophages	global	43	0.125
immature LAMs	Macrophages	global	43	0.1
mature LAMs	Macrophages	global	43	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	43	0.25
ResKCs	Macrophages	global	43	0.2
Mono	Mono+mono derived cells	global	43	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	43	0.0
cDC1s	cDC1s	global	43	0.3
cDC2s	cDC2s	global	43	0.0
Mig cDCs	Mig.cDCs	global	43	0.5
Mac1	Macrophages	global	44	0.125
immature LAMs	Macrophages	global	44	0.1
mature LAMs	Macrophages	global	44	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	44	0.25
ResKCs	Macrophages	global	44	0.2
Mono	Mono+mono derived cells	global	44	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	44	0.0
cDC1s	cDC1s	global	44	0.3
cDC2s	cDC2s	global	44	0.0
Mig cDCs	Mig.cDCs	global	44	0.4
Mac1	Macrophages	global	45	0.25
immature LAMs	Macrophages	global	45	0.1
mature LAMs	Macrophages	global	45	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	45	0.375
ResKCs	Macrophages	global	45	0.2
Mono	Mono+mono derived cells	global	45	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	45	0.0
cDC1s	cDC1s	global	45	0.3
cDC2s	cDC2s	global	45	0.0
Mig cDCs	Mig.cDCs	global	45	0.5
Mac1	Macrophages	global	46	0.125
immature LAMs	Macrophages	global	46	0.1
mature LAMs	Macrophages	global	46	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	46	0.25
ResKCs	Macrophages	global	46	0.2
Mono	Mono+mono derived cells	global	46	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	46	0.0
cDC1s	cDC1s	global	46	0.3
cDC2s	cDC2s	global	46	0.0
Mig cDCs	Mig.cDCs	global	46	0.5
Mac1	Macrophages	global	47	0.25
immature LAMs	Macrophages	global	47	0.1
mature LAMs	Macrophages	global	47	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	47	0.375
ResKCs	Macrophages	global	47	0.2
Mono	Mono+mono derived cells	global	47	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	47	0.0
cDC1s	cDC1s	global	47	0.3
cDC2s	cDC2s	global	47	0.0
Mig cDCs	Mig.cDCs	global	47	0.4
Mac1	Macrophages	global	48	0.25
immature LAMs	Macrophages	global	48	0.1
mature LAMs	Macrophages	global	48	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	48	0.375
ResKCs	Macrophages	global	48	0.2
Mono	Mono+mono derived cells	global	48	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	48	0.0
cDC1s	cDC1s	global	48	0.3
cDC2s	cDC2s	global	48	0.0
Mig cDCs	Mig.cDCs	global	48	0.5
Mac1	Macrophages	global	49	0.25
immature LAMs	Macrophages	global	49	0.1
mature LAMs	Macrophages	global	49	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	global	49	0.375
ResKCs	Macrophages	global	49	0.2
Mono	Mono+mono derived cells	global	49	0.1111111111111111
Pat Mono	Mono+mono derived cells	global	49	0.0
cDC1s	cDC1s	global	49	0.3
cDC2s	cDC2s	global	49	0.0
Mig cDCs	Mig.cDCs	global	49	0.5
