resource	example_category	label_relation	marker_relation	marker_jaccard	shared_markers	union_markers	shared_marker_names	study_a	labelset_a	cell_type_a	marker_names_a	study_b	labelset_b	cell_type_b	marker_names_b
CAP	different_label_partial_markers	Different	Partial	0.6	3	5	CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Abdominal Subcutaneous WAT	lvl3_cell_types	Mucosal-associated invariant T cells	KLRB1; SLC4A10; CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Abdominal Visceral WAT	lvl3_cell_types	CD8⁺ T cells	CD8A; CD3D; CD3E
CAP	different_label_partial_markers	Different	Partial	0.6	3	5	CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Abdominal Subcutaneous WAT	lvl3_cell_types	Mucosal-associated invariant T cells	KLRB1; SLC4A10; CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — All cells	lvl3_cell_types	CD8⁺ T cells	CD8A; CD3D; CD3E
CAP	different_label_partial_markers	Different	Partial	0.6	3	5	CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Lymphoid cells	lvl3_cell_types	Mucosal-associated invariant T cells	KLRB1; SLC4A10; CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Cervical Subcutaneous WAT	lvl3_cell_types	CD8⁺ T cells	CD8A; CD3D; CD3E
CAP	different_label_partial_markers	Different	Partial	0.6	3	5	CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Lymphoid cells	lvl3_cell_types	Mucosal-associated invariant T cells	KLRB1; SLC4A10; CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Abdominal Visceral WAT	lvl3_cell_types	CD8⁺ T cells	CD8A; CD3D; CD3E
CAP	different_label_partial_markers	Different	Partial	0.6	3	5	CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — Lymphoid cells	lvl3_cell_types	Mucosal-associated invariant T cells	KLRB1; SLC4A10; CD8A; CD3D; CD3E	Human Adipose Tissue Atlas v1.0 — All cells	lvl3_cell_types	CD8⁺ T cells	CD8A; CD3D; CD3E
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	CD79A; MS4A1; CD19	hca:0049_10.1038_s41586-023-06252-9_3d2f22d6e6		B CELLS	CD79A; MS4A1; CD19	hca:0342_10.18632_aging.203124_280d72e18e		B CELL	CD79A; MS4A1; CD19
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	CD79B; CD79A; MS4A1	hca:0076_10.1016_j.cell.2021.01.053_e0734afb82		B CELLS	CD79B; CD79A; MS4A1	hca:0100_10.1038_s41467-021-22804-x_e7667133b9		B CELL	CD79B; CD79A; MS4A1
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	CD79B; CD79A; MS4A1	hca:0076_10.1016_j.cell.2021.01.053_e0734afb82		B CELLS	CD79B; CD79A; MS4A1	hca:0184_10.1016_j.cell.2021.07.023_f621bea088		B CELL	CD79B; CD79A; MS4A1
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	CD79A; MS4A1; CD19	biorxiv:8f45ef4c-6d70-1014-815c-a556cc0c38ce		B-CELL	CD79A; MS4A1; CD19	hca:0049_10.1038_s41586-023-06252-9_3d2f22d6e6		B CELLS	CD79A; MS4A1; CD19
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	CD79B; CD79A; MS4A1	biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6		B-CELL	CD79B; CD79A; MS4A1	hca:0076_10.1016_j.cell.2021.01.053_e0734afb82		B CELLS	CD79B; CD79A; MS4A1
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	KRT18; EPCAM; KRT8	hca:0032_10.15252_msb.20209682_ea064ade0e		CARCINOMA CELL	KRT18; EPCAM; KRT8	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		EPITHELIAL	KRT18; EPCAM; KRT8
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	KRT18; EPCAM; KRT8	hca:0032_10.15252_msb.20209682_ea064ade0e		CARCINOMA CELL	KRT18; EPCAM; KRT8	hca:0068_10.1093_ibd_izac201_351dddd961		EPITHELIAL CELL	KRT18; EPCAM; KRT8
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	KRT18; EPCAM; KRT8	hca:0032_10.15252_msb.20209682_ea064ade0e		CARCINOMA CELL	KRT18; EPCAM; KRT8	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		EPITHELIAL CELL	KRT18; EPCAM; KRT8
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	FCN1; S100A4; S100A6	hca:0109_10.7554_elife.91792.1_056dda27be		CD.MONO.FCN1.S100A4	FCN1; S100A4; S100A6	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		MONOCYTE	FCN1; S100A4; S100A6
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_1	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_3	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD8_4	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_1	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_3	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD8_4	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	S100A8; S100A9; S100A12	hca:0113_10.1101_2021.04.28.441762_c83625bbe4		CLASSICAL	S100A8; S100A9; S100A12	hca:0460_10.1016_j.cell.2021.08.003_652ffcecb6		MACROPHAGE	S100A8; S100A9; S100A12
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	S100A8; S100A9; S100A12	hca:0113_10.1101_2021.04.28.441762_c83625bbe4		CLASSICAL	S100A8; S100A9; S100A12	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19		MDSC	S100A8; S100A9; S100A12
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	HBA2; HBA1; HBB	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4		CLUSTER 10	HBA2; HBA1; HBB	hca:0307_10.1038_s41419-021-03724-6_32b837a8da		ERYTHROCYTE	HBA2; HBA1; HBB
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	HBA2; HBA1; HBB	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4		CLUSTER 10	HBA2; HBA1; HBB	hca:0418_10.1038_s42003-020-0922-4_8904851286		ERYTHROCYTE	HBA2; HBA1; HBB
LLMarkers	different_label_exact_markers	Different	Exact	1.0	3	3	HBA2; HBA1; HBB	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4		CLUSTER 10	HBA2; HBA1; HBB	hca:0207_10.1016_j.immuni.2020.11.017_b182001861		ERYTHROID CELL	HBA2; HBA1; HBB
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	IFNG; CCL3; CCL4	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668		ACTIVATED	IFNG; CCL3; CCL4	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		ACTIVATED TRM/TEM CLUSTER	IFNG; CCL3; CCL4
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	GFAP; S100B; AQP4	biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc		ASTROCYTE MARKER	GFAP; S100B; AQP4	hca:0352_10.1038_nature25980_27cde67bed		ASTROCYTE	GFAP; S100B; AQP4
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TP63; KRT5; KRT14	hca:0001_10.1016_j.celrep.2018.11.086_7aff07407b		BASAL	TP63; KRT5; KRT14	hca:0211_10.1016_j.cels.2022.06.005_7669df70b6		BASAL/MYOEPITHELIAL	TP63; KRT5; KRT14
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TP63; KRT5; KRT14	hca:0164_10.1177_00220345221147908_13bf485ac8		BASAL	TP63; KRT5; KRT14	hca:0211_10.1016_j.cels.2022.06.005_7669df70b6		BASAL/MYOEPITHELIAL	TP63; KRT5; KRT14
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	COL17A1; KRT5; KRT14	biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8		BASAL CELL	COL17A1; KRT5; KRT14	hca:0118_10.1016_j.jid.2019.07.726_f70095db05		BASAL IFE	COL17A1; KRT5; KRT14
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TNC; FAM107A; HOPX	hca:0107_10.1101_2022.10.24.513487_4d505f4f68		BASAL RADIAL GLIA	TNC; FAM107A; HOPX	hca:0352_10.1038_nature25980_27cde67bed		OUTER RADIAL GLIA	TNC; FAM107A; HOPX
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	BEST4; OTOP2; SPIB	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e		BEST4	BEST4; OTOP2; SPIB	hca:0068_10.1093_ibd_izac201_351dddd961		BEST4+ ENTEROCYTE CELL	BEST4; OTOP2; SPIB
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL	hca:0426_10.1038_s41467-019-12464-3_0f8440336d		NAIVE OR TCM CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_1	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_1	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_1	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_3	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_3	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD4_3	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD8_4	TCF7; CCR7; SELL	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6		CD4 + NAÏVE	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD8_4	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea		CD8_4	TCF7; CCR7; SELL	hca:0354_10.1172_jci128475_002a5124c6		CD8+ T CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	TCF7; CCR7; SELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		CENTRAL MEMORY T CELL	TCF7; CCR7; SELL	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		CD4+ MEMORY CELL	TCF7; CCR7; SELL
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	KRT18; EPCAM; KRT8	hca:0068_10.1093_ibd_izac201_351dddd961		EPITHELIAL CELL	KRT18; EPCAM; KRT8	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		EPITHELIAL	KRT18; EPCAM; KRT8
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	KRT18; EPCAM; KRT8	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		EPITHELIAL CELL	KRT18; EPCAM; KRT8	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		EPITHELIAL	KRT18; EPCAM; KRT8
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	3	3	COL1A1; COL1A2; COL3A1	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4		FIBROBLAST (COL1A1)	COL1A1; COL1A2; COL3A1	biorxiv:eda68d46-7b76-1014-b9f8-bf62f9afae8d		FIBROBLAST CLUSTERS	COL1A1; COL1A2; COL3A1
LLMarkers	partial_label_exact_markers	Partial	Exact	1.0	5	5	CLCA1; SPDEF; ZG16; MUC2; FCGBP	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36		GOBLET CELL	CLCA1; SPDEF; ZG16; MUC2; FCGBP	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		GOBLET	CLCA1; SPDEF; ZG16; MUC2; FCGBP
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	9		biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		ACINAR CELL	CPA1; CELA3A; CTRB2	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb		ACINAR CELL	CELA2A; RPS3A; RPL13; MT-CO2; MT-CO1; AMY2B
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	8		biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		ACINAR CELL	CPA1; CELA3A; CTRB2	hca:0164_10.1177_00220345221147908_13bf485ac8		ACINAR CELL	MUC5B; STATH; PIP; TFF3; LPO
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	7		biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		ACINAR CELL	CPA1; CELA3A; CTRB2	hca:0317_10.1016_j.celrep.2019.02.043_aed04e8aae		ACINAR CELL	REG1A; REG3A; REG1B; PRSS1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	8		biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		ACINAR CELL	CPA1; CELA3A; CTRB2	hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3		ACINAR CELL	RBPJL; AMY; CELA2A; PTF1A; CEL
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	11		biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb		ACINAR CELL	CELA2A; RPS3A; RPL13; MT-CO2; MT-CO1; AMY2B	hca:0164_10.1177_00220345221147908_13bf485ac8		ACINAR CELL	MUC5B; STATH; PIP; TFF3; LPO
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb		ACINAR CELL	CELA2A; RPS3A; RPL13; MT-CO2; MT-CO1; AMY2B	hca:0317_10.1016_j.celrep.2019.02.043_aed04e8aae		ACINAR CELL	REG1A; REG3A; REG1B; PRSS1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb		ACINAR CELL	CELA2A; RPS3A; RPL13; MT-CO2; MT-CO1; AMY2B	hca:0427_10.7150_ijbs.58886_44183be8e8		ACINAR CELL	REG1A; CTRB2; REG3A; PRSS1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	11		biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb		ACINAR CELL	CELA2A; RPS3A; RPL13; MT-CO2; MT-CO1; AMY2B	hca:0433_10.15252_embr.201540946_1830154973		ACINAR CELL	REG1A; CTRB2; REG3A; REG1B; PRSS2
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	9		hca:0164_10.1177_00220345221147908_13bf485ac8		ACINAR CELL	MUC5B; STATH; PIP; TFF3; LPO	hca:0317_10.1016_j.celrep.2019.02.043_aed04e8aae		ACINAR CELL	REG1A; REG3A; REG1B; PRSS1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		hca:0164_10.1177_00220345221147908_13bf485ac8		ACINAR CELL	MUC5B; STATH; PIP; TFF3; LPO	hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3		ACINAR CELL	RBPJL; AMY; CELA2A; PTF1A; CEL
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	9		hca:0164_10.1177_00220345221147908_13bf485ac8		ACINAR CELL	MUC5B; STATH; PIP; TFF3; LPO	hca:0427_10.7150_ijbs.58886_44183be8e8		ACINAR CELL	REG1A; CTRB2; REG3A; PRSS1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		hca:0164_10.1177_00220345221147908_13bf485ac8		ACINAR CELL	MUC5B; STATH; PIP; TFF3; LPO	hca:0433_10.15252_embr.201540946_1830154973		ACINAR CELL	REG1A; CTRB2; REG3A; REG1B; PRSS2
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	9		hca:0317_10.1016_j.celrep.2019.02.043_aed04e8aae		ACINAR CELL	REG1A; REG3A; REG1B; PRSS1	hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3		ACINAR CELL	RBPJL; AMY; CELA2A; PTF1A; CEL
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	9		hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3		ACINAR CELL	RBPJL; AMY; CELA2A; PTF1A; CEL	hca:0427_10.7150_ijbs.58886_44183be8e8		ACINAR CELL	REG1A; CTRB2; REG3A; PRSS1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3		ACINAR CELL	RBPJL; AMY; CELA2A; PTF1A; CEL	hca:0433_10.15252_embr.201540946_1830154973		ACINAR CELL	REG1A; CTRB2; REG3A; REG1B; PRSS2
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	8		biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54		ACTIVATED NK CELL	CD83; IFI6; LY6E; IFI27	biorxiv:a9b298c9-7797-1014-9b95-8bbbe23c746a		ACTIVATED NK CELL	CD69; IFNG; GPR183; KIR2DL4
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	7		hca:0089_10.1038_s41586-020-2797-4_6e65d21b5d		ADIPOCYTE	GPAM; FASN; LEP; ADIPOQ	hca:0243_10.1038_s41586-023-05915-x_2f4aafa6a2		ADIPOCYTE	PPARG; PLIN1; LPL
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	8		biorxiv:2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9		ALVEOLAR	LPCAT1; SLC34A2; ABCA3; HOPX; EMP2	hca:0340_10.1038_s41467-020-16164-1_15fae00c00		ALVEOLAR	MARCO; FABP4; MCEMP1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	8		hca:0019_10.1126_science.aba7721_1646acb14b		ANTIGEN-PRESENTING MACROPHAGE	AHR; HLA-DQA1; HLA-DPB1	hca:0089_10.1038_s41586-020-2797-4_6e65d21b5d		ANTIGEN-PRESENTING MACROPHAGE	TREM2; HLA-DPA1; HLA-DMA; HLA-DRA; HLA-DMB
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	16		biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8		ASC	CD38; PRDM1; SDC1; IRF4; CD27; XBP1	hca:0127_10.1016_j.cell.2021.11.031_38bd899f1b		ASC	TCF7; OLFM4; RNF43; EPHB2; MYC; LGR5; CDX2; AXIN2; ASCL2; TEAD1
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		biorxiv:c6b2e62c-6bf8-1014-b389-a9824584e0b5		ASTROCYTE	PAX2; SPARC; CLU; GFAP; SPARCL1; TTYH1	hca:0439_10.1038_s41586-019-1404-z_d7516e129c		ASTROCYTE	CD44; SLC1A2; RFX4; EDNRB
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	7		hca:0352_10.1038_nature25980_27cde67bed		ASTROCYTE	GFAP; S100B; AQP4	hca:0439_10.1038_s41586-019-1404-z_d7516e129c		ASTROCYTE	CD44; SLC1A2; RFX4; EDNRB
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	12		hca:0421_10.1101_2022.02.14.480397_c10e165496		ASTROCYTE	MT3; MT1G; GFAP; SLC14A1; AQP4; AGT; MT1F; RYR3	hca:0439_10.1038_s41586-019-1404-z_d7516e129c		ASTROCYTE	CD44; SLC1A2; RFX4; EDNRB
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	10		hca:0423_10.1038_s41467-019-12780-8_0da964452a		ASTROCYTE	CLU; APOE; GFAP; GLUL; SPARCL1; FOS	hca:0439_10.1038_s41586-019-1404-z_d7516e129c		ASTROCYTE	CD44; SLC1A2; RFX4; EDNRB
LLMarkers	same_label_different_markers	Exact	Different	0.0	0	9		hca:0439_10.1038_s41586-019-1404-z_d7516e129c		ASTROCYTE	CD44; SLC1A2; RFX4; EDNRB	hca:0500_10.1073_pnas.2306153120_5c49b25904		ASTROCYTE	PAX8; GFAP; ALDH1L1; LINC00299; JAKMIP2-AS1
LLMarkers	same_label_partial_markers	Exact	Partial	0.8888888888888888	8	9	MYLK; ITGA8; NEBL; ACTA2; PDGFRB; MYO10; MYO1D; RYR2	hca:0358_10.1126_sciadv.aba1983_17b603cdcb		MYOFIBROBLAST	MYLK; ITGA8; NEBL; ACTA2; PDGFRB; MYO10; MYO1D; RYR2	hca:0359_10.1101_759902_400af2c5fc		MYOFIBROBLAST	MYLK; ITGA8; NEBL; ACTA2; PDGFRB; COL8A1; MYO10; MYO1D; RYR2
LLMarkers	same_label_partial_markers	Exact	Partial	0.8823529411764706	15	17	VIM; TNC; COL1A1; CCND1; FN1; CCND2; CDKN1A; SOX9; GDF15; EPHB2; MDM2; MMP7; CDKN2A; HMGA2; CDH2	hca:0358_10.1126_sciadv.aba1983_17b603cdcb		ABERRANT BASALOID CELL	VIM; TNC; COL1A1; CCND1; FN1; CCND2; CDKN1A; SOX9; GDF15; EPHB2; MDM2; MMP7; +4 more	hca:0359_10.1101_759902_400af2c5fc		ABERRANT BASALOID CELL	VIM; TNC; COL1A1; CCND1; FN1; CCND2; CDKN1A; SOX9; GDF15; EPHB2; MDM2; MMP7; +4 more
LLMarkers	same_label_partial_markers	Exact	Partial	0.8	4	5	PRDM1; TRAF5; FCRL5; TLR7	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54		DN2 CELL	PRDM1; TBX21; TRAF5; FCRL5; TLR7	hca:0134_10.3389_fimmu.2021.636720_9a958ecc4e		DN2 CELL	PRDM1; TRAF5; FCRL5; TLR7
LLMarkers	same_label_partial_markers	Exact	Partial	0.8	4	5	GZMB; GNLY; KLRD1; PRF1	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2		NK	GZMB; GNLY; KLRD1; PRF1	hca:0124_10.1126_science.aba6500_a77c502bf7		NK	GZMB; GNLY; KLRD1; PRF1; FCGR3A
