study	n_reported	n_in_deg	fraction_in_deg
Emont	346	137	0.3959537572254335
Hildreth	234	221	0.9444444444444444
He	370	65	0.17567567567567569
Gautam	251	129	0.5139442231075697
Adams	135	131	0.9703703703703703
Wagner	58	46	0.7931034482758621
Shamis	171	140	0.8187134502923976
All	1565	869	0.5552715654952076
