label_relation	marker_relation	pairs	fraction	percent
Exact	Exact	2	2.6310700430311504e-06	0.00026310700430311505
Exact	Partial	208	0.0002736312844752397	0.027363128447523966
Exact	None	97	0.0001276068970870108	0.01276068970870108
Partial	Exact	0	0.0	0.0
Partial	Partial	2998	0.003943973994503695	0.39439739945036945
Partial	None	6711	0.008828555529391026	0.8828555529391026
Different	Exact	0	0.0	0.0
Different	Partial	13598	0.01788864522256879	1.7888645222568793
Different	None	736533	0.9689349560019312	96.89349560019312
