dataset	study	truth_pairs	truth_triples	gen_precision	gen_recall	gen_pair_f1	best_n	sel_precision	sel_recall	sel_pair_f1	sel_bound_f1	ext_precision	ext_recall	ext_pair_f1	ext_data_precision	ext_data_recall	ext_data_f1	joint_pair_precision	joint_pair_recall	joint_pair_f1	joint_triple_precision	joint_triple_recall	joint_triple_f1
adipose_Emont2022	Emont	30	30	0.03470031545741325	0.36666666666666664	0.06340057636887607	200	0.026954177897574125	0.3333333333333333	0.04987531172069826	0.7755102040816326	0.7407407407407407	0.6666666666666666	0.7017543859649122	0.6666666666666666	0.6	0.631578947368421	0.7307692307692307	0.6333333333333333	0.6785714285714285	0.6538461538461539	0.5666666666666667	0.6071428571428571
adipose_Hildreth2021	Hildreth	66	66	0.1285140562248996	0.48484848484848486	0.20317460317460312	400	0.13213213213213212	0.6666666666666666	0.22055137844611525	0.9	0.7714285714285715	0.8181818181818182	0.7941176470588236	0.7714285714285715	0.8181818181818182	0.7941176470588236	1.0	0.7121212121212122	0.8318584070796461	1.0	0.7121212121212122	0.8318584070796461
bone_He2021	He	98	102	0.14285714285714285	0.29591836734693877	0.1926910299003322	300	0.12627986348122866	0.37755102040816324	0.18925831202046037	0.6933333333333334	0.775	0.3163265306122449	0.44927536231884063	0.7857142857142857	0.3235294117647059	0.45833333333333326	0.78	0.3979591836734694	0.5270270270270271	0.7272727272727273	0.392156862745098	0.5095541401273885
eye_Gautam2021	Gautam	27	28	0.0411522633744856	0.37037037037037035	0.07407407407407407	20	0.05504587155963303	0.4444444444444444	0.0979591836734694	0.65	0.46808510638297873	0.8148148148148148	0.5945945945945945	0.46808510638297873	0.7857142857142857	0.5866666666666668	0.4848484848484848	0.5925925925925926	0.5333333333333333	0.4848484848484848	0.5714285714285714	0.5245901639344263
lung_Adams2020	Adams	23	23	0.06666666666666667	0.4782608695652174	0.11702127659574467	200	0.02865329512893983	0.43478260869565216	0.05376344086021506	0.7894736842105263	0.48936170212765956	1.0	0.6571428571428571	0.3829787234042553	0.782608695652174	0.5142857142857143	0.5227272727272727	1.0	0.6865671641791045	0.4090909090909091	0.782608695652174	0.537313432835821
ovary_Wagner2020	Wagner	55	37	0.2608695652173913	0.32727272727272727	0.2903225806451613	200	0.17272727272727273	0.34545454545454546	0.2303030303030303	0.6585365853658537	0.8235294117647058	0.509090909090909	0.6292134831460674	0.7352941176470589	0.6756756756756757	0.7042253521126761	0.8064516129032258	0.4545454545454545	0.5813953488372092	0.6470588235294118	0.5945945945945946	0.619718309859155
testis_Shamis2020	Shamis	123	123	0.2013888888888889	0.23577235772357724	0.21722846441947566	300	0.19383259911894274	0.35772357723577236	0.25142857142857145	0.7941176470588235	0.8690476190476191	0.5934959349593496	0.7053140096618359	0.7849462365591398	0.5934959349593496	0.6759259259259259	0.8939393939393939	0.4796747967479675	0.6243386243386244	0.8939393939393939	0.4796747967479675	0.6243386243386244
