local_label	global_label	context	rank	feature_id	feature_name	score	log2fc	pct_in	pct_out
Mac1	Macrophages	local	1	ENSG00000223865	HLA-DPB1	148.9701555942669	0.6637645936232968	0.9995583038869258	0.8519594366781648
Mac1	Macrophages	local	2	ENSG00000231389	HLA-DPA1	144.14352337232128	0.7196918097441038	0.9991166077738516	0.8385507171201079
Mac1	Macrophages	local	3	ENSG00000204287	HLA-DRA	132.77652760925116	0.4588301219686238	1.0	0.9424747776019918
Mac1	Macrophages	local	4	ENSG00000173372	C1QA	130.30310489392315	1.5159958308570944	0.9854240282685512	0.4345773789454574
Mac1	Macrophages	local	5	ENSG00000019582	CD74	125.02346478069329	0.4691015047391413	1.0	0.9374951370697928
Mac1	Macrophages	local	6	ENSG00000196126	HLA-DRB1	113.29999465533847	0.5749071330695443	1.0	0.8883211868143268
Mac1	Macrophages	local	7	ENSG00000173369	C1QB	103.10493867061453	1.6301558785894459	0.9642226148409894	0.3804237881577924
Mac1	Macrophages	local	8	ENSG00000196735	HLA-DQA1	86.68686796236213	0.8733258889707002	0.9907243816254417	0.6842596675052519
Mac1	Macrophages	local	9	ENSG00000233276	GPX1	84.77337053968036	0.3971381364274054	0.9991166077738516	0.9415151593744326
Mac1	Macrophages	local	10	ENSG00000179344	HLA-DQB1	82.428609477183	0.7148581061369216	0.9929328621908127	0.7754493347511476
Mac1	Macrophages	local	11	ENSG00000204257	HLA-DMA	80.93389796176092	0.7689433241336123	0.9836572438162544	0.7237596286018103
Mac1	Macrophages	local	12	ENSG00000159189	C1QC	59.502909849641654	1.9753564980319323	0.7879858657243817	0.2325129029748165
Mac1	Macrophages	local	13	ENSG00000110077	MS4A6A	55.10750179011736	0.6062961538050019	0.976148409893993	0.7395025546593356
Mac1	Macrophages	local	14	ENSG00000155659	VSIG4	53.33557342526441	1.7895984306402477	0.7809187279151943	0.23482117384651296
Mac1	Macrophages	local	15	ENSG00000136156	ITM2B	52.95439695350713	0.36522424754733274	0.9938162544169611	0.9352387374536401
Mac1	Macrophages	local	16	ENSG00000090104	RGS1	47.85449486227061	1.6660500877908906	0.7636925795053003	0.29379879139974585
Mac1	Macrophages	local	17	ENSG00000143226	FCGR2A	47.05632364126472	1.2269164009920681	0.8175795053003534	0.42516274606426846
Mac1	Macrophages	local	18	ENSG00000169413	RNASE6	45.890742269128054	0.9675184698245759	0.8780918727915195	0.5195684311538761
Mac1	Macrophages	local	19	ENSG00000169508	GPR183	42.62458471974048	1.3041149641939298	0.7840106007067138	0.3756775682755401
Mac1	Macrophages	local	20	ENSG00000242574	HLA-DMB	42.40541785268287	0.7705877027151147	0.8842756183745583	0.5803096713955961
Mac1	Macrophages	local	21	ENSG00000051108	HERPUD1	41.83514421440525	0.8501235633309407	0.8798586572438163	0.6111730684441217
Mac1	Macrophages	local	22	ENSG00000135678	CPM	41.196588293442346	1.354795976367877	0.7451413427561837	0.32061623051585963
Mac1	Macrophages	local	23	ENSG00000101439	CST3	39.4478294659074	0.21424434587966043	0.9946996466431095	0.9581917680317452
Mac1	Macrophages	local	24	ENSG00000122406	RPL5	34.87843112889291	0.18827695458802718	0.9946996466431095	0.9629639235417693
Mac1	Macrophages	local	25	ENSG00000132514	CLEC10A	34.67272841145904	1.5915540500479768	0.5980565371024735	0.20432087558679357
Mac1	Macrophages	local	26	ENSG00000171659	GPR34	34.468492357277405	1.8788340532279402	0.5578621908127208	0.16438000881811343
Mac1	Macrophages	local	27	ENSG00000161921	CXCL16	34.16257789894046	0.8279134117795752	0.8003533568904594	0.49713411313120837
Mac1	Macrophages	local	28	ENSG00000177575	CD163	34.01266720841226	0.7170198681458209	0.8586572438162544	0.5378271131052728
Mac1	Macrophages	local	29	ENSG00000085662	AKR1B1	33.134953470958216	1.5068875493001317	0.5954063604240283	0.23336877869128822
Mac1	Macrophages	local	30	ENSG00000251562	MALAT1	31.91982084292011	0.12350567904926744	0.9942579505300353	0.987421220530643
Mac1	Macrophages	local	31	ENSG00000145390	USP53	31.8771410154116	3.088832316137575	0.40591872791519434	0.05806987058121742
Mac1	Macrophages	local	32	ENSG00000133872	SARAF	31.500269946160273	0.4591384432992224	0.9178445229681979	0.7566978758720855
Mac1	Macrophages	local	33	ENSG00000166927	MS4A7	31.234157139898876	0.42585511758094374	0.9386042402826855	0.7400472028425448
Mac1	Macrophages	local	34	ENSG00000126264	HCST	31.02415360224732	0.4941883762108784	0.9050353356890459	0.7119589179656094
Mac1	Macrophages	local	35	ENSG00000231500	RPS18	30.662566590436256	0.11687250560476284	0.9969081272084805	0.9912337578131079
Mac1	Macrophages	local	36	ENSG00000104870	FCGRT	30.574926941287302	0.3722667582265023	0.9443462897526502	0.7740488108514667
Mac1	Macrophages	local	37	ENSG00000010278	CD9	30.533081537469442	2.4327817500506006	0.4275618374558304	0.08519853723059366
Mac1	Macrophages	local	38	ENSG00000139679	LPAR6	30.444795625344096	1.6369707601564751	0.5287102473498233	0.18984879529009
Mac1	Macrophages	local	39	ENSG00000177606	JUN	30.322589158627764	1.2501330734126155	0.6351590106007067	0.3100085587571647
Mac1	Macrophages	local	40	ENSG00000221869	CEBPD	30.07075355882887	0.3542429554083328	0.9536219081272085	0.8273983971782037
Mac1	Macrophages	local	41	ENSG00000117154	IGSF21	29.88367999643933	3.659907508445521	0.3467314487632509	0.030111263843141323
Mac1	Macrophages	local	42	ENSG00000119655	NPC2	29.43421827501597	0.2613948592326994	0.9748233215547704	0.8899032601084109
Mac1	Macrophages	local	43	ENSG00000175899	A2M	29.23173401704679	2.0983696997486874	0.43507067137809186	0.09575433773374485
Mac1	Macrophages	local	44	ENSG00000171860	C3AR1	29.209111280994083	0.7808495937995	0.7597173144876325	0.4674118837046451
Mac1	Macrophages	local	45	ENSG00000148908	RGS10	28.53232544014227	0.6344224760111753	0.8074204946996466	0.5640739684104054
Mac1	Macrophages	local	46	ENSG00000182578	CSF1R	28.04320315132284	0.8094603209159473	0.7208480565371025	0.4207018180875068
Mac1	Macrophages	local	47	ENSG00000137154	RPS6	28.0236938549999	0.12191877622096146	0.9960247349823321	0.9840495889202998
Mac1	Macrophages	local	48	ENSG00000167601	AXL	28.01391323173325	1.4254320824850477	0.5229681978798587	0.1700080400446093
Mac1	Macrophages	local	49	ENSG00000198763	MT-ND2	27.690274173947834	0.22985531869306233	0.9889575971731449	0.9051274736104987
Mac1	Macrophages	local	50	ENSG00000038945	MSR1	27.181154548700974	1.436785907311258	0.5066254416961131	0.18743678190730606
Mac1	Macrophages	local	51	ENSG00000100979	PLTP	27.089301198350853	2.218114899541786	0.3909010600706714	0.09077469720154577
Mac1	Macrophages	local	52	ENSG00000089157	RPLP0	26.88849984333744	0.18905557072207185	0.9867491166077739	0.9423710350909044
Mac1	Macrophages	local	53	ENSG00000170458	CD14	26.782890454724715	0.5768805137273272	0.8515901060070671	0.629094587234484
Mac1	Macrophages	local	54	ENSG00000133112	TPT1	26.516200207994626	0.12151486674818697	0.9960247349823321	0.9907409808854424
Mac1	Macrophages	local	55	ENSG00000181163	NPM1	26.50059019022832	0.3641465807516291	0.916077738515901	0.7661384443810463
Mac1	Macrophages	local	56	ENSG00000072694	FCGR2B	26.458496325365612	2.1823946992998025	0.37720848056537104	0.09168244417356122
Mac1	Macrophages	local	57	ENSG00000174748	RPL15	26.26568763704442	0.11472247320983667	0.9942579505300353	0.987421220530643
Mac1	Macrophages	local	58	ENSG00000131724	IL13RA1	26.248217831960385	1.0681117086572298	0.5812720848056537	0.29543273594937364
Mac1	Macrophages	local	59	ENSG00000198223	CSF2RA_ENSG00000198223	25.54561837069646	1.113149394345095	0.5525618374558304	0.27349119485437146
Mac1	Macrophages	local	60	ENSG00000099860	GADD45B	25.260514919044883	0.6728560638406385	0.7579505300353356	0.5374380786886946
Mac1	Macrophages	local	61	ENSG00000168386	FILIP1L	25.24959122642786	1.6827225459772581	0.4174028268551237	0.13930025676271493
Mac1	Macrophages	local	62	ENSG00000122862	SRGN	25.137735881669602	0.13790755097011761	0.997791519434629	0.986202246025365
Mac1	Macrophages	local	63	ENSG00000148180	GSN	25.02907996157524	1.184779503928259	0.5229681978798587	0.25214617319812227
