file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2.tsv	tables/EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2.tsv	EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2	EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2	tsv	Ciliated	CILIATED CELL	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	cMonocyte	CLASSICAL MONOCYTE	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	cMonocyte	CLASSICAL MONOCYTE	
ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	tables/ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	tsv	cMonocyte	CLASSICAL MONOCYTE	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	cMonocyte	CLASSICAL MONOCYTE	
MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	tables/MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	MYELOID-Supplementary_Data_S4-aba1983_data_s4	MYELOID-Supplementary_Data_S4-aba1983_data_s4	tsv	cMonocyte	CLASSICAL MONOCYTE	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	Club	CLUB CELL	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	Club	CLUB CELL	
ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	tables/ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	tsv	Club	CLUB CELL	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	Club	CLUB CELL	
EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2.tsv	tables/EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2.tsv	EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2	EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2	tsv	Club	CLUB CELL	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	cDC1	CONVENTIONAL DENDRITIC CELL 1	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	cDC1	CONVENTIONAL DENDRITIC CELL 1	
ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	tables/ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	tsv	cDC1	CONVENTIONAL DENDRITIC CELL 1	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	cDC1	CONVENTIONAL DENDRITIC CELL 1	
MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	tables/MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	MYELOID-Supplementary_Data_S4-aba1983_data_s4	MYELOID-Supplementary_Data_S4-aba1983_data_s4	tsv	cDC1	CONVENTIONAL DENDRITIC CELL 1	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	cDC2	CONVENTIONAL DENDRITIC CELL 2	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	cDC2	CONVENTIONAL DENDRITIC CELL 2	
ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	tables/ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	tsv	cDC2	CONVENTIONAL DENDRITIC CELL 2	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	cDC2	CONVENTIONAL DENDRITIC CELL 2	
MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	tables/MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	MYELOID-Supplementary_Data_S4-aba1983_data_s4	MYELOID-Supplementary_Data_S4-aba1983_data_s4	tsv	cDC2	CONVENTIONAL DENDRITIC CELL 2	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	T Cytotoxic	CYTOTOXIC T CELL	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	T Cytotoxic	CYTOTOXIC T CELL	
ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	tables/ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	tsv	T Cytotoxic	CYTOTOXIC T CELL	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	T Cytotoxic	CYTOTOXIC T CELL	
LYMPHOID-Supplementary_Data_S5-aba1983_data_s5.tsv	tables/LYMPHOID-Supplementary_Data_S5-aba1983_data_s5.tsv	LYMPHOID-Supplementary_Data_S5-aba1983_data_s5	LYMPHOID-Supplementary_Data_S5-aba1983_data_s5	tsv	T Cytotoxic	CYTOTOXIC T CELL	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	DC Langerhans	DENDRITIC CELL LANGERHANS	
